Time,ETH BTC,ETH USD,Even BTC,Even USD
6/21/17 15:00,0.036169897,100,0.036169897,100
6/21/17 17:24,0.038020451,101.8092631,0.038162936,102.1908023
6/21/17 19:24,0.037879639,102.5299559,0.038143156,103.2432238
6/21/17 21:24,0.038129575,102.1758226,0.038363182,102.8018198
6/21/17 23:24,0.038461688,103.1604022,0.038523991,103.3275065
6/22/17 1:24,0.03864491,103.1173728,0.038786552,103.4953193
6/22/17 3:24,0.038980538,104.4124897,0.039043565,104.5813135
6/22/17 5:24,0.03877233,104.7744675,0.038979595,105.3345592
6/22/17 7:24,0.039261677,105.6492454,0.0395604,106.4530804
6/22/17 9:24,0.038235495,103.6854859,0.038322379,103.9210937
6/22/17 11:24,0.038020205,103.3674315,0.037963116,103.2122229
6/22/17 13:24,0.037051725,100.1493304,0.037017721,100.0574186
6/22/17 15:24,0.037915437,102.594622,0.03807554,103.0278415
6/22/17 17:24,0.038307615,103.7768627,0.038565227,104.4747427
6/22/17 19:24,0.037776741,102.4112332,0.037942766,102.8613205
6/22/17 21:24,0.037791283,103.0073223,0.037944298,103.4243946
6/22/17 23:24,0.037766081,102.7849201,0.037846528,103.0038675
6/23/17 1:24,0.037756074,102.6161,0.0378274,102.8099558
6/23/17 3:24,0.03777509,103.3639801,0.038153116,104.398372
6/23/17 5:24,0.038379605,105.1558971,0.038680323,105.9798299
6/23/17 7:24,0.038100849,104.5616835,0.038411511,105.4142462
6/23/17 9:24,0.038119053,104.6234597,0.038471554,105.5909512
6/23/17 11:24,0.037673137,103.5943447,0.038103262,104.7771126
6/23/17 13:24,0.038204171,105.3785648,0.038559818,106.3595452
6/23/17 15:24,0.037688765,103.9546588,0.038064014,104.9896871
6/23/17 17:24,0.038025379,104.6705585,0.038308974,105.4511971
6/23/17 19:24,0.038365571,105.2709078,0.038612194,105.947614
6/23/17 21:24,0.038248231,105.2296809,0.038583378,106.151748
6/23/17 23:24,0.039073199,107.2379571,0.039465559,108.3148052
6/24/17 1:24,0.039247819,108.0892787,0.039673162,109.2606816
6/24/17 3:24,0.039088121,107.4380011,0.039484147,108.5265203
6/24/17 5:24,0.039335885,107.6725458,0.039909987,109.2440097
6/24/17 7:24,0.039120759,107.6689357,0.039631989,109.0759525
6/24/17 9:24,0.039013491,105.1148303,0.039330407,105.9687011
6/24/17 11:24,0.038764697,104.3875156,0.039019047,105.0724403
6/24/17 13:24,0.038482831,101.3891744,0.038964846,102.6591219
6/24/17 15:24,0.038468903,99.58329589,0.038746248,100.3012496
6/24/17 17:24,0.038307285,100.6305551,0.038682947,101.617393
6/24/17 19:29,0.038354594,99.77985964,0.038661262,100.5776588
6/24/17 21:29,0.038334356,98.72974984,0.038428687,98.9726992
6/24/17 23:29,0.038077125,98.95902211,0.038274863,99.4729241
6/25/17 1:29,0.037796927,99.49625386,0.038051459,100.166279
6/25/17 3:34,0.037922531,99.39078181,0.038132547,99.94121236
6/25/17 5:34,0.037775532,99.93214813,0.038150499,100.9240938
6/25/17 7:34,0.037375119,99.96199808,0.037716204,100.8742496
6/25/17 9:34,0.03767761,100.1082793,0.037951984,100.8372829
6/25/17 11:34,0.036167535,95.7521024,0.036910416,97.71884953
6/25/17 13:34,0.035915749,94.97704269,0.036544894,96.64077963
6/25/17 15:34,0.035569195,92.11816816,0.035965423,93.14433017
6/25/17 17:34,0.035158291,90.25027762,0.035377138,90.81205315
6/25/17 19:34,0.035403262,91.55495995,0.03566076,92.22086424
6/25/17 21:34,0.035430233,92.48247333,0.03578609,93.41135601
6/25/17 23:34,0.036006796,93.91904608,0.036346738,94.80574207
6/26/17 1:34,0.035543755,90.70197547,0.035569714,90.76821862
6/26/17 3:34,0.034697851,88.48368331,0.034527438,88.04911064
6/26/17 5:34,0.03468619,88.80323701,0.034538015,88.42388129
6/26/17 7:35,0.034803619,88.19376237,0.034573119,87.60966727
6/26/17 9:34,0.034618069,87.33100252,0.034316515,86.57027253
6/26/17 11:34,0.03219862,79.04568122,0.032151275,78.92945154
6/26/17 13:34,0.032239129,77.78141258,0.032161824,77.59490308
6/26/17 17:15,0.032879387,79.89526534,0.033309454,80.94030848
6/26/17 22:52,0.033766862,84.61232738,0.034363374,86.10705418
