id,index_value_btc,index_value_usd,time_stamp
23010,1.45274729753646,3930.42234095786,2017-06-08 02:10:47.973
23011,1.45310645917502,3929.05455496334,2017-06-08 02:11:44.884
23012,1.45361465920761,3921.85235054212,2017-06-08 02:12:44.160
23013,1.44735261174784,3915.62433524425,2017-06-08 02:14:02.768
23014,1.44701089546122,3905.42452641402,2017-06-08 02:15:01.505
23015,1.44732363705778,3949.87646465802,2017-06-08 02:16:01.591
23016,1.44681699200564,3909.77696200661,2017-06-08 02:17:02.392
23017,1.44658352432876,3947.85663041037,2017-06-08 02:18:01.440
23018,1.44661727993273,3915.18287110114,2017-06-08 02:19:01.536
23019,1.44663721983965,3922.52788885081,2017-06-08 02:20:01.525
23020,1.44537228812578,3924.9518095742,2017-06-08 02:21:01.639
23021,1.44608305638202,3944.75550867394,2017-06-08 02:22:02.754
23022,1.4466010691391,3930.71889107544,2017-06-08 02:23:01.435
23023,1.44660557129288,3946.18087187413,2017-06-08 02:24:01.455
23024,1.44590410609592,3944.267351978,2017-06-08 02:25:01.544
23025,1.44526927850914,3945.32498185983,2017-06-08 02:26:01.392
23026,1.44664750360729,3949.08728829726,2017-06-08 02:27:01.422
23027,1.44680992736044,3949.53067590707,2017-06-08 02:28:01.528
23028,1.446561415641,3930.59667857972,2017-06-08 02:29:01.422
23029,1.4473471774334,3950.99727190124,2017-06-08 02:30:01.655
23030,1.44593232392471,3928.2944783154,2017-06-08 02:31:01.541
23031,1.44716178333448,3931.64913296313,2017-06-08 02:32:01.503
23032,1.44767354423582,3953.59644930804,2017-06-08 02:33:01.663
23033,1.44750176045875,3953.12730781286,2017-06-08 02:34:01.438
23034,1.44692956617481,3951.56464522341,2017-06-08 02:35:01.409
23035,1.44699304700704,3962.15636131469,2017-06-08 02:36:01.421
23036,1.44644635271147,3960.65940299456,2017-06-08 02:37:01.517
23037,1.44666275142864,3961.25194596189,2017-06-08 02:38:02.406
23038,1.4461818815287,3959.93522800188,2017-06-08 02:39:01.781
23039,1.44673948589943,3961.46206028982,2017-06-08 02:40:01.603
23040,1.44686502446365,3951.61988021414,2017-06-08 02:41:01.627
23041,1.44615505399665,3956.69468928536,2017-06-08 02:42:01.504
23042,1.44579793077998,3957.72725571712,2017-06-08 02:43:01.475
23043,1.44544832790195,3956.7702527988,2017-06-08 02:44:01.425
23044,1.44606120865694,3958.4479525775,2017-06-08 02:45:02.134
23045,1.44612787804171,3968.73888721889,2017-06-08 02:46:01.412
23046,1.44600445467608,3968.40016536848,2017-06-08 02:47:01.494
23047,1.44409321690467,3963.154983541,2017-06-08 02:48:01.442
23048,1.44419454652583,3963.43307154001,2017-06-08 02:49:01.520
23049,1.44372483243351,3962.14399288221,2017-06-08 02:50:01.512
23050,1.44391721256373,3967.62459502688,2017-06-08 02:51:01.485
23051,1.44500690389655,3970.61887066501,2017-06-08 02:52:01.446
23052,1.44489022175898,3970.29824915376,2017-06-08 02:53:01.539
23053,1.44382508854948,3967.37145481803,2017-06-08 02:54:01.686
