,Float
BTC,17734000.0
XRP,42181995112.0
ETH,106302743.0
XLM,19327248144.0
EOS,917242786.0
LTC,62022926.0
BCH,17813313.0
BSV,17810723.0
ADA,25927070538.0
TRX,66682072191.0
BNB,141175490.0
DASH,8836191.0
XTZ,795927864.0
XMR,17014796.0
ZEC,6655419.0
ETC,110875130.0
ONT,494757215.0
IOT,2779530283.0
NEO,65000000.0
RVN,3661170000.0
LINK,350000000.0
MAID,452552412.0
DOGE,119739850499.0
XEM,8999999999.0
VET,55454734800.0
BTG,17513924.0
DCR,9864369.0
MANA,1050141509.0
BAT,1267888630.0
LSK,117368147.0
ZIL,8687360058.0
QTUM,95761236.0
ZRX,597577999.0
SC,40913120745.0
DGB,11858765116.0
OMG,140245398.0
ICX,473406688.0
BCD,186492898.0
MONA,65729675.0
KMD,113690018.0
IOST,12013965609.0
AE,267206445.0
STEEM,315793035.0
WAVES,100000000.0
BTS,2722320000.0
QKC,1579716585.0
RDD,28808713174.0
GNO,1104590.0
WTC,41682339.0
ZEN,6570538.0
NANO,133248289.0
ELF,376330000.0
REP,11000000.0
MCO,15793831.0
NULS,71748290.0
GAS,10128375.0
SNT,3470483788.0
XVG,16199409336.0
XZC,7609218.0
AION,318443045.0
WAX,942791205.0
THETA,870502690.0
QASH,350000000.0
POWR,407412067.0
NAS,36308659.0
STORJ,135787439.0
STRAT,99349464.0
POLY,445522521.0
PIVX,56781166.0
GNT,963622000.0
