,Divisor,Adj Divisor,USD,BTC,Adj USD,Adj BTC
10,248575329.597,92674889.9374,703.573322555,0.111273481644,1887.14516594,0.298461022114
20,20127074.5595,18512981.4914,638.218711886,0.100937337794,693.863147078,0.109737771011
40,48925235.7569,43001612.9487,105.912313198,0.016750538232,120.502105327,0.0190579835466
Total,651386554.125,853048181.273,296.695828279,0.0469238624368,226.556573765,0.035831004309
ETH,85397426.5284,85605855.8834,71.41218876,0.0112941787592,71.2383175185,0.0112666801918
Currency,3416348266.23,0.0,38.6427776153,0.00611153986059,0.0,0.0
Platform,2295794550.83,0.0,24.1353930986,0.00381712770344,0.0,0.0
Application,242489432.847,0.0,22.7961396802,0.00360531837824,0.0,0.0
