,Float
BTC,17401075.0
XRP,40327341704.0
XLM,19154499889.0
ETH,103525815.0
EOS,906245118.0
BCH,17486213.0
LTC,59375524.0
ADA,25927070538.0
DASH,8473783.0
ZEC,5351206.0
XTZ,607489041.0
TRX,66141082831.0
XMR,16602171.0
ETC,106425358.0
IOT,2779530283.0
ONT,537500000.0
NEO,65000000.0
MAID,452552412.0
XEM,8999999999.0
DOGE,117210004765.0
MANA,1050141509.0
BNB,144443333.0
DCR,8904968.0
VET,55454734800.0
ZRX,551195152.0
BTG,17372049.0
ZIL,8033278526.0
LSK,112652144.0
SC,38197996797.0
STEEM,300793684.0
LINK,350000000.0
DGB,11121823368.0
BAT,1180848540.0
GAS,10128375.0
HC,43529781.0
QASH,350000000.0
OMG,140245398.0
ICX,400230000.0
QTUM,89074368.0
RDD,28808713174.0
BCD,153756875.0
BTS,2676350000.0
AE,233020472.0
ZEN,5269638.0
NANO,133248289.0
SNT,3470483788.0
KMD,110834519.0
POLY,286787107.0
ELF,280000000.0
XZC,5757841.0
WAVES,100000000.0
XVG,15172086051.0
GNO,1104590.0
WTC,40354159.0
FCT,8745102.0
PIVX,56781166.0
PPT,53252246.0
REP,11000000.0
DGD,2000000.0
GNT,959842000.0
STRAT,99113971.0
POWR,390595382.0
WAN,106152493.0
NAS,45500000.0
STORJ,135787439.0
MONA,64037875.0
AION,262673279.0
GXS,60000000.0
CVC,440000000.0
LRC,788984491.0
