,Float
STEEM,308998184.0
HOT,133214575156.0
QTUM,95622838.56
WAVES,99000000.0
BTG,17650275.02
DGB,11597750786.54
ICX,632363400.0
OMG,140245398.25
SC,40001785993.23
BTS,2703260000.0
KMD,112412165.0
NULS,66446647.0
IOST,12013965609.0
ELF,280000000.0
RDD,28808713174.0
BCD,189111820.03
GAS,16136733.01
REP,11000000.0
XZC,7075940.2700000005
SNT,3470483788.0
GNO,1104590.0
QASH,350000000.0
ZEN,6104988.0
NANO,133248289.0
WTC,41007759.0
AE,301214412.5
PIVX,56781166.0
POLY,408467617.0
STORJ,135787439.0
XVG,15805763453.0
POWR,396829006.0
STRAT,99265555.0
AION,309271154.0
NAS,45500000.0
LRC,828954240.0
GNT,963622000.0
PPT,53252246.0
MCO,15793831.0
THETA,1000000000.0
WAX,942694871.0
