,Float
BTC,20986335.65
ETH,135135633.79999998
XRP,100000000000.0
BCH,20982433.29
XTZ,1923800541.46
LTC,83880542.21
EOS,1366411730.19
BSV,20982141.46
XLM,50000000000.0
ADA,42014022058.74
LINK,1000000000.0
BNB,100000000.0
TRX,104145119673.45999
ETC,194571423.67
DASH,17600805.03
XMR,22466083.47
ICX,4105532970.53
NEO,100000000.0
ZEC,20924230.74
ONT,1000000000.0
DOGE,280666706295.71
IOT,2779530283.28
RVN,20754957265.63
VET,86716263400.0
XEM,8999999999.0
DCR,20619744.270000003
BAT,1500000000.0
LSK,231538505.47
ZRX,1000000000.0
QTUM,107823401.53999999
ZEN,20865535.36
SC,91002491209.17
BTG,20983114.73
MONA,105082725.0
KNC,178212585.95999998
REP,11000000.0
BCD,210000000.0
ZIL,20999982720.4
AION,901012592.0
OMG,140245398.25
KMD,200000000.0
DGB,21000000000.0
THETA,1000000000.0
WAVES,99000000.0
MCO,22111377.4
GAS,60464204.03
XZC,21347303.34
SNT,6804870174.89
HOT,163438653709.776
NANO,133248289.0
BTS,3527780933.67
AE,503616445.26
DGD,2000000.0
NMR,9248182.0
ARK,381936707.22
STEEM,361607932.375
IOST,12013965608.8475
XVG,16500000000.0
NULS,250401085.34
STORJ,425000000.0
PIVX,175458680.4
RCN,1000000000.0
GNT,1000000000.0
ELF,544480199.986466
ARDR,998999495.0
WAN,209675017.96
GXC,100000000.0
MAID,452552412.0
FUN,11000000000.0
CVC,1000000000.0
