,Divisor,Adj Divisor,USD,BTC,Adj USD,Adj BTC
10,330931961.3612145,215940021.7833631,662.7989277547292,0.08930506070842142,1015.7512597179956,0.13686160932858252
20,32513405.43795891,34584493.358326025,457.11486404487295,0.06159133482991351,429.74059941897025,0.05790294569424296
40,82765901.67157726,68923061.80550139,35.29884060054899,0.00475614092112029,42.388429848200964,0.0057113871830660025
Total,875969217.2354664,2334826892.41217,270.70043759644545,0.036473986304173395,101.56009903658253,0.013684136214190758
ETH,128812531.43725654,225476584.1940142,56.389080868493394,0.007597825040713421,32.21452142383324,0.0043405619275726755
Currency,4309233776.363288,0.0,40.366357726366644,0.0054389346095397445,0.0,0.0
Platform,3894429902.627082,0.0,14.312451386535269,0.0019284496193902336,0.0,0.0
Application,407055583.3150225,0.0,18.273523146980818,0.002462161638562219,0.0,0.0
