,Float
BTC,17293275
XRP,39870907279
XLM,18789951455
ETH,102240395
BCH,17373138
EOS,906245118
LTC,58490677
ADA,25927070538
DASH,8345599
ZEC,4896681
XMR,16444607
ETC,104878889
TRX,65748111645
ONT,537500000
NEO,65000000
DOGE,1.16336E+11
IOT,2779530283
VET,55454734800
MAID,452552412
BNB,144443333
XEM,8999999999
DCR,8547628
LSK,110599188
ZIL,7780347516
MANA,1050141509
ZRX,539969401
STEEM,277545814
SC,37091040665
ICX,400230000
OMG,140245398
BTG,17258661
DGB,10853231403
RDD,28808713174
BCN,1.84067E+11
BTS,2661350000
HSR,43529781
QTUM,88922592
ZEN,4816475
ELF,250000000
NANO,133248289
AE,233020472
GNO,1104590
SNT,3470483788
BAT,1000000000
XVG,15172086051
QASH,350000000
WAVES,100000000
XZC,5736089
WAN,106152493
AION,224794886
DGD,2000000
STRAT,99031839
FUN,5010848189
POLY,284247107
PPT,37004027
POWR,386329633
REP,11000000
MONA,62584250
GXS,60000000
NAS,45500000
LRC,572074043
ENG,74836171
PIVX,56781166
GNT,959242000
CVC,440000000
ZCL,4940750
KMD,109865769
BNT,57702094
STORJ,135787439
ETHOS,79989652
