LINK,819949992.0985402
BNB,107897623.05454728
TRX,112370108654.97705
ICX,4429772488.922619
BAT,1618464345.8182094
NMR,9978568.553758493
SC,98189524935.11778
SNT,7342293170.654124
MCO,23857650.639220357
REP,11868738.536000201
KNC,192287144.23488185
THETA,1078976230.5454729
OMG,151321451.15513366
STEEM,396832628.5089272
GAS,65239438.94722179
DGD,2157952.4610909456
RCN,1078976230.5454729
AE,543390173.7473452
IOST,12962783326.53722
GXC,107897623.05454728
STORJ,458564897.98182595
GNT,1078976230.5454729
MAID,488293295.6240218
FUN,11868738536.000198
CVC,1078976230.5454729
