,Float
ZEN,20865535.36
SC,91002491209.17
DGB,21000000000.0
BTG,20983114.73
KMD,200000000.0
REP,11000000.0
WAVES,99000000.0
ZIL,20999982720.4
MCO,22111377.4
THETA,1000000000.0
NANO,133248289.0
OMG,140245398.25
MONA,105082725.0
AE,503616445.26
BCD,210000000.0
SNT,6804870174.89
XZC,21347303.34
XVG,16500000000.0
IOST,12013965608.0
NULS,250401085.34
GAS,60464204.03
ARK,381936707.22
BTS,3527780933.67
QASH,1000000000.0
RCN,1000000000.0
STEEM,355688990.503
STORJ,425000000.0
PIVX,175458680.4
GXC,100000000.0
ARDR,998999495.0
WAN,209675017.96
FUN,11000000000.0
MAID,452552412.0
AION,641095291.0
KNC,178212585.95999998
GNT,1000000000.0
ELF,544480199.0
CVC,1000000000.0
NAS,51952589.0
DGD,2000000.0
