,10 Index,10 Even Index
BTC,62.91%,10.00%
ETH,16.39%,10.00%
BCH,10.51%,10.00%
XRP,4.23%,10.00%
DASH,1.67%,10.00%
ZEC,0.39%,10.00%
LTC,1.77%,10.00%
XLM,0.31%,10.00%
ETC,0.87%,10.00%
XMR,0.96%,10.00%
,20 Index,20 Even Index
NEO,14.30%,5.00%
EOS,5.86%,5.00%
MAID,1.41%,5.00%
XEM,13.31%,5.00%
IOTA,15.88%,5.00%
LSK,7.49%,5.00%
HSR,6.19%,5.00%
ADA,5.11%,5.00%
QTUM,6.52%,5.00%
OMG,5.92%,5.00%
DCR,1.59%,5.00%
STEEM,1.77%,5.00%
GNO,0.54%,5.00%
WAVES,3.83%,5.00%
SALT,1.47%,5.00%
PIVX,1.33%,5.00%
STRAT,2.79%,5.00%
ARK,2.38%,5.00%
SC,1.00%,5.00%
PAY,1.31%,5.00%
,40 Index,40 Even Index
VTC,3.92%,2.50%
DOGE,3.13%,2.50%
MTL,1.94%,2.50%
MONA,3.49%,2.50%
BTS,4.87%,2.50%
CVC,2.09%,2.50%
KNC,3.01%,2.50%
TRX,3.19%,2.50%
ARDR,4.83%,2.50%
KMD,5.04%,2.50%
BAT,3.00%,2.50%
REP,4.42%,2.50%
ZRX,2.08%,2.50%
SYS,2.40%,2.50%
GNT,3.74%,2.50%
BNB,3.18%,2.50%
FCT,3.62%,2.50%
GAME,2.78%,2.50%
ICN,2.28%,2.50%
BCN,4.69%,2.50%
WTC,2.71%,2.50%
ETP,2.62%,2.50%
SNT,2.18%,2.50%
XVG,1.96%,2.50%
BQX,1.97%,2.50%
DGB,1.77%,2.50%
BNT,1.71%,2.50%
SNGLS,1.72%,2.50%
XZC,1.60%,2.50%
PART,1.34%,2.50%
NXT,1.41%,2.50%
FUN,1.32%,2.50%
POWR,0.43%,2.50%
MCO,1.26%,2.50%
AE,1.94%,2.50%
ADX,1.19%,2.50%
LINK,1.35%,2.50%
VEN,1.50%,2.50%
ZEN,1.22%,2.50%
NXS,1.09%,2.50%
,Eth Index,Eth Even Index
OMG,21.84%,4.55%
EOS,6.24%,4.55%
REP,5.67%,4.55%
PAY,5.88%,4.55%
SALT,4.49%,4.55%
GNT,5.02%,4.55%
BAT,4.62%,4.55%
WTC,4.81%,4.55%
KNC,4.43%,4.55%
MTL,4.26%,4.55%
BNB,3.67%,4.55%
ICN,3.89%,4.55%
TRON,2.64%,4.55%
GNO,2.53%,4.55%
CVC,3.22%,4.55%
SNT,2.70%,4.55%
ZRX,3.08%,4.55%
SNGLS,2.65%,4.55%
BNT,2.43%,4.55%
BQX,2.31%,4.55%
AE,2.13%,4.55%
POWR,1.50%,4.55%
