,Float
BTG,17513923.589
QTUM,95970676.0484598
SC,41817047634.0
DGB,12191558176.3656
ZRX,600475853.405126
IOST,12013965608.8475
ZIL,8687360058.0875
OMG,140245398.245133
KMD,115646306.91217
GNO,1104590.0
MONA,65729674.8711679
BCD,186492897.953
XZC,8233143.32977799
BTS,2741000000.0
NANO,133248297.197
WTC,42202739.4106683
QKC,2113716585.35544
WAVES,100000000.0
STEEM,342405548.692
AE,280408938.5
THETA,870502690.0
NULS,73551948.0366896
WAN,106152492.636
REP,11000000.0
ZEN,7189575.0
GAS,10128375.105773
QASH,350000000.0
GXC,65000000.0
ARK,113443488.0
SNT,3470483788.0
XVG,15901681899.1206
ELF,499779999.986466
MCO,15793831.0949625
WAX,942821661.702148
NAS,48627714.82
ARDR,998999495.0
STORJ,135787438.700013
PIVX,56781165.992094
GNT,964450000.0
POWR,416986284.937353
