,Float
XRP,42566596173.0
ETH,106705029.9366
EOS,921265925.3537
ADA,25927070538.0
XTZ,659731260.601439
NEO,70538831.0
ETC,111597907.0
ONT,494757215.0
RVN,3872460000.0
XEM,8999999999.0
VET,55454734800.0
DCR,10011345.7150358
LSK,118133366.121928
QTUM,95832612.0484598
HOT,133214575156.0
ZIL,8687360058.0875
ZRX,597769457.278041
KMD,114750541.36378
BTS,2730770000.0
NULS,74205989.7942928
ELF,496029999.986466
WAVES,100000000.0
QKC,2113716585.35544
ARK,113204858.0
NAS,48627714.82
WTC,41682339.4106683
POWR,408712076.959772
STRAT,99387516.1701154
