,Float
BTC,17847700
XRP,42872646068
ETH,107118247.3
XLM,19617690558
LTC,62894518.33
BCH,17920512.5
EOS,925416980.3
BSV,17854985.75
ADA,25927070538
TRX,66682072191
BNB,155536713
XTZ,660373612
LINK,350000000
DASH,8949253.001
XMR,17127780.54
ZEC,7084693.75
ETC,112340206
NEO,70538831
ICX,490271393.9
ONT,533255142
RVN,4089515000
DOGE,1.20566E+11
IOT,2779530283
MAID,452552412
XEM,8999999999
VET,55454734800
BTG,17513923.59
BAT,1274570522
MANA,1050141509
LSK,118937540.2
QTUM,95885060.05
SC,41654898090
ZIL,8687360058
ZRX,599919797.9
OMG,140245398.2
KMD,115271744.2
IOST,12013965609
MONA,65729674.87
XZC,8043493.33
WTC,42146962.41
NANO,133248297.2
BCD,186492898
GNO,1104590
STEEM,336902682
BTS,2736690000
AE,276572349.5
GXS,60000000
QKC,2113716585
WAVES,100000000
ARK,113443488
GAS,10128375.11
NULS,73654990.63
REP,11000000
ELF,499780000
THETA,870502690
QASH,350000000
WAX,942821661.7
SNT,3470483788
MCO,15793831.09
XVG,15852220749
NAS,48627714.82
PIVX,56781165.99
POWR,409540077
STORJ,135787438.7
GNT,964450000
STRAT,99426564.17
AION,327304427
ENG,74836171.09
ARDR,998999495
LRC,892600584.6
