LINK,685197518.9843954
BNB,118083885.32121272
TRX,122978603682.84827
ICX,4847972844.745223
BAT,1771258279.8181906
NMR,10920612.627177035
SC,107459277358.883
SNT,8035455093.574514
KNC,210440345.63297397
REP,12989227.385333396
MCO,26109973.531956546
THETA,1180838853.212127
OMG,165607215.23780805
GAS,71398481.34716927
RCN,1180838853.2121267
STEEM,432872266.2920928
AE,594689865.6795864
MAID,534391451.4123153
IOST,14186566150.227087
GNT,1180838853.212127
STORJ,501856512.61515397
GXC,118083885.3212127
FUN,12989227385.333397
CVC,1180838853.2121272
MANA,1617956082.8311172
