,Float
BTG,20983114.73
DGB,21000000000.0
SC,91002491209.17
KMD,200000000.0
MONA,105082725.0
OMG,140245398.25
XZC,21347303.34
ZIL,20999982720.4
BTS,3527780933.67
NANO,133248289.0
BCD,210000000.0
REP,11000000.0
NULS,250401085.34
SNT,6804870174.89
WAVES,99000000.0
THETA,1000000000.0
AE,503616445.26
GAS,60464204.03
ZEN,20865535.36
MAID,452552412.0
QASH,1000000000.0
ARK,381936707.22
MCO,22111377.4
IOST,12013965608.0
XVG,16500000000.0
ARDR,998999495.0
STORJ,425000000.0
GNT,1000000000.0
STEEM,346117398.0
GXC,100000000.0
WAN,209675017.96
ELF,534480099.0
PIVX,175458680.4
WTC,42483863.0
NAS,51952589.0
FUN,11000000000.0
AION,641095291.0
CVC,1000000000.0
RCN,1000000000.0
KNC,178212585.95999998
