BNB,73494494.98994254
LINK,561776555.1444743
TRX,104574932688.72554
ICX,787117199.2941787
MAID,726380957.2448082
MANA,1685556798.798734
BAT,2053254020.529599
SC,67119534188.974014
IOST,19283326323.89296
OMG,225104504.86004493
GNO,1772950.7572772426
STEEM,549586884.5901295
AE,450077621.4349964
THETA,1397222864.091995
REP,17655834.590254907
GAS,16256810.503234876
QASH,561776555.1444744
GXC,104329931.66968809
SNT,5570389791.735389
MCO,25350297.214462038
WAX,1513300300.6474905
STORJ,217949141.5565279
GNT,1548015424.597395
