,Divisor,Adj Divisor,USD,BTC,Adj USD,Adj BTC
10,246752981.22,80950676.8881,837.908153483,0.131970873999,2554.10260678,0.402272196419
20,19285133.7718,18360625.6918,1074.8827254,0.169294465184,1129.00603151,0.177818907846
40,45245937.3537,40521107.3968,177.568846082,0.0279671652733,198.273675176,0.0312281842529
Total,644790042.751,656211223.217,365.248617114,0.057526805327,358.891562826,0.0565255666984
ETH,83302283.5151,84370899.4983,125.361300438,0.019744455661,123.773512586,0.0194943784303
Currency,3190103597.4,0.0,43.9180837615,0.00691711600401,0.0,0.0
Platform,2261723298.32,0.0,37.8645794352,0.00596368661753,0.0,0.0
Application,240547843.02,0.0,40.8011564604,0.00642619868998,0.0,0.0
