,Float
LSK,231538505.47
SC,91002491209.17
THETA,1000000000.0
WAVES,194428800.0
KNC,178212585.95999998
OMG,140245398.25
NMR,9248182.0
QTUM,107823401.53999999
MONA,105082725.0
REP,11000000.0
BTG,20983114.73
SNT,6804870174.89
BCD,210000000.0
ZEN,20865535.36
ARK,381936707.22
NANO,133248289.0
KMD,200000000.0
NULS,250401085.34
GAS,60464204.03
XVG,16500000000.0
XZC,21347303.34
BTS,3527780933.67
HOT,165258092888.50708
MCO,22111377.4
IOST,15009539282.669292
LRC,1069947807.9592705
DGD,2000000.0
AION,901012592.0
STEEM,369876095.2620906
PIVX,175458680.4
STORJ,425000000.0
AE,503616445.26
RCN,1000000000.0
MANA,1411976376.4337556
GNT,1000000000.0
ARDR,998999495.0
ELF,544480202.6527623
GXC,100000000.0
MAID,452552432.94533676
WAN,209675017.96
