TRX,60360248409.93398
MAID,467476153.5384678
MANA,1084771841.4069624
BNB,149206615.46516305
SC,39457645439.60993
STEEM,310712904.57509565
LINK,361541888.6298273
BAT,1219789175.2496407
GAS,10462376.646431793
QASH,361541888.62982744
OMG,144870245.89874807
ICX,413428314.5323308
RDD,29758733056.922707
AE,240704747.24655375
SNT,3584929323.3506217
POLY,296244435.14132684
GNO,1141015.8707474887
PPT,55008335.97891477
REP,11362745.071223147
DGD,2065953.649313299
GNT,991494541.3320878
STORJ,140265277.5664785
GXS,61978609.47939899
CVC,454509802.8489259
LRC,815002694.2165229
