ZRX,537835325,377559956.8564285
ZIL,7567802268,6468672625.842997
VET,55454734800,16854401140.09446
TRX,65748111645,11236267426.72964
SNT,3470483788,6873061873.9120455
REP,11000000,14628999.147185363
QASH,350000000,1181689306.8871517
PPT,37004027,66322655.06635778
POWR,374800708,1432117451.5831766
POLY,276420107,1312445561.689633
OMG,140245398,67576984.2401896
MANA,1050141509,3676062800.1029067
LRC,572074043,2384075423.9866724
GNT,959242000,1598717244.6085126
GNO,1104590,8382716.813372494
FUN,5010848189,16122427712.126453
ETHOS,78296731,586119834.6032438
ENG,74836171,334602181.1260705
DGD,2000000,5558052.563406611
CVC,440000000,1978205144.1937857
BNT,52283657,172199182.73253134
BNB,95512523,26128943.632175688
BAT,1000000000,1305254079.1598265
AION,205422840,472324261.9563813
AE,233020472,248565776.81391478
