,Float
BTC,17445737.0
XRP,40794121066.0
ETH,104030417.0
XLM,19160772795.0
EOS,906245118.0
BCH,17532713.0
LTC,59745834.0
BSV,17531523.0
ADA,25927070538.0
DASH,8527639.0
TRX,66630467715.0
XTZ,607489041.0
ZEC,5537719.0
ETC,107062920.0
XMR,16675043.0
IOT,2779530283.0
NEO,65000000.0
DOGE,117570476118.0
ONT,537500000.0
XEM,8999999999.0
MAID,452552412.0
BNB,144443333.0
MANA,1050141509.0
ZIL,9285376205.0
VET,55454734800.0
DCR,9047224.0
LSK,113328394.0
ZRX,552255319.0
BTG,17413924.0
SC,38629372119.0
WAVES,100000000.0
LINK,350000000.0
GAS,10128375.0
QTUM,89136748.0
HC,43529781.0
DGB,11230577877.0
BAT,1221399089.0
OMG,140245398.0
ICX,400230000.0
STEEM,305585450.0
RDD,28808713174.0
BCD,153756875.0
POLY,288292107.0
STRAT,99147692.0
BTS,2679470000.0
KMD,111183258.0
QASH,350000000.0
NANO,133248289.0
XVG,15172086051.0
SNT,3470483788.0
XZC,6413633.0
ZEN,5455638.0
ELF,280000000.0
AE,233020472.0
WTC,40369759.0
IOST,12003807131.0
GNO,1104590.0
PIVX,56781166.0
DGD,2000000.0
REP,11000000.0
POWR,392559001.0
PPT,53252246.0
FCT,8745102.0
WAN,106152493.0
MONA,64634600.0
GNT,959842000.0
AION,265294161.0
STORJ,135787439.0
NAS,45500000.0
LRC,788984491.0
