QTUM,59000000,26542702
XMR,14934982,8001208
OMG,98312024,44273588
STRAT,98503073,62794366
PAY,104661310,82423676
WAVES,100000000,81843831
EOS,283669183,245593109
ZEC,1961244,1807637
BTS,2597840000,2815581820
STEEM,239383825,340409401
ICN,86900350,132380306
LSK,110921170,176180887
BCN,183240200188,283376663722
GNT,833032000,1501549806
CVC,340000000,610725377
REP,11000000,18165788
BAT,1000000000,1896065788
GNO,1104590,2105052
SC,28590405459,51655525270
XLM,11031510621,21694057923
