,Float
ETH,135135633.79999998
XRP,100000000000.0
ATOM,2192096427.8
XTZ,1923800541.46
ADA,42014022058.74
EOS,1366411730.19
VET,86716263400.0
ETC,194571423.67
NEO,100000000.0
ONT,1000000000.0
RVN,20754957265.63
XEM,8999999999.0
ZRX,1000000000.0
ZIL,21002615139.559998
DCR,20619744.270000003
WAVES,194428800.0
QTUM,107823401.53999999
ARK,381936707.22
KMD,200000000.0
HOT,165595056190.7538
NULS,250401085.34
AION,901012592.0
BTS,3527780933.67
ARDR,998999495.0
ELF,544480218.4754796
WAN,209675017.96
STRAT,113812525.27
