TRX,65748111645.0,11866247525.27059
BNB,144443333.0,28691081.32442143
VET,55454734800.0,26403833865.40886
ZRX,545548644.0,379296979.14888716
ZIL,7901840271.0,7953424927.444169
MANA,1050141509.0,2949273478.383139
OMG,140245398.0,82005881.72839771
BAT,1000000000.0,991077393.5844697
AE,233020472.0,233356970.06778502
POLY,285782107.0,1047168948.5648991
SNT,3470483788.0,7501500974.663235
QASH,350000000.0,1213120613.0731199
DGD,2000000.0,6915302.38938506
GNO,1104590.0,13913593.899913533
AION,242806287.0,687790200.8581825
PPT,37004027.0,81490641.30030376
REP,11000000.0,18388902.081874155
POWR,388001725.0,1710670926.4912782
FUN,5179824689.0,22127909352.79204
LRC,788984491.0,2657070301.477702
CVC,440000000.0,2054425503.7361426
GNT,959242000.0,1631130956.8281105
BNT,58854974.0,204377794.61008406
ENG,74836171.0,432890875.0447206
