,Divisor,Adj Divisor,USD,BTC,Adj USD,Adj BTC
10,249175417.35975054,87608431.86506101,761.2471297935969,0.11473204669082093,2165.134876199962,0.32632025262998676
20,21759167.818456627,19617654.928519826,691.1296403611805,0.10416422612828644,766.5751020559502,0.11553505682832708
40,49049944.84482749,44510844.43351553,111.45762196894059,0.01679843586570318,122.82378102886912,0.018511496763959173
Total,654987271.8321195,873303395.1699994,320.98255392812894,0.0483771746688966,240.74049003572873,0.03628341974916786
ETH,92034770.93853822,94918622.21477848,71.5226169731519,0.01077959562519245,69.34959143374459,0.010452086124151407
Currency,3433084914.4080167,0.0,41.10759828511462,0.006195568694063997,0.0,0.0
Platform,2163940817.6915097,0.0,29.000525072272524,0.00437084025203806,0.0,0.0
Application,262979898.2875092,0.0,23.66489553107872,0.0035666760408558733,0.0,0.0
