BCN,183890481254,0.006698,1231698443.44,0.0917419990893,0.025,0.272503327246,335641924.001,0.025,50110767990.5
ELF,250000000,1.06,265000000.0,0.0197382970549,0.025,1.26657329812,335641924.001,0.025,316643324.529
AION,149727007,2.13,318918524.91,0.0237543720037,0.025,1.05243784159,335641924.001,0.025,157578368.075
WAN,106152493,4.7,498916717.1,0.0371613825199,0.025,0.672741386481,335641924.001,0.025,71413175.3193
BTG,17036661,44.55,758983247.55,0.056532214339,0.025,0.442225734341,335641924.001,0.025,7534049.92145
AE,233020472,3.2,745665510.4,0.0555402541429,0.025,0.450123975589,335641924.001,0.025,104888101.25
POLY,276420107,0.7539,208393118.667,0.0155219821904,0.025,1.6106190365,335641924.001,0.025,445207486.405
BTS,2629010000,0.2,525802000.0,0.0391639096908,0.025,0.638342805848,335641924.001,0.025,1678209620.0
GNO,1104590,73.63,81330961.7,0.00605786672376,0.025,4.12686530424,335641924.001,0.025,4558494.14641
DGB,10323611874,0.03368,347699247.916,0.0258980794005,0.025,0.965322548185,335641924.001,0.025,9965615320.68
LRC,572074043,0.5292,302741583.556,0.0225494464419,0.025,1.10867466589,335641924.001,0.025,634243998.489
DGD,2000000,135.34,270680000.0,0.0201613669691,0.025,1.23999528595,335641924.001,0.025,2479990.5719
PPT,37004027,12.76,472171384.52,0.0351692794282,0.025,0.710847660414,335641924.001,0.025,26304226.0189
SNT,3470483788,0.1023,355030491.512,0.0264441407737,0.025,0.945389007493,335641924.001,0.025,3280957223.86
ZEN,3954675,30.72,121487616.0,0.00904890057773,0.025,2.76276656874,335641924.001,0.025,10925843.8802
XVG,14997869020,0.03967,594965464.023,0.0443154908162,0.025,0.564136818515,335641924.001,0.025,8460850113.45
XZC,4862023,29.39,142894855.97,0.010643400433,0.025,2.34887338471,335641924.001,0.025,11420276.4206
HSR,43048759,7.42,319421791.78,0.0237918574036,0.025,1.050779667,335641924.001,0.025,45234760.647
PIVX,56344559,3.94,221997562.46,0.0165352974841,0.025,1.51191715928,335641924.001,0.025,85188305.5839
NANO,133248289,5.63,750187867.07,0.0558770979895,0.025,0.447410493736,335641924.001,0.025,59616682.771
QASH,350000000,0.504,176400000.0,0.013139002266,0.025,1.90273199547,335641924.001,0.025,665956198.414
STRAT,98876022,4.5,444942099.0,0.0331411295181,0.025,0.754349666518,335641924.001,0.025,74587094.2223
GNT,839242000,0.609,511098378.0,0.0380687230537,0.025,0.656707081157,335641924.001,0.025,551136164.204
BAT,1000000000,0.2816,281600000.0,0.0209747337761,0.025,1.19191024148,335641924.001,0.025,1191910241.48
WAVES,100000000,4.37,437000000.0,0.0325495691056,0.025,0.768059322656,335641924.001,0.025,76805932.2656
REP,11000000,37.72,414920000.0,0.0309049592982,0.025,0.808931659116,335641924.001,0.025,8898248.25028
FUN,4858654389,0.03422,166263153.192,0.0123839679509,0.025,2.01873907452,335641924.001,0.025,9808355464.66
MONA,59822500,3.35,200405375.0,0.0149270219741,0.025,1.67481497939,335641924.001,0.025,100191619.105
LOOM,602770872,0.3602,217118068.094,0.0161718525435,0.025,1.54589586646,335641924.001,0.025,931820999.446
GXS,60000000,3.35,201000000.0,0.0149713121058,0.025,1.66986031841,335641924.001,0.025,100191619.105
POWR,373358345,0.3362,125523075.589,0.00934947831404,0.025,2.67394598504,335641924.001,0.025,998340047.592
CVC,342699966,0.3325,113947738.695,0.00848729930225,0.025,2.94557775209,335641924.001,0.025,1009449395.49
BNT,50340754,4.0,201363016.0,0.0149983510403,0.025,1.66684990456,335641924.001,0.025,83910481.0001
STORJ,135787539,0.7865,106796899.424,0.00795467519005,0.025,3.14280588493,335641924.001,0.025,426753876.669
ARK,102887960,2.53,260306538.8,0.0193887086346,0.025,1.28941026817,335641924.001,0.025,132664792.095
SYS,534417825,0.3577,191161256.002,0.0142384817221,0.025,1.75580518259,335641924.001,0.025,938333586.806
KNC,134132697,1.35,181079140.95,0.0134875240548,0.025,1.85356481282,335641924.001,0.025,248623647.408
ENG,74836171,1.94,145182171.74,0.0108137691807,0.025,2.31186735932,335641924.001,0.025,173011301.031
KMD,104225128,2.61,272027584.08,0.0202617406102,0.025,1.23385253424,335641924.001,0.025,128598438.314
ARDR,998999495,0.2438,243556076.881,0.0181410648868,0.025,1.37808889147,335641924.001,0.025,1376710106.65
