,Float
BTC,17674975.0
XRP,42004966728.0
ETH,105880246.0
XLM,19102801342.0
EOS,943876959.0
LTC,61571658.0
BCH,17757450.0
ADA,25927070538.0
TRX,66682072191.0
XTZ,792719487.0
BNB,141175490.0
DASH,8778365.0
XMR,16952473.0
ZEC,6433269.0
ETC,110116977.0
BSV,17755261.0
ONT,494804358.0
RVN,3439310000.0
NEO,65000000.0
IOT,2779530283.0
DOGE,119308689354.0
BAT,1253998401.0
MAID,452552412.0
VET,55454734800.0
XEM,8999999999.0
DCR,9709035.0
LINK,350000000.0
MANA,1050141509.0
LSK,116565083.0
ZIL,8687360058.0
BTG,17513924.0
QKC,1135966685.0
ZRX,587710997.0
ICX,473406688.0
QTUM,89436388.0
SC,40498046505.0
IOST,12013965609.0
STEEM,317620347.0
REP,11000000.0
OMG,140245398.0
WAVES,100000000.0
WTC,41682339.0
DGB,11736872183.0
NANO,133248289.0
KMD,113025979.0
BTS,2713230000.0
NULS,71308354.0
BCD,186492898.0
ELF,334800000.0
GAS,10128375.0
ZEN,6348575.0
SNT,3470483788.0
MCO,15793831.0
GNO,1104590.0
XZC,7387618.0
WAX,942732361.0
AE,261902788.0
XVG,15917654269.0
QASH,350000000.0
AION,309581662.0
POWR,404852067.0
NAS,45500000.0
STRAT,99309458.0
STORJ,135787439.0
THETA,870502690.0
PIVX,56781166.0
POLY,433099471.0
LRC,828954240.0
GNT,963622000.0
PPT,53252246.0
