,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
NMR,9248182.0,0.0,0.0,0.0,-26.044549301341604,-26.044549301341604
SC,91002491209.17,0.0,0.0,0.0,-256279.43620077264,-256279.43620077264
QTUM,107823401.54,,,,-303.65015494362916,
MONA,105082725.0,0.0,0.0,0.0,-295.9319152652729,-295.9319152652729
SNT,6804870174.89,0.0,0.0,0.0,-19163.742318128225,-19163.742318128225
ZEN,20865535.36,0.0,0.0,0.0,-58.76111265786147,-58.76111265786147
KNC,178212585.95999998,0.0,0.0,0.0,-501.87879965541316,-501.87879965541316
BCD,210000000.0,0.0,0.0,0.0,-591.3978934759001,-591.3978934759001
REP,11000000.0,0.0,0.0,0.0,-30.97798489635667,-30.97798489635667
ZIL,20999982720.4,0.0,0.0,0.0,-59139.740685118384,-59139.740685118384
MCO,22111377.4,0.0,0.0,0.0,-62.26962864862201,-62.26962864862201
THETA,1000000000.0,0.0,0.0,0.0,-2816.180445123334,-2816.180445123334
OMG,140245398.25,0.0,0.0,0.0,-394.9563480701842,-394.9563480701842
KMD,200000000.0,0.0,0.0,0.0,-563.2360890246667,-563.2360890246667
XZC,21347303.34,0.0,0.0,0.0,-60.11785822222403,-60.11785822222403
NANO,133248289.0,0.0,0.0,0.0,-375.2512258279427,-375.2512258279427
GAS,60464204.03,0.0,0.0,0.0,-170.27810901923348,-170.27810901923348
AION,901012592.0,0.0,0.0,0.0,-2537.4140424002885,-2537.4140424002885
ARK,381936707.22,0.0,0.0,0.0,-1075.6026861477599,-1075.6026861477599
BTS,3527780933.67,0.0,0.0,0.0,-9934.867680080391,-9934.867680080391
RCN,1000000000.0,0.0,0.0,0.0,-2816.180445123334,-2816.180445123334
STEEM,366580304.429,-1205951.9079999924,-0.3278947723633796,-120.59519079999924,-1032.3562849003085,-1152.9514757003078
HOT,164078572250.237,154063036.82199097,0.09398413791887883,15406.303682199097,-462074.8666348735,-446668.5629526744
AE,503616445.26,0.0,0.0,0.0,-1418.274784983738,-1418.274784983738
NULS,250401085.34,0.0,0.0,0.0,-705.1746399721671,-705.1746399721671
XVG,16500000000.0,0.0,0.0,0.0,-46466.97734453501,-46466.97734453501
PIVX,175458680.4,0.0,0.0,0.0,-494.1233046696248,-494.1233046696248
MAID,452552395.23890966,-16.761090338230133,-3.7036793743006058e-06,-0.0016761090338230135,-1274.4692058655435,-1274.4708819745772
IOST,12013973042.669352,7433.821851730347,6.187650352096341e-05,0.7433821851730347,-33833.51595100431,-33832.772568819135
GNT,1000000000.0,0.0,0.0,0.0,-2816.180445123334,-2816.180445123334
STORJ,425000000.0,0.0,0.0,0.0,-1196.876689177417,-1196.876689177417
GXC,100000000.0,0.0,0.0,0.0,-281.6180445123334,-281.6180445123334
ELF,544480199.986466,0.0,0.0,0.0,-1533.354491958728,-1533.354491958728
ARDR,998999495.0,0.0,0.0,0.0,-2813.362842507086,-2813.362842507086
WAN,209675017.96,0.0,0.0,0.0,-590.4826854098359,-590.4826854098359
FUN,11000000000.0,0.0,0.0,0.0,-30977.984896356673,-30977.984896356673
CVC,1000000000.0,0.0,0.0,0.0,-2816.180445123334,-2816.180445123334
MANA,1370175175.4102097,,,,-3858.6605353836662,
10 Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,20986335.65,0.0,0.0,0.0,-0.0,0.0
ETH,135135633.79999998,0.0,0.0,0.0,-0.0,0.0
XRP,100000000000.0,0.0,0.0,0.0,-0.0,0.0
XTZ,1923800541.46,0.0,0.0,0.0,-0.0,0.0
BCH,20982433.29,0.0,0.0,0.0,-0.0,0.0
BSV,20982141.46,0.0,0.0,0.0,-0.0,0.0
LTC,83880542.21,0.0,0.0,0.0,-0.0,0.0
EOS,1366411730.19,0.0,0.0,0.0,-0.0,0.0
XLM,50000000000.0,0.0,0.0,0.0,-0.0,0.0
ADA,42014022058.74,0.0,0.0,0.0,-0.0,0.0
20 Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
LINK,1000000000.0,0.0,0.0,0.0,-0.0,0.0
BNB,100000000.0,0.0,0.0,0.0,-0.0,0.0
TRX,104145119673.46,0.0,0.0,0.0,-0.0,0.0
DASH,17600805.03,0.0,0.0,0.0,-0.0,0.0
XMR,22466083.47,0.0,0.0,0.0,-0.0,0.0
ETC,194571423.67,0.0,0.0,0.0,-0.0,0.0
ICX,4105532970.53,0.0,0.0,0.0,-0.0,0.0
ZEC,20924230.74,0.0,0.0,0.0,-0.0,0.0
NEO,100000000.0,0.0,0.0,0.0,-0.0,0.0
DOGE,280666706295.71,0.0,0.0,0.0,-0.0,0.0
IOT,2779530283.28,,,,-0.0,
ONT,1000000000.0,0.0,0.0,0.0,-0.0,0.0
RVN,20754957265.63,0.0,0.0,0.0,-0.0,0.0
VET,86716263400.0,0.0,0.0,0.0,-0.0,0.0
XEM,8999999999.0,0.0,0.0,0.0,-0.0,0.0
DGB,21000000000.0,,,,-0.0,
LSK,231538505.47,0.0,0.0,0.0,-0.0,0.0
BAT,1500000000.0,0.0,0.0,0.0,-0.0,0.0
DCR,20619744.270000003,0.0,0.0,0.0,-0.0,0.0
ZRX,1000000000.0,0.0,0.0,0.0,-0.0,0.0
ETH Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
LINK,1000000000.0,0.0,0.0,0.0,-0.00030313654579636445,-0.00030313654579636445
BNB,100000000.0,0.0,0.0,0.0,-3.031365457963645e-05,-3.031365457963645e-05
TRX,104145119673.46,0.0,0.0,0.0,-0.031570191839361675,-0.031570191839361675
VET,86716263400.0,0.0,0.0,0.0,-0.026286868551443708,-0.026286868551443708
BAT,1500000000.0,0.0,0.0,0.0,-0.0004547048186945467,-0.0004547048186945467
ZRX,1000000000.0,0.0,0.0,0.0,-0.0003031365457963645,-0.0003031365457963645
NMR,9248182.0,0.0,0.0,0.0,-2.8034619463761137e-06,-2.8034619463761137e-06
SNT,6804870174.89,0.0,0.0,0.0,-0.002062804839408857,-0.002062804839408857
KNC,178212585.95999998,0.0,0.0,0.0,-5.402274772535208e-05,-5.402274772535208e-05
REP,11000000.0,0.0,0.0,0.0,-3.3345020037600094e-06,-3.3345020037600094e-06
ZIL,20999982720.4,0.0,0.0,0.0,-0.006365862223645398,-0.006365862223645398
MCO,22111377.4,0.0,0.0,0.0,-6.702766567835798e-06,-6.702766567835798e-06
OMG,140245398.25,0.0,0.0,0.0,-4.2513505589340506e-05,-4.2513505589340506e-05
AION,901012592.0,0.0,0.0,0.0,-0.0002731298448579091,-0.0002731298448579091
AE,503616445.26,0.0,0.0,0.0,-0.0001526645496223603,-0.0001526645496223603
IOST,12013973042.669352,7433.821851730347,6.187650352096341e-05,0.7433821851730347,-0.003641874289445426,0.7397403108835893
GNT,1000000000.0,0.0,0.0,0.0,-0.0003031365457963645,-0.0003031365457963645
FUN,11000000000.0,0.0,0.0,0.0,-0.0033345020037600097,-0.0033345020037600097
