,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
<<<<<<< HEAD
20 Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
XMR,16543654.0,23961.0,0.14504506833148412,2.3961,-1.7139219392312632,0.6821780607687369
TRX,65748111645.0,0.0,0.0,0.0,-6811.501921606437,-6811.501921606437
ETC,105786061.0,222699.0,0.2109623981092934,22.2699,-10.95943198599032,11.310468014009679
ONT,537500000.0,0.0,0.0,0.0,-55.68498001329114,-55.68498001329114
NEO,65000000.0,0.0,0.0,0.0,-6.733997583002648,-6.733997583002648
IOT,2779530283.0,0.0,0.0,0.0,-287.9592339631488,-287.9592339631488
DOGE,116848637380.0,124930512.0,0.10703096684658853,12493.0512,-12105.514487601124,387.53671239887626
BNB,144443333.0,0.0,0.0,0.0,-14.964323927736107,-14.964323927736107
VET,55454734800.0,0.0,0.0,0.0,-5745.108463219275,-5745.108463219275
MAID,452552412.0,0.0,0.0,0.0,-46.884413055231065,-46.884413055231065
XEM,8999999999.0,0.0,0.0,0.0,-932.3996652352283,-932.3996652352283
DCR,8758741.0,51258.0,0.5886660932901133,5.1258,-0.9074052419099415,4.218394758090058
ZRX,545548644.0,883755.0,0.16225664951941,88.3755,-56.51881923240574,31.856680767594263
ZIL,7901840271.0,120827755.0,1.552853883110239,12082.7755,-818.6303582490309,11264.145141750969
MANA,1050141509.0,0.0,0.0,0.0,-108.79462128333468,-108.79462128333468
LSK,111855798.0,286921.0,0.25716938963185054,28.6921,-11.588256513489734,17.103843486510264
SC,37679831499.0,88108449.0,0.23438257640600035,8810.8449,-3903.629142187894,4907.215757812106
STEEM,281902619.0,829153.0,0.29499511704174086,82.9153,-29.20510084597103,53.71019915402897
ICX,400230000.0,0.0,0.0,0.0,-41.463813117617704,-41.463813117617704
OMG,140245398.0,0.0,0.0,0.0,-14.529418017834532,-14.529418017834532
Application Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
TRX,65748111645.0,2.288818359375e-05,4.440892098500626e-14,2.2888183593750002e-09,-2278.4263131722682,-2278.4263131699795
BNB,144443333.0,8.940696716308594e-08,6.661338147750939e-14,8.940696716308595e-12,-5.005520043624429,-5.005520043615489
MAID,452552412.0,1.7881393432617188e-07,4.440892098500626e-14,1.788139343261719e-11,-15.682691073436951,-15.68269107341907
MANA,1050141509.0,3.5762786865234375e-07,4.440892098500626e-14,3.576278686523438e-11,-36.391464131760955,-36.39146413172519
SC,37679831499.0,88108449.00001526,0.23438257640604476,8810.844900001526,-1305.751867472039,7505.093032529487
STEEM,281902619.0,829153.0000001192,0.29499511704178527,82.91530000001192,-9.769015851736963,73.14628414827496
ICX,400230000.0,1.7881393432617188e-07,4.440892098500626e-14,1.788139343261719e-11,-13.869517169475765,-13.869517169457884
OMG,140245398.0,5.960464477539063e-08,4.440892098500626e-14,5.960464477539063e-12,-4.8600453626688696,-4.860045362662909
GAS,10128375.0,,,,-0.35098735967166145,
BAT,1000000000.0,5.960464477539062e-07,6.661338147750939e-14,5.960464477539063e-11,-34.65386695019305,-34.65386695013344
RDD,28808713174.0,1.1444091796875e-05,4.440892098500626e-14,1.1444091796875001e-09,-998.3333133380697,-998.3333133369254
AE,233020472.0,8.940696716308594e-08,4.440892098500626e-14,8.940696716308595e-12,-8.075060433359184,-8.075060433350243
POLY,285782107.0,450000.0000001192,0.1577109581993641,45.00000000001192,-9.903455112723833,35.09654488728809
SNT,3470483788.0,1.430511474609375e-06,4.440892098500626e-14,1.4305114746093751e-10,-120.26568344215399,-120.26568344201094
QASH,350000000.0,1.7881393432617188e-07,4.440892098500626e-14,1.788139343261719e-11,-12.128853432567567,-12.128853432549686
DGD,2000000.0,9.313225746154785e-10,4.440892098500626e-14,9.313225746154786e-14,-0.0693077339003861,-0.06930773390029296
GNO,1104590.0,6.984919309616089e-10,6.661338147750939e-14,6.98491930961609e-14,-0.03827831489451374,-0.038278314894443895
PPT,37004027.0,7.450580596923828e-09,2.220446049250313e-14,7.450580596923828e-13,-1.282332628279351,-1.282332628278606
REP,11000000.0,5.587935447692871e-09,4.440892098500626e-14,5.587935447692872e-13,-0.3811925364521236,-0.3811925364515648
FUN,5179824689.0,1.9073486328125e-06,4.440892098500626e-14,1.9073486328125e-10,-179.5009555979311,-179.50095559774036
LRC,788984491.0,3.5762786865234375e-07,4.440892098500626e-14,3.576278686523438e-11,-27.34136357687979,-27.341363576844028
CVC,440000000.0,2.384185791015625e-07,4.440892098500626e-14,2.384185791015625e-11,-15.247701458084942,-15.2477014580611
GNT,959242000.0,3.5762786865234375e-07,4.440892098500626e-14,3.576278686523438e-11,-33.24144464103708,-33.241444641001316
GXS,60000000.0,2.9802322387695312e-08,4.440892098500626e-14,2.9802322387695314e-12,-2.0792320170115826,-2.0792320170086023
STORJ,135787439.0,5.960464477539063e-08,4.440892098500626e-14,5.960464477539063e-12,-4.705559844613455,-4.705559844607494
BNT,58854974.0,640978.0000000224,1.1010719827582838,64.09780000000224,-2.0395524383530708,62.05824756164917
ENG,74836171.0,2.9802322387695312e-08,4.440892098500626e-14,2.9802322387695314e-12,-2.5933627128958956,-2.5933627128929153
40 Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTG,17308336.0,0.0,0.0,0.0,-1.083406494134691,-1.083406494134691
GAS,10128375.0,,,,-0.6339804848964944,
DGB,11011353906.0,38514406.0,0.3509976246349078,3851.4406000000004,-689.2501007015231,3162.1904992984773
BAT,1000000000.0,0.0,0.0,0.0,-62.59449170241965,-62.59449170241965
QTUM,89011700.0,22012.0,0.02473545024677115,2.2012,-5.571642117068267,-3.370442117068267
RDD,28808713174.0,0.0,0.0,0.0,-1803.2667577273305,-1803.2667577273305
BCD,153756875.0,,,,-9.624333436377475,
BTS,2669690000.0,1680000.0,0.06296827972909202,168.0,-167.1078885530327,0.8921114469673057
AE,233020472.0,0.0,0.0,0.0,-14.585798001097912,-14.585798001097912
ELF,250000000.0,0.0,0.0,0.0,-15.648622925604913,-15.648622925604913
ZEN,5082563.0,65263.0,1.3007593725709032,6.5263,-0.3181404475305251,6.208159552469475
POLY,285782107.0,450000.0,0.15771095819931968,45.0,-17.888385725311508,27.111614274688492
NANO,133248289.0,0.0,0.0,0.0,-8.340608920172114,-8.340608920172114
SNT,3470483788.0,0.0,0.0,0.0,-217.23316867134793,-217.23316867134793
BCN,184066828814.0,66828814.0,0.03632000760869225,6682.8814,-11521.56958888862,-4838.68818888862
XVG,15172086051.0,0.0,0.0,0.0,-949.6890144277163,-949.6890144277163
HC,43529781.0,0.0,0.0,0.0,-2.7247245156126443,-2.7247245156126443
WAN,106152493.0,0.0,0.0,0.0,-6.644561342279659,-6.644561342279659
XZC,5757841.0,0.0,0.0,0.0,-0.3604091306983516,-0.3604091306983516
QASH,350000000.0,0.0,0.0,0.0,-21.908072095846876,-21.908072095846876
DGD,2000000.0,0.0,0.0,0.0,-0.1251889834048393,-0.1251889834048393
GNO,1104590.0,0.0,0.0,0.0,-0.06914124958957572,-0.06914124958957572
PIVX,56781166.0,0.0,0.0,0.0,-3.5541882240407126,-3.5541882240407126
AION,242806287.0,0.0,0.0,0.0,-15.198336116916822,-15.198336116916822
PPT,37004027.0,0.0,0.0,0.0,-2.3162482610076123,-2.3162482610076123
WAVES,100000000.0,0.0,0.0,0.0,-6.259449170241963,-6.259449170241963
STRAT,99079973.0,11821.0,0.011932189872676524,1.1821000000000002,-6.201860547824463,-5.019760547824463
REP,11000000.0,0.0,0.0,0.0,-0.6885394087266161,-0.6885394087266161
