Summary,,,
,turnover,,
BTS,0.007912139,0.007363034,0.000549106
ARK,0.002984253,0.00277359,0.000210663
NAS,0.004827548,0,0.004827548
AION,0.003797256,0.002995759,0.000801497
ADA,0.076476222,0.072080074,0.004396148
XEM,0.032906396,0.030762283,0.002144113
ARDR,0,0.002943843,0.002943843
Application,,,
,New Weight,Old Weight,Turnover
TRX,0.25,0.23109994,0.01890006
STORJ,0.006453256,0.006894775,0.00044152
STEEM,0.034868856,0.036480837,0.001611981
SNT,0.023584321,0.024138497,0.000554176
SC,0.038291993,0.038693865,0.000401872
REP,0.038764765,0.040278305,0.001513541
RDD,0.014456957,0,0.014456957
QASH,0.008153387,0.008789892,0.000636504
PPT,0.02677209,0.027856139,0.001084049
POLY,0.008487414,0.009873855,0.001386441
OMG,0.07853925,0.080904536,0.002365286
MAID,0.01520983,0.015693018,0.000483188
LRC,0.020336411,0.021098218,0.000761807
KNC,0.011931574,0.012078614,0.00014704
ICX,0.06325204,0.064561675,0.001309636
GXS,0.015516579,0.015941365,0.000424787
GNT,0.027275922,0.028394266,0.001118344
GNO,0.004992207,0.005138192,0.000145985
FUN,0.012382602,0.012350568,3.20334E-05
ETHOS,0.009464262,0,0.009464262
ENG,0.01105906,0.011440718,0.000381658
DGD,0.019627651,0.020032139,0.000404488
CVC,0.00610883,0.006395302,0.000286472
BNT,0.015109378,0.015551098,0.00044172
BNB,0.169580019,0.173501076,0.003921057
BAT,0.024824473,0.025620051,0.000795578
AE,0.044956874,0.046924663,0.00196779
LOOM,0,0.01084189,0.01084189
SYS,0,0.009426503,0.009426503
