,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,20986335.65,0.0,0.0,0.0,-0.011931363367981052,-0.011931363367981052
ETH,135135633.79999998,0.0,0.0,0.0,-0.07682867451089406,-0.07682867451089406
XRP,100000000000.0,0.0,0.0,0.0,-56.85300934363477,-56.85300934363477
BCH,20982433.29,0.0,0.0,0.0,-0.01192914475888563,-0.01192914475888563
BSV,20982141.46,0.0,0.0,0.0,-0.011928978844748465,-0.011928978844748465
XTZ,1923800541.46,0.0,0.0,0.0,-1.09373850158915,-1.09373850158915
LTC,83880542.21,0.0,0.0,0.0,-0.0476886125001428,-0.0476886125001428
EOS,1366411730.19,0.0,0.0,0.0,-0.7768461886374421,-0.7768461886374421
XLM,50000000000.0,0.0,0.0,0.0,-28.426504671817383,-28.426504671817383
ADA,42014022058.74,0.0,0.0,0.0,-23.886235886692223,-23.886235886692223
LINK,1000000000.0,0.0,0.0,0.0,-0.5685300934363476,-0.5685300934363476
BNB,100000000.0,0.0,0.0,0.0,-0.05685300934363476,-0.05685300934363476
TRX,104145119673.46,0.0,0.0,0.0,-59.20963461889183,-59.20963461889183
DASH,17600805.03,0.0,0.0,0.0,-0.01000658732826084,-0.01000658732826084
XMR,22466083.47,0.0,0.0,0.0,-0.012772644534347885,-0.012772644534347885
ETC,194571423.67,0.0,0.0,0.0,-0.11061970967914829,-0.11061970967914829
ICX,4105532970.53,0.0,0.0,0.0,-2.3341190433414267,-2.3341190433414267
NEO,100000000.0,0.0,0.0,0.0,-0.05685300934363477,-0.05685300934363477
ZEC,20924230.74,0.0,0.0,0.0,-0.011896054857695897,-0.011896054857695897
DOGE,280666706295.71,0.0,0.0,0.0,-159.56746875477197,-159.56746875477197
IOT,2779530283.28,,,,-1.5802466116623364,
ONT,1000000000.0,0.0,0.0,0.0,-0.5685300934363476,-0.5685300934363476
XEM,8999999999.0,0.0,0.0,0.0,-5.116770840358599,-5.116770840358599
RVN,20754957265.63,0.0,0.0,0.0,-11.799817793496025,-11.799817793496025
VET,86716263400.0,0.0,0.0,0.0,-49.30080533325294,-49.30080533325294
DCR,20619744.270000003,0.0,0.0,0.0,-0.011722945136456697,-0.011722945136456697
LSK,231538505.47,0.0,0.0,0.0,-0.13163660814897138,-0.13163660814897138
BAT,1500000000.0,0.0,0.0,0.0,-0.8527951401545214,-0.8527951401545214
ZRX,1000000000.0,0.0,0.0,0.0,-0.5685300934363476,-0.5685300934363476
QTUM,107823401.54,0.0,0.0,0.0,-0.06130084855216104,-0.06130084855216104
BTG,20983114.73,0.0,0.0,0.0,-0.011929532178032502,-0.011929532178032502
NMR,9248182.0,0.0,0.0,0.0,-0.0052578697765763485,-0.0052578697765763485
MONA,105082725.0,0.0,0.0,0.0,-0.05974269146279604,-0.05974269146279604
SC,91002491209.17,0.0,0.0,0.0,-51.737654830089824,-51.737654830089824
ZEN,20865535.36,0.0,0.0,0.0,-0.011862684767820217,-0.011862684767820217
SNT,6804870174.89,0.0,0.0,0.0,-3.8687734763524273,-3.8687734763524273
MCO,22111377.4,0.0,0.0,0.0,-0.012570983459228344,-0.012570983459228344
BCD,210000000.0,0.0,0.0,0.0,-0.11939131962163302,-0.11939131962163302
REP,11000000.0,0.0,0.0,0.0,-0.006253831027799825,-0.006253831027799825
WAVES,99000000.0,0.0,0.0,0.0,-0.056284479250198416,-0.056284479250198416
DGB,21000000000.0,0.0,0.0,0.0,-11.9391319621633,-11.9391319621633
KNC,178212585.95999998,0.0,0.0,0.0,-0.10131921814737192,-0.10131921814737192
ZIL,20999982720.4,0.0,0.0,0.0,-11.939122138190697,-11.939122138190697
KMD,200000000.0,0.0,0.0,0.0,-0.11370601868726954,-0.11370601868726954
THETA,1000000000.0,0.0,0.0,0.0,-0.5685300934363477,-0.5685300934363477
OMG,140245398.25,0.0,0.0,0.0,-0.07973372937109029,-0.07973372937109029
XZC,21347303.34,0.0,0.0,0.0,-0.012136584362504256,-0.012136584362504256
NANO,133248289.0,0.0,0.0,0.0,-0.07575566219540346,-0.07575566219540346
STEEM,367786256.33699995,6178323.961999953,1.7085698096890312,617.8323961999953,-0.2090975546798791,617.6232986453155
ARK,381936707.22,0.0,0.0,0.0,-0.2171425118425576,-0.2171425118425576
