,New Weight,Old Weight,Turnover
10 Index,,,0.0015214938943270678
20 Index,,,0.03556581316822011
40 Index,,,0.18398509856871842
Total Index,,,0.007016065950120196
ETH Index,,,0.014786532925259445
Currency Index,,,0.0031533788150140377
Platform Index,,,0.02824862839460553
Application Index,,,0.028383431149871505
20 Index,New Weight,Old Weight,Turnover
ADA,0.17602278998412946,0.177041880607048,0.0010190906229185503
TRX,0.08965745508076119,0.08586050145694901,0.0037969536238121743
BNB,0.08161786238972582,0.081869889289942,0.0002520269002161818
XMR,0.07466894334002264,0.07567923510150201,0.001010291761479376
DASH,0.06474582137117861,0.06471091911073701,3.490226044160216e-05
ICX,0.06442195053387846,0.064121593299247,0.00030035723463145425
ETC,0.061215661192878836,0.061426581070756006,0.00021091987787717065
ZEC,0.0604710215882979,0.060911381546425,0.00044035995812709977
NEO,0.053014879956320135,0.05310338458717401,8.850463085387228e-05
VET,0.039987229585036685,0.04021967719245,0.00023244760741331777
DOGE,0.03444058503723919,0.034854829169577,0.00041424413233781543
ONT,0.033195242015776484,0.033409793777073,0.0002145517612965192
IOT,0.03101758204671573,0.0,0.03101758204671573
RVN,0.02091092586478453,0.020918297311105002,7.371446320472708e-06
BAT,0.020402536159330152,0.02053521952559,0.00013268336625984686
DGB,0.02022876820083194,0.020366372650160003,0.00013760444932806384
ZIL,0.019600501873712917,0.019698785924492,9.828405077908289e-05
XEM,0.01992727142485921,0.019562786592703,0.00036448483215621025
ZRX,0.018530165226671717,0.018651326146957,0.00012116092028528411
DCR,0.015922807127848413,0.015871273957381003,5.153317046741046e-05
MIOTA,0.0,0.031186271682723,0.031186271682723
Application Index,New Weight,Old Weight,Turnover
LINK,0.25,0.27388943321124404,0.023889433211244038
TRX,0.1764521310529275,0.166594106289525,0.009858024763402501
BNB,0.16062965135112373,0.15885116912715502,0.0017784822239687026
ICX,0.12678689628263126,0.12441436223039701,0.002372534052234254
BAT,0.040153615568893436,0.039844241371454,0.000309374197439434
SC,0.027162209571908263,0.026988551415660002,0.000173658156248261
THETA,0.02360904976419035,0.023468718239600003,0.00014033152459034734
KNC,0.02126437323184107,0.021065274062942,0.00019909916889906953
OMG,0.0210333810490616,0.020675707259740002,0.000357673789321597
NMR,0.020627987779489404,0.020245499632696,0.0003824881467934041
REP,0.018699991703577886,0.018708238900004,8.247196426114378e-06
SNT,0.016277695182744162,0.016087130370127,0.00019056481261716177
GAS,0.010825893041289086,0.010741979816927,8.39132243620859e-05
MCO,0.009246860522301904,0.009142124646369001,0.0001047358759329025
IOST,0.009314504662855959,0.007349473259715001,0.001965031403140958
LRC,0.00929909802892378,0.0,0.00929909802892378
DGD,0.009057584449136928,0.009011340670026001,4.624377911092645e-05
STEEM,0.007827433689303664,0.007690919653066001,0.00013651403623766382
STORJ,0.007223848205176037,0.0069101775290570005,0.0003136706761190369
AE,0.006961027906350769,0.006838961303996,0.00012206660235476816
RCN,0.006452140220701965,0.006386403464080001,6.573675662196413e-05
MANA,0.005828377941226771,0.005548528404201,0.0002798495370257706
GNT,0.005466233638094266,0.005412669053708,5.356458438626581e-05
GXC,0.005030942848097103,0.00492226283457,0.00010868001352710294
MAID,0.004769072308152908,0.004726976511532001,4.209579662090707e-05
FUN,0.0,0.004485750742194,0.004485750742194
Platform Index,New Weight,Old Weight,Turnover
ETH,0.25,0.25009826899912,9.82689991200214e-05
XRP,0.25,0.23205392052877302,0.017946079471226978
XTZ,0.12948147121390666,0.12706517654965802,0.0024162946642486416
EOS,0.09196591923819612,0.08985196554166701,0.002113953696529114
ADA,0.09168028286612252,0.090006157044883,0.0016741258212395194
ETC,0.03188376422454084,0.031228602428009,0.0006551617965318383
NEO,0.027612442632838533,0.026997180307729,0.0006152623251095314
VET,0.02082707881018864,0.020447244286299,0.00037983452388963904
ONT,0.01728951789759825,0.016985173989485,0.00030434390811324985
RVN,0.01089131468969907,0.010634633717395,0.0002566809723040693
ZIL,0.010208789192933394,0.010014647457618,0.00019414173531539375
XEM,0.010378984909543887,0.0099455068838,0.0004334780257438872
ZRX,0.00965131156988491,0.009482130355384,0.00016918121450090924
DCR,0.008293286691089679,0.008068782207985,0.00022450448310467816
LSK,0.007190437731252011,0.007023812918064001,0.00016662481318801062
WAVES,0.00611425693623148,0.0059907960333910005,0.00012346090284047918
QTUM,0.004916352246881869,0.004810601017371001,0.00010575122951086806
ARK,0.0034256856967426162,0.003278541103935,0.00014714459280761602
KMD,0.003511250427586941,0.0034447236345540003,6.652679303294088e-05
NULS,0.0033295101468287487,0.0032613116680920004,6.819847873674838e-05
BTS,0.0024947387911255533,0.002459046152629,3.56926384965533e-05
HOT,0.002466245263748001,0.030616604659227,0.028150359395479
AION,0.002404362730804617,0.002328162596706,7.620013409861699e-05
ARDR,0.0014054663500207005,0.0013829159529470001,2.2550397073700396e-05
ELF,0.0013604342587869881,0.0013303056397120001,3.012861907498803e-05
WAN,0.0012170954834480727,0.001193788325554,2.330715789407257e-05
ETH Index,New Weight,Old Weight,Turnover
LINK,0.4102149375365318,0.416082218131117,0.005867280594585189
TRX,0.15014132247196293,0.14493171048372,0.005209611988242935
BNB,0.13667813552693228,0.13819559507061002,0.0015174595436777405
VET,0.06696303755755054,0.06789043287299701,0.000927395315446472
BAT,0.034166302824283394,0.034663255402656,0.0004969525783726086
ZIL,0.032823207727484614,0.033251363433053,0.00042815570556838795
ZRX,0.031030810658749877,0.031483261283113004,0.00045245062436312725
KNC,0.018093638764886184,0.018326135718419,0.00023249695353281738
OMG,0.017897089867481304,0.017987224670523,9.013480304169777e-05
NMR,0.017552144860290962,0.017612957365158003,6.08125048670409e-05
REP,0.01591163262147146,0.016275588160384002,0.0003639555389125422
SNT,0.013850525164808778,0.013995304955537,0.00014477979072822188
MCO,0.00786805950853468,0.007953365169779,8.530566124432051e-05
IOST,0.007925617219284113,0.006393814009445001,0.0015318032098391122
LRC,0.007912507871272186,0.0,0.007912507871272186
DGD,0.007707006424235201,0.007839587162757001,0.00013258073852179947
AION,0.00773048555259133,0.007730135380395,3.501721963297677e-07
AE,0.0059230677996756536,0.005949684426396,2.6616626720346766e-05
MANA,0.004959307471892874,0.004827047788178,0.0001322596837148738
GNT,0.004651162570079858,0.004708854362908001,5.7691792828142886e-05
FUN,0.0,0.0039024641528430004,0.0039024641528430004
40 Index,New Weight,Old Weight,Turnover
LSK,0.05382176174845881,0.044726374945128,0.009095386803330809
SC,0.05380643510330827,0.045029832572073006,0.008776602531235266
THETA,0.04676787433749404,0.039157064665470004,0.007610809672024037
WAVES,0.04576634864111568,0.038148309577,0.007618039064115678
KNC,0.04212323431503513,0.035146968413752006,0.006976265901283127
OMG,0.041665654976388515,0.034496984364824006,0.007168670611564509
NMR,0.04086259929740157,0.033779191952824,0.007083407344577568
QTUM,0.03679980957947916,0.030633040390499,0.00616676918898016
MONA,0.03665422489147936,0.030315338687046,0.006338886204433361
REP,0.03704337408071467,0.031214304629062002,0.005829069451652666
BTG,0.03561144915377449,0.029629914690478,0.005981534463296488
SNT,0.03224497429647899,0.026841039964509,0.005403934331969989
BCD,0.029366051331222307,0.024516607656984,0.004849443674238306
ZEN,0.029812799531934768,0.024665881315897004,0.005146918216037764
ARK,0.025641893621277532,0.020877158944612003,0.004764734676665529
NANO,0.028069680086771902,0.023356737319365002,0.0047129427674069
KMD,0.026282361521800243,0.021935379352884,0.004346982168916241
NULS,0.02492200176949317,0.020767445001969,0.0041545567675241694
GAS,0.02144533602170254,0.017922768258253,0.0035225677634495405
XVG,0.02067246873863859,0.017350662373924002,0.0033218063647145885
XZC,0.019466971120508308,0.016238961213123,0.003228009907385306
BTS,0.018673583147380674,0.015658762770717,0.003014820376663674
HOT,0.0184603038034511,0.19496102124439402,0.17650071744094292
MCO,0.018317383174789568,0.015253443426391,0.003063939748398567
IOST,0.01845138148038416,0.012262442147447001,0.006188939332937158
LRC,0.018420862017428187,0.0,0.018420862017428187
DGD,0.017942440528080403,0.015035233102053002,0.002907207426027401
AION,0.01799710155221764,0.014825319872301,0.0031717816799166406
STEEM,0.015505598015286119,0.012832138300757,0.0026734597145291177
PIVX,0.014903114066450259,0.012074344197687001,0.0028287698687632576
STORJ,0.01430993743785651,0.011529486424981,0.0027804510128755094
AE,0.013789308830116163,0.011410663645591,0.002378645184525163
RCN,0.012781237960172892,0.010655580371697001,0.002125657588475891
MANA,0.011545608564058351,0.009257603389472001,0.00228800517458635
GNT,0.010828226059039887,0.009030924909705002,0.0017973011493348859
ARDR,0.010520176637858009,0.008806159581792001,0.0017140170560660077
ELF,0.010183103072102549,0.008471146587687,0.0017119564844155482
GXC,0.009965945485692384,0.008212692408078,0.0017532530776143834
MAID,0.009447198283787716,0.007886861269734001,0.001560337014053715
WAN,0.009110185719369468,0.0076018289320540005,0.0015083567873154678
FUN,0.0,0.007484381127765001,0.007484381127765001
10 Index,New Weight,Old Weight,Turnover
BTC,0.7132250545601435,0.712505860450455,0.0007191941096884591
ETH,0.11538728439193648,0.11496581923357901,0.0004214651583574619
XRP,0.06638310974788884,0.06788914283085601,0.0015060330829671648
BCH,0.017930389107954043,0.017891088374248,3.9300733706042895e-05
XTZ,0.017780658763660126,0.017763158109928002,1.7500653732124144e-05
LINK,0.017520435910801237,0.01751858404746,1.8518633412359375e-06
LTC,0.013386835953561084,0.013402296764918002,1.5460811356917542e-05
BSV,0.013233261095208991,0.013049386567154,0.0001838745280549909
EOS,0.012628946925998977,0.012560913333958002,6.80335920409756e-05
XLM,0.012524023542846765,0.012453750287438002,7.027325540876275e-05
Total Index,New Weight,Old Weight,Turnover
BTC,0.6544135045309961,0.651866601000713,0.0025469035302830845
ETH,0.10587260875714836,0.105181419515169,0.0006911892419793619
XRP,0.060909250472942225,0.06211129934289,0.0012020488699477777
BCH,0.01645187405955203,0.016368430933819,8.344312573303064e-05
XTZ,0.016314490272039902,0.016251388434667002,6.310183737289962e-05
LINK,0.01607572503516322,0.016027629344892002,4.809569027121666e-05
LTC,0.012282976004473364,0.012261667058046,2.130894642736296e-05
BSV,0.012142064716206824,0.011938791999967,0.00020327271623982353
EOS,0.01158758145628495,0.011491891274123001,9.569018216194942e-05
XLM,0.011491309909966049,0.011393848556490001,9.746135347604712e-05
ADA,0.011551591659676624,0.01151161206687,3.9979592806623984e-05
TRX,0.0058838194215199745,0.005582819055300001,0.00030100036621997367
BNB,0.005356216763447491,0.005323341585798,3.287517764949052e-05
XMR,0.00490019015833825,0.0049208130472780005,2.0622888939750457e-05
DASH,0.0042489798634463925,0.004207631520514001,4.1348342932391764e-05
ICX,0.004227725662991405,0.004169312394556,5.841326843540433e-05
ETC,0.004017311175109803,0.003994077386978,2.3233788131802983e-05
ZEC,0.003968443794661409,0.003960578098330001,7.865696331408462e-06
NEO,0.0034791304307663844,0.003452886744702,2.6243686064384136e-05
VET,0.002624183765123433,0.0026151626931810003,9.021071942432596e-06
DOGE,0.002260182189513222,0.002266329699398,6.147509884778246e-06
ONT,0.0021784558740658754,0.002172370649685,6.085224380875283e-06
IOT,0.0020355457501070287,0.0,0.0020355457501070287
RVN,0.0013722909223148898,0.0013601489258880002,1.2141996426889585e-05
BAT,0.001338927570433456,0.00133524045314,3.6871172934560287e-06
DGB,0.0013275239533206491,0.0013242616964640002,3.2622568566489842e-06
ZIL,0.0012862936327180836,0.0012808538915960001,5.439741122083503e-06
XEM,0.001307738062851239,0.001272010946957,3.572711589423902e-05
ZRX,0.0012160522061043927,0.001212745992079,3.3062140253926897e-06
DCR,0.0010449429078659477,0.001031981518598,1.2961389267947656e-05
LSK,0.000905985430335614,0.0008983319830298637,7.653447305750317e-06
SC,0.0009057274358599367,0.0009044269480726175,1.3004877873191946e-06
THETA,0.0007872468566815309,0.0007864720445981985,7.748120833323728e-07
WAVES,0.0007703881055082379,0.0007662111367976407,4.176968710597139e-06
KNC,0.0007090633106064724,0.0007059290155160111,3.134295090461304e-06
OMG,0.0007013608460165184,0.000692874046041569,8.486799974949388e-06
NMR,0.0006878429543445446,0.0006784571414373672,9.385812907177437e-06
QTUM,0.0006194537346055522,0.0006152664944116701,4.187240193882151e-06
MONA,0.0006170030975040725,0.000608885436218946,8.11766128512646e-06
REP,0.0006235536726658787,0.0006269412222815971,3.387549615718375e-06
BTG,0.0005994499815380176,0.0005951186532232564,4.331328314761225e-06
SNT,0.0005427818779082023,0.0005391039333610897,3.6779445471126155e-06
BCD,0.0004943207689283232,0.0004924175679492038,1.9032009791193454e-06
ZEN,0.0005018409122258573,0.0004954157385407149,6.425173685142339e-06
ARK,0.00043163176515228775,0.00041931901741986685,1.2312747732420902e-05
NANO,0.0004724988622938428,0.00046912150110432684,3.3773611895159504e-06
KMD,0.00044241280552742617,0.00044057343920145525,1.839366325970921e-06
NULS,0.0004195137759236532,0.00041711540615510745,2.398369768545725e-06
GAS,0.0003609908214286645,0.00035997989934516856,1.0109220834959485e-06
XVG,0.0003479810931088913,0.00034848911758155723,5.080244726659482e-07
XZC,0.0003276888684984326,0.00032616053160639853,1.5283368920340616e-06
BTS,0.0003143337139864619,0.0003145072103176433,1.7349633118140867e-07
HOT,0.00031074356806937365,0.003915804065115,0.0036050604970456267
MCO,0.00030833777526261056,0.0003063663464359688,1.9714288266417567e-06
IOST,0.00031059337798936145,0.0002462919023645379,6.430147562482355e-05
LRC,0.0003100796417629442,0.0,0.0003100796417629442
DGD,0.00030202633981169446,0.000301983578692768,4.27611189264673e-08
AION,0.00030294645260374713,0.00029776745860302464,5.178994000722495e-06
STEEM,0.00026100680160088397,0.00025773428453291223,3.272517067971737e-06
PIVX,0.000250865147706175,0.00024251394351097703,8.35120419519797e-06
STORJ,0.0002408801645755006,0.00023157044173994354,9.30972283555705e-06
AE,0.0002321163872871778,0.00022918387893065432,2.932508356523467e-06
RCN,0.0002151474607555132,0.000214017985078941,1.12947567657221e-06
MANA,0.0001943480258465245,0.0001859395316783866,8.408494168137893e-06
GNT,0.0001822722766251976,0.00018138668051418161,8.855961110159933e-07
ARDR,0.00017708685945660982,0.0001768722551222646,2.146043343452162e-07
ELF,0.00017141287685914366,0.0001701434985954085,1.2693782637351718e-06
GXC,0.00016775744821869993,0.00016495243055166,2.8050176670399343e-06
MAID,0.00015902534076466524,0.0001584080921607121,6.172486039531357e-07
WAN,0.00015335238500691883,0.00015268320018254152,6.691848243773094e-07
FUN,0.0,0.0001503242538324424,0.0001503242538324424
MIOTA,0.0,0.0020277928600420003,0.0020277928600420003
Currency Index,New Weight,Old Weight,Turnover
BTC,0.897521286675452,0.8977458372855631,0.00022455061011117383
BCH,0.02256357344693556,0.022542481408273002,2.1092038662559598e-05
LTC,0.016845973304966348,0.01688667672595,4.070342098365376e-05
BSV,0.01665271494480656,0.016442015596036003,0.0002106993487705558
XLM,0.015760211524624174,0.015691523536485,6.868798813917248e-05
XMR,0.006720559623869775,0.006776907150133,5.634752626322483e-05
DASH,0.005827431505759618,0.005794718852867,3.271265289261829e-05
ZEC,0.005442679217380086,0.005454478716293,1.1799498912914291e-05
DOGE,0.0030998162672493637,0.003121172415381,2.135614813163645e-05
IOT,0.0027917297367390684,0.0,0.0027917297367390684
DGB,0.0018206852371280755,0.0018237633645480002,3.0781274199247633e-06
MONA,0.0008462133041577004,0.0008385524966461116,7.660807511588783e-06
BTG,0.000822139388937525,0.0008195929854390314,2.5464034984935954e-06
BCD,0.0006779557718279535,0.0006781538142221748,1.9804239422135331e-07
ZEN,0.0006882695698190625,0.0006822828724740767,5.986697344985826e-06
NANO,0.0006480272547898968,0.0006460706441333738,1.956610656522967e-06
XVG,0.00047725243483423465,0.00047993662225965085,2.6841874254162007e-06
XZC,0.0004494218607159043,0.0004491858596329127,2.3600108299158193e-07
PIVX,0.00034405893000731774,0.0003339884002899659,1.0070529717351841e-05
MIOTA,0.0,0.0027926612533700004,0.0027926612533700004
