,10 Index,10 Even Index
BTC,55.13%,10.00%
ETH,15.61%,10.00%
BCH,12.99%,10.00%
XRP,5.93%,10.00%
XLM,0.90%,10.00%
LTC,3.38%,10.00%
ADA,2.46%,10.00%
DASH,2.38%,10.00%
ZEC,0.38%,10.00%
ETC,0.85%,10.00%
,20 Index,20 Even Index
EOS,9.59%,5.00%
MIOTA,20.49%,5.00%
XEM,11.98%,5.00%
XMR,10.59%,5.00%
NEO,7.13%,5.00%
QTUM,6.79%,5.00%
BTG,10.99%,5.00%
TRX,4.65%,5.00%
LSK,3.27%,5.00%
MAID,0.51%,5.00%
OMG,2.62%,5.00%
HSR,2.28%,5.00%
GNO,0.35%,5.00%
STEEM,1.20%,5.00%
DCR,0.89%,5.00%
DOGE,1.09%,5.00%
WAVES,2.21%,5.00%
STRAT,1.60%,5.00%
SC,1.09%,5.00%
SALT,0.68%,5.00%
,40 Index,40 Even Index
BTS,7.74%,2.50%
MONA,3.95%,2.50%
PIVX,2.12%,2.50%
ARDR,5.33%,2.50%
REP,4.66%,2.50%
DGD,1.52%,2.50%
BCN,4.48%,2.50%
DGB,2.27%,2.50%
ARK,3.44%,2.50%
VTC,1.70%,2.50%
PAY,1.75%,2.50%
EMC2,1.50%,2.50%
MTL,0.84%,2.50%
CVC,1.04%,2.50%
GBYTE,2.21%,2.50%
LBC,0.41%,2.50%
KNC,1.66%,2.50%
BNB,2.42%,2.50%
KMD,3.74%,2.50%
BAT,1.77%,2.50%
SYS,1.49%,2.50%
ZRX,1.34%,2.50%
GNT,2.34%,2.50%
FCT,1.83%,2.50%
GAME,1.06%,2.50%
ICN,1.03%,2.50%
NXT,5.52%,2.50%
XVG,9.91%,2.50%
SNT,3.05%,2.50%
VET,2.00%,2.50%
POWR,1.95%,2.50%
DGD,1.52%,2.50%
ZRX,1.34%,2.50%
SYS,1.49%,2.50%
AE,1.65%,2.50%
BTM,2.13%,2.50%
WTC,1.96%,2.50%
SAN,1.27%,2.50%
BAY,1.30%,2.50%
GXS,1.27%,2.50%
,Eth Index,Eth Even Index
EOS,33.19%,4.00%
TRX,16.08%,4.00%
OMG,9.05%,4.00%
REP,4.94%,4.00%
SNT,3.23%,4.00%
BNB,2.57%,4.00%
SALT,2.35%,4.00%
GNT,2.48%,4.00%
PAY,1.86%,4.00%
BAT,1.88%,4.00%
POWR,2.07%,4.00%
BTM,2.26%,4.00%
DGD,1.61%,4.00%
KNC,1.76%,4.00%
AE,1.75%,4.00%
QASH,1.69%,4.00%
WTC,2.07%,4.00%
SAN,1.35%,4.00%
ZRX,1.42%,4.00%
FUN,1.14%,4.00%
GNO,1.20%,4.00%
ICN,1.09%,4.00%
CVC,1.10%,4.00%
MCO,0.98%,4.00%
MTL,0.89%,4.00%
,Total Index,Total Index Even
BTC,46.80%,1.43%
ETH,13.25%,1.43%
BCH,11.03%,1.43%
XRP,5.03%,1.43%
XLM,0.76%,1.43%
LTC,2.87%,1.43%
ADA,2.09%,1.43%
DASH,2.02%,1.43%
ZEC,0.33%,1.43%
ETC,0.72%,1.43%
EOS,1.11%,1.43%
MIOTA,2.37%,1.43%
XEM,1.39%,1.43%
XMR,1.23%,1.43%
NEO,0.83%,1.43%
QTUM,0.79%,1.43%
BTG,1.27%,1.43%
TRX,0.54%,1.43%
LSK,0.38%,1.43%
MAID,0.06%,1.43%
OMG,0.30%,1.43%
HSR,0.26%,1.43%
GNO,0.04%,1.43%
STEEM,0.14%,1.43%
DCR,0.10%,1.43%
DOGE,0.13%,1.43%
WAVES,0.26%,1.43%
STRAT,0.19%,1.43%
SC,0.13%,1.43%
SALT,0.08%,1.43%
BTS,0.27%,1.43%
MONA,0.14%,1.43%
PIVX,0.08%,1.43%
ARDR,0.19%,1.43%
REP,0.17%,1.43%
DGD,0.05%,1.43%
BCN,0.16%,1.43%
DGB,0.08%,1.43%
ARK,0.12%,1.43%
VTC,0.06%,1.43%
PAY,0.06%,1.43%
EMC2,0.05%,1.43%
MTL,0.03%,1.43%
CVC,0.04%,1.43%
GBYTE,0.08%,1.43%
LBC,0.01%,1.43%
KNC,0.06%,1.43%
BNB,0.09%,1.43%
KMD,0.13%,1.43%
BAT,0.06%,1.43%
SYS,0.05%,1.43%
ZRX,0.05%,1.43%
GNT,0.08%,1.43%
FCT,0.06%,1.43%
GAME,0.04%,1.43%
ICN,0.04%,1.43%
NXT,0.20%,1.43%
XVG,0.35%,1.43%
SNT,0.11%,1.43%
VEN,0.07%,1.43%
POWR,0.07%,1.43%
DGD,0.05%,1.43%
ZRX,0.05%,1.43%
SYS,0.05%,1.43%
AE,0.06%,1.43%
BTM,0.08%,1.43%
WTC,0.07%,1.43%
SAN,0.05%,1.43%
BAY,0.05%,1.43%
GXS,0.04%,1.43%
