,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Currency Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,20986335.650000002,7.450580596923828e-09,4.440892098500626e-14,7.450580596923828e-13,-7.55059911474587e-13,-1.0001851782204165e-14
BCH,20982433.290000003,7.450580596923828e-09,4.440892098500626e-14,7.450580596923828e-13,-7.549195098511077e-13,-9.861450158724821e-15
BSV,20982141.460000005,1.1175870895385742e-08,4.440892098500626e-14,1.1175870895385743e-12,-7.549090102032588e-13,3.626780793353155e-13
LTC,83880542.21000001,2.9802322387695312e-08,4.440892098500626e-14,2.9802322387695314e-12,-3.0179082156976248e-12,-3.767597692809338e-14
XLM,50000000000.00001,2.288818359375e-05,4.440892098500626e-14,2.2888183593750002e-09,-1.798932229206453e-09,4.898861301685471e-10
XMR,22466083.470000003,7.450580596923828e-09,2.220446049250313e-14,7.450580596923828e-13,-8.082992323645068e-13,-6.324117267212394e-14
DASH,17600805.030000005,1.1175870895385742e-08,6.661338147750939e-14,1.1175870895385743e-12,-6.332531085689212e-13,4.843339809696531e-13
ZEC,20924230.740000002,7.450580596923828e-09,4.440892098500626e-14,7.450580596923828e-13,-7.528254609907676e-13,-7.767401298384765e-15
DOGE,280666706295.7101,6.103515625e-05,2.220446049250313e-14,6.103515625e-09,-1.0098007672411488e-08,-3.994492047411488e-09
IOT,2779530283.2800007,,,,-1.0000373217295469e-10,
DGB,21000000000.000004,3.814697265625e-06,2.220446049250313e-14,3.814697265625e-10,-7.555515362667103e-10,-3.740818097042103e-10
BTG,20983114.730000004,3.725290298461914e-09,2.220446049250313e-14,3.725290298461914e-13,-7.549440271386733e-13,-3.8241499729248184e-13
MONA,105082725.00000003,7.450580596923828e-08,6.661338147750939e-14,7.450580596923828e-12,-3.780734014706773e-12,3.669846582217055e-12
ZEN,20865535.360000003,3.725290298461914e-09,2.220446049250313e-14,3.725290298461914e-13,-7.507136807750174e-13,-3.78184650928826e-13
BCD,210000000.00000006,8.940696716308594e-08,4.440892098500626e-14,8.940696716308595e-12,-7.555515362667102e-12,1.385181353641493e-12
NANO,133248289.00000003,2.9802322387695312e-08,2.220446049250313e-14,2.9802322387695314e-12,-4.794092831374313e-12,-1.8138605926047816e-12
XZC,21347303.340000004,3.725290298461914e-09,2.220446049250313e-14,3.725290298461914e-13,-7.680470396994512e-13,-3.9551800985325976e-13
XVG,16500000000.000004,7.62939453125e-06,4.440892098500626e-14,7.62939453125e-10,-5.936476356381295e-10,1.692918174868705e-10
PIVX,175458680.40000004,5.960464477539063e-08,4.440892098500626e-14,5.960464477539063e-12,-6.312765501311892e-12,-3.523010237728293e-13
ETH Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
LINK,1000000000.0,0.0,0.0,0.0,0.144171017343084,0.144171017343084
BNB,100000000.0,0.0,0.0,0.0,0.014417101734308399,0.014417101734308399
TRX,104145119673.46,0.0,0.0,0.0,15.014707854639958,15.014707854639958
VET,86716263400.0,0.0,0.0,0.0,12.501971914568838,12.501971914568838
ZIL,20999982720.4,0.0,0.0,0.0,3.0275888729872524,3.0275888729872524
ZRX,1000000000.0,0.0,0.0,0.0,0.14417101734308396,0.14417101734308396
BAT,1500000000.0,0.0,0.0,0.0,0.21625652601462597,0.21625652601462597
OMG,140245398.25,0.0,0.0,0.0,0.02021932174338847,0.02021932174338847
NMR,9248182.0,0.0,0.0,0.0,0.001333319807513997,0.001333319807513997
SNT,6804870174.89,0.0,0.0,0.0,0.981065056001501,0.981065056001501
REP,11000000.0,0.0,0.0,0.0,0.0015858811907739235,0.0015858811907739235
KNC,178212585.95999998,0.0,0.0,0.0,0.025693089821195,0.025693089821195
MCO,22111377.4,0.0,0.0,0.0,0.003187819774614874,0.003187819774614874
DGD,2000000.0,,,,0.0002883420346861679,
AION,901012592.0,0.0,0.0,0.0,0.12989990202756904,0.12989990202756904
AE,503616445.26,0.0,0.0,0.0,0.07260689526384174,0.07260689526384174
IOST,12013971820.763948,-1221.905403137207,-1.0170702058331926e-05,-0.1221905403137207,1.7320665397306814,1.6098759994169607
MANA,1369785731.9725733,-389443.4376363754,-0.02842289399380693,-38.94434376363755,0.19748340252052685,-38.74686036111702
GNT,1000000000.0,0.0,0.0,0.0,0.14417101734308393,0.14417101734308393
FUN,11000000000.0,0.0,0.0,0.0,1.5858811907739239,1.5858811907739239
20 Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
ADA,42014022058.74,,,,-0.0,
BNB,100000000.0,0.0,0.0,0.0,-0.0,0.0
TRX,104145119673.46,0.0,0.0,0.0,-0.0,0.0
XMR,22466083.47,0.0,0.0,0.0,-0.0,0.0
ICX,4105532970.53,0.0,0.0,0.0,-0.0,0.0
ETC,194571423.67,0.0,0.0,0.0,-0.0,0.0
DASH,17600805.03,0.0,0.0,0.0,-0.0,0.0
NEO,100000000.0,0.0,0.0,0.0,-0.0,0.0
ZEC,20924230.74,0.0,0.0,0.0,-0.0,0.0
DOGE,280666706295.71,0.0,0.0,0.0,-0.0,0.0
IOT,2779530283.28,,,,-0.0,
ONT,1000000000.0,0.0,0.0,0.0,-0.0,0.0
VET,86716263400.0,0.0,0.0,0.0,-0.0,0.0
RVN,20754957265.63,0.0,0.0,0.0,-0.0,0.0
XEM,8999999999.0,0.0,0.0,0.0,-0.0,0.0
ZIL,20999982720.4,,,,-0.0,
DGB,21000000000.0,0.0,0.0,0.0,-0.0,0.0
ZRX,1000000000.0,0.0,0.0,0.0,-0.0,0.0
BAT,1500000000.0,0.0,0.0,0.0,-0.0,0.0
DCR,20619744.270000003,0.0,0.0,0.0,-0.0,0.0
Platform Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
