,Float,Float Change,Float Change Percent,Units per $1m
FUN,5010848189.0,0.0,0.0,24378.362124738363
NAS,45500000.0,0.0,0.0,221.36281819724383
REP,11000000.0,0.0,0.0,53.516285718015
ZCL,4660750.0,-280000.0,-0.05667155796184786,22.675093514567124
POWR,374800708.0,-11528925.0,-0.029842196961370582,1823.449252422028
POLY,276420107.0,-7827000.0,-0.027535900303815586,1344.8161294923889
WAN,106152493.0,0.0,0.0,516.4442859152351
STRAT,98981631.0,-50208.0,-0.0005069884645886313,481.5572041301027
MONA,61695200.0,-889050.0,-0.014205650782744828,300.154359148189
QASH,350000000.0,0.0,0.0,1702.7909092095679
LRC,572074043.0,0.0,0.0,2783.2070851861813
GAME,56781166.0,,,276.2470093689126
GXS,60000000.0,0.0,0.0,291.90701300735446
ENG,74836171.0,0.0,0.0,364.0867190252934
BNT,52283657.0,-5418437.0,-0.09390364585382294,254.3661023995177
STORJ,135787439.0,0.0,0.0,660.6217620401393
GNT,959242000.0,0.0,0.0,4666.824449520012
CVC,440000000.0,0.0,0.0,2140.6514287205996
KMD,109121260.0,-744509.0,-0.006776532916271671,530.8876843699819
20,Float,Float Change,Float Change Percent,Units per $1m
ZEC,46177190.0,,,2588.4907002204495
ONT,537500000.0,0.0,0.0,30129.89208240024
XMR,16334537.0,-110070.0,-0.006693379780982278,915.6424874901838
TRX,65748111645.0,0.0,0.0,3685550.7134613073
NEO,65000000.0,0.0,0.0,3643.6148564763084
IOT,2779530283.0,0.0,0.0,155808.27435637842
VET,55454734800.0,0.0,0.0,3108549.1627574423
MAID,452552412.0,0.0,0.0,25368.102949190572
BNB,95512523.0,-48930810.0,-0.33875436812303406,5354.013042805155
XEM,8999999999.0,0.0,0.0,504500.51853297174
LSK,109257778.0,-1341410.0,-0.01212857005785617,6124.511740098313
DCR,8322718.0,-224910.0,-0.026312562970686182,466.5350607855813
ZIL,7567802268.0,-212545248.0,-0.02731822037035092,424217.79653169075
ZRX,537835325.0,-2134076.0,-0.0039522165442111845,30148.68893088867
DOGE,116000000000.0,-336000000.0,-0.0028881859441617364,6502451.128480797
MANA,1050141509.0,0.0,0.0,58866.32620915151
STEEM,274178685.0,-3367129.0,-0.012131795293442993,15369.254307617508
OMG,140245398.0,0.0,0.0,7861.5417800805035
ICX,400230000.0,0.0,0.0,22435.138061654045
SC,36374329815.0,-716710850.0,-0.01932301809682857,2038985.361666202
Currency,Float,Float Change,Float Change Percent,Units per $1m
ZEN,3538138.0,-1278337.0,-0.2654092463886971,26.363567330264118
ZEC,4617719.0,-278962.0,-0.05696960859815048,34.40780030873298
ZCL,4660750.0,-280000.0,-0.05667155796184786,34.728435248859284
XZC,5459011.0,-277078.0,-0.04830434116346516,40.67648126080793
XVG,15172086051.0,0.0,0.0,113051.0771897816
XMR,16334537.0,-110070.0,-0.006693379780982278,121.71279526355117
XLM,18771758250.0,-18193205.0,-0.0009682411922974365,139873.15150831197
PIVX,56781166.0,0.0,0.0,423.0909288817744
NANO,133248289.0,0.0,0.0,992.8669369860621
MONA,61695200.0,-889050.0,-0.014205650782744828,459.70664772095114
LTC,57930423.0,-560254.0,-0.00957851795765674,431.6543354813128
IOT,2779530283.0,0.0,0.0,20710.988028838496
HSR,43379768.0,-150013.0,-0.0034462153623056047,323.2336993184655
DOGE,115794000000.0,-542000000.0,-0.004658918993260874,862810.5843922999
DGB,10685484053.0,-167747350.0,-0.015455982073102392,79620.26305580196
DASH,8268267.0,-77332.0,-0.009266201263684049,61.608963177552965
BTG,17188924.0,-69737.0,-0.004040695856996068,128.07905039565804
BTC,17220900.0,-72375.0,-0.004185152899031541,128.3173117152992
BCN,183890000000.0,-177000000.0,-0.0009616063715929268,1370211.2230676895
BCH,17303500.0,-69638.0,-0.004008372005103511,128.93278535185036
40,Float,Float Change,Float Change Percent,Units per $1m
DGB,10685484053.0,-167747350.0,-0.015455982073102392,2027231.159408364
QTUM,88829720.0,-92872.0,-0.001044413999987781,16852.61756719037
ZEN,4538138.0,-278337.0,-0.057788527917200905,860.9675250708227
BTG,23188924.0,5930263.0,0.3436108397980584,4399.361699740158
BTS,2652520000.0,-8830000.0,-0.0033178649933304216,503231.40891723847
ELF,250000000.0,0.0,0.0,47429.55839326739
RDD,28808713174.0,0.0,0.0,5465538.174884498
HSR,43379768.0,-150013.0,-0.0034462153623056047,8229.932957769568
BCN,184000000000.0,-67000000.0,-0.0003639978920718656,34908154.977444805
BAT,1000000000.0,0.0,0.0,189718.23357306956
XZC,5459011.0,-277078.0,-0.04830434116346516,1035.673923975956
AE,233020472.0,0.0,0.0,44208.23233420292
GNO,1104590.0,0.0,0.0,209.56086362247692
DGD,2000000.0,0.0,0.0,379.43646714613914
SNT,3470483788.0,0.0,0.0,658414.0539033351
PPT,37004027.0,0.0,0.0,7020.3386375301725
ETHOS,78296731.0,-1692921.0,-0.021164250095749848,14854.317499865796
NANO,133248289.0,0.0,0.0,25279.630015713876
AION,205422840.0,-19372046.0,-0.08617654229020144,38972.45834036329
XVG,15172086051.0,0.0,0.0,2878421.3652143283
WAVES,100000000.0,0.0,0.0,18971.823357306956
FUN,5010848189.0,0.0,0.0,950649.2671198946
NAS,45500000.0,0.0,0.0,8632.179627574666
REP,11000000.0,0.0,0.0,2086.900569303765
ZCL,4660750.0,-280000.0,-0.05667155796184786,884.229257125684
POWR,374800708.0,-11528925.0,-0.029842196961370582,71106.52826369584
POLY,276420107.0,-7827000.0,-0.027535900303815586,52441.93442411888
WAN,106152493.0,0.0,0.0,20139.06346133763
STRAT,98981631.0,-50208.0,-0.0005069884645886313,18778.620189501384
MONA,61695200.0,-889050.0,-0.014205650782744828,11704.70436393724
QASH,350000000.0,0.0,0.0,66401.38175057435
LRC,572074043.0,0.0,0.0,108532.87691096425
PIVX,56781166.0,0.0,0.0,10772.422513739235
GXS,60000000.0,0.0,0.0,11383.094014384174
ENG,74836171.0,0.0,0.0,14197.786169492174
BNT,52283657.0,-5418437.0,-0.09390364585382294,9919.163050780253
STORJ,135787439.0,0.0,0.0,25761.353068490935
GNT,959242000.0,0.0,0.0,181985.6978090984
CVC,440000000.0,0.0,0.0,83476.02277215061
KMD,109121260.0,-744509.0,-0.006776532916271671,20702.29269246765
Platform,Float,Float Change,Float Change Percent,Units per $1m
ZRX,1185702544.2589076,88149444.57023883,0.08031451471026152,22413.65749349416
ZIL,14068149022.031559,-1746348090.2609844,-0.11042703905542184,265934.044987929
XRP,28737991697.806255,2051727053.1487732,0.0768832611258512,543242.0686657974
XEM,16730529776.074202,-1563058486.1622791,-0.08544296852842737,316261.7520737563
WAVES,185894775.31036833,-17367316.51484397,-0.08544296852842759,3514.019467876628
WAN,197331938.34870446,-18435839.447707593,-0.08544296852842759,3730.2192696563743
VET,103087454655.42064,-9630999315.183289,-0.08544296852842725,1948690.1767313553
STRAT,184001680.54598793,-17292506.97838846,-0.0859066383935918,3478.2337829618086
QTUM,165129808.40282932,-15616112.201569557,-0.0863981446958837,3121.4936540602985
POWR,696734933.9982697,-88526759.378196,-0.1127353595940086,13170.569844859434
ONT,999184417.2932298,-93349326.2672863,-0.08544296852842759,18887.854639836874
NEO,120831603.95173942,-11288755.73464854,-0.08544296852842725,2284.112654119808
NAS,84582122.76621757,-7902129.014253989,-0.08544296852842737,1598.8788578838653
LSK,203104500.92220104,-21701722.148298085,-0.09653523755653526,3839.339589089427
ETHOS,202850721.09284285,,,3834.542319992272
ETH,65277630.464233525,-1897942.1523116902,-0.028253456999103088,1233.9607925246457
ETC,193197755.6595103,-19981268.004932165,-0.09372999116641034,3652.0696905230634
EOS,1684662325.8672822,-157390458.0433812,-0.08544296852842759,31845.629873201517
ELF,464736938.27592075,-43418291.28710991,-0.08544296852842759,8785.048669691569
DCR,15471497.925815582,-1902589.5484219752,-0.10950730800930697,292.46193077647234
BTS,4930896094.062581,-478619586.727705,-0.08847734528755125,93210.06918932112
AION,381870326.8541774,-75052460.74552387,-0.16425633122783856,7218.598589065056
ADA,48197069521.17581,-4502836403.361313,-0.08544296852842748,911082.3061554257
