,Float,Float Change,Float Change Percent,Units per $1m
ETH,Float,Float Change,Float Change Percent,Units per $1m
ZRX,537835325,-2134076,-0.0039522165442111845,87261.64146977292
ZIL,7567802268,-212545248,-0.02731822037035092,1227845.8061942107
VET,55454734800,0,0.0,8997310.070547968
TRX,65748111645,0,0.0,10667369.506977981
SNT,3470483788,0,0.0,563072.1857756654
REP,10000000,-1000000,-0.09090909090909094,1622.4602106559832
QASH,350000000,0,0.0,56786.10737295941
PPT,37004027,0,0.0,6003.756144153968
POWR,374800708,-11528925,-0.029842196961370582,60809.92356556916
POLY,276420107,-7827000,-0.027535900303815586,44848.062503276946
OMG,140245398,0,0.0,22754.25779826122
MANA,1050141509,0,0.0,170381.28139107322
LRC,572074043,0,0.0,92816.73723166001
GNT,959242000,0,0.0,155633.19773900666
GNO,1104590,0,0.0,179.21533240884926
FUN,5010848189,0,0.0,812990.1808290092
ETHOS,78296731,-1692921,-0.021164250095749848,12703.333067193484
ENG,74836171,0,0.0,12141.87097653472
DGD,2000000,0,0.0,324.4920421311966
CVC,440000000,0,0.0,71388.24926886326
BNT,52283657,-5418437,-0.09390364585382294,8482.815315008516
BNB,95512523,-48930810,-0.33875436812303406,15496.526818686445
BAT,1000000000,0,0.0,162246.02106559832
AION,205422840,-19372046,-0.08617654229020144,33329.03842599504
AE,233020472,0,0.0,37806.64440882766
10,Float,Float Change,Float Change Percent,Units per $1m
BTC,13220900,-4072375,-0.23548894006485177,82.57444432769442
ETH,101446368,-794027,-0.007766274768402415,633.6087154931057
XRP,39372399467,-498507812,-0.01250304660768442,245910.18825008412
XLM,18771758250,-18193205,-0.0009682411922974365,117243.72066557978
BCH,17303500,-69638,-0.004008372005103511,108.07334579523787
EOS,906245118,0,0.0,5660.181004586364
LTC,57930423,-560254,-0.00957851795765674,361.8189751751612
ADA,25927070538,0,0.0,161934.01680069338
ZEC,103928556,99031875,20.224285592628966,649.1118427247519
DASH,8268267,-77332,-0.009266201263684049,51.641533713893374
Application,Float,Float Change,Float Change Percent,Units per $1m
BTC,3157591.2073681834,,,38.48732307323701
STORJ,2040538447.311918,1904751008.311918,14.027446296501093,24871.763729831615
STEEM,4120205464.4827905,3842659650.4827905,13.845136394248737,50220.45870587432
SNT,52152508747.0477,48682024959.0477,14.027446296501097,635677.7433835176
SC,546613287866.1311,509522247201.1311,13.737070679764685,6662573.089618767
REP,165301909.26151207,154301909.26151207,14.027446296501097,2014.8358570055059
RDD,432921390093.58856,404112676919.58856,14.027446296501093,5276802.57246928
QASH,5259606203.775383,4909606203.775383,14.027446296501095,64108.41363199335
PPT,556076028.4967767,519072001.4967767,14.0274462965011,6777.912768472717
POLY,4153888313.2155867,3869641206.2155867,13.613652033459699,50631.01301644532
OMG,2107530186.7764218,1967284788.7764218,14.027446296501093,25688.314242764376
MANA,15780945130.224123,14730803621.224123,14.027446296501097,192351.1606602791
MAID,6800707067.682037,6348154655.682037,14.027446296501095,82892.62062472079
LRC,8596811958.804758,8024737915.804758,14.027446296501095,104785.02679077358
ICX,6014434831.248632,5614204831.248632,14.027446296501093,73308.88682266485
GXS,901646777.7900658,841646777.7900658,14.027446296501097,10990.013765484577
GNT,14414957640.348303,13455715640.348303,14.027446296501095,175701.37974051593
GNO,16599166.904652147,15494576.904652147,14.027446296501097,202.32432175361015
FUN,75300252060.11726,70289403871.11726,14.027446296501093,917821.5095643909
ETHOS,1176599920.2940924,1096610268.2940924,13.709401664781495,14341.369191374048
ENG,1124596540.738273,1049760369.7382729,14.027446296501099,13707.509157435961
DGD,30054892.59300219,28054892.59300219,14.027446296501095,366.3337921828192
CVC,6612076370.460482,6172076370.460482,14.027446296501095,80593.43428022022
BNT,785689847.7521836,727987753.7521836,12.616314301387114,9576.6351689979
BNB,1435309310.0258257,1290865977.0258257,8.936833221827039,17494.73237576937
BAT,15027446296.501099,14027446296.501099,14.027446296501099,183166.89609140964
AE,3501702628.9653373,3268682156.9653373,14.027446296501095,42681.636581995226
Total,Float,Float Change,Float Change Percent,Units per $1m
BTC,19220900.0,1927625.0,0.11146674068387852,93.51192510521767
ETH,100446368.0,-1794027.0,-0.017547144648648927,488.6833208386253
XRP,39372399467.0,-498507812.0,-0.01250304660768442,191551.32538907212
XLM,18771758250.0,-18193205.0,-0.0009682411922974365,91326.79799422775
BCH,17303500.0,-69638.0,-0.004008372005103511,84.1835499928793
EOS,906245118.0,0.0,0.0,4408.988424131292
LTC,57930423.0,-560254.0,-0.00957851795765674,281.8382790030425
ADA,25927070538.0,0.0,0.0,126138.22861297606
ETC,103928556.0,-950333.0,-0.00906124205797032,505.6245724687928
DASH,8268267.0,-77332.0,-0.009266201263684049,40.226085378621335
ZEC,4617719.0,-278962.0,-0.05696960859815048,22.465742669955134
ONT,537500000.0,0.0,0.0,2615.000324857551
XMR,16334537.0,-110070.0,-0.006693379780982278,79.46943174213523
TRX,65748111645.0,0.0,0.0,319872.2480194335
NEO,65000000.0,0.0,0.0,316.23259742463404
IOT,2779530283.0,0.0,0.0,13522.73970790028
VET,55454734800.0,0.0,0.0,269793.76654304995
MAID,452552412.0,0.0,0.0,2201.720380269894
BNB,95512523.0,-48930810.0,-0.33875436812303406,464.6795882287708
XEM,8999999999.0,0.0,0.0,43786.05194623806
LSK,109257778.0,-1341410.0,-0.01212857005785617,531.5518603966775
DCR,8322718.0,-224910.0,-0.026312562970686182,40.490995858042396
ZIL,7567802268.0,-212545248.0,-0.02731822037035092,36818.24258470272
ZRX,537835325.0,-2134076.0,-0.0039522165442111845,2616.6317201764955
DOGE,116000000000.0,-336000000.0,-0.0028881859441617364,564353.5584808853
MANA,1050141509.0,0.0,0.0,5109.061185453765
STEEM,274178685.0,-3367129.0,-0.012131795293442993,1333.9113494772391
OMG,140245398.0,0.0,0.0,682.3102536367935
ICX,400230000.0,0.0,0.0,1947.1657302655583
SC,36374329815.0,-716710850.0,-0.01932301809682857,176965.36610735013
DGB,10685484053.0,-167747350.0,-0.015455982073102392,51986.12887414917
QTUM,88829720.0,-92872.0,-0.001044413999987781,432.16697052466094
ZEN,4538138.0,-278337.0,-0.057788527917200905,22.078571803252828
BTG,17188924.0,-69737.0,-0.004040695856996068,83.62612436084046
BTS,2652520000.0,-8830000.0,-0.0033178649933304216,12904.819835704468
ELF,250000000.0,0.0,0.0,1216.2792208639771
RDD,28808713174.0,0.0,0.0,140157.75685346607
HSR,43379768.0,-150013.0,-0.0034462153623056047,211.04764169720033
BCN,184000000000.0,-67000000.0,-0.0003639978920718656,895181.5065558872
BAT,1000000000.0,0.0,0.0,4865.1168834559085
XZC,5459011.0,-277078.0,-0.04830434116346516,26.558726583071522
AE,233020472.0,0.0,0.0,1133.6718325180648
GNO,1104590.0,0.0,0.0,5.373959458296562
DGD,2000000.0,0.0,0.0,9.730233766911818
SNT,3470483788.0,0.0,0.0,16884.309270758815
PPT,37004027.0,0.0,0.0,180.0289165135583
ETHOS,78296731.0,-1692921.0,-0.021164250095749848,380.92274790750565
NANO,133248289.0,0.0,0.0,648.2685005055122
AION,205422840.0,-19372046.0,-0.08617654229020144,999.4061271314617
XVG,15172086051.0,0.0,0.0,73813.97200396597
WAVES,100000000.0,0.0,0.0,486.5116883455908
