,10 Index,10 Even Index
BTC,49.45%,10.00%
ETH,22.18%,10.00%
XRP,9.23%,10.00%
XLM,2.12%,10.00%
BCH,6.60%,10.00%
EOS,4.26%,10.00%
LTC,2.60%,10.00%
ADA,2.23%,10.00%
ZEC,0.38%,10.00%
DASH,0.96%,10.00%
,20 Index,20 Even Index
TRX,13.57%,5.00%
NEO,11.19%,5.00%
ONT,2.68%,5.00%
IOT,14.67%,5.00%
XMR,8.30%,5.00%
ETC,5.14%,5.00%
VEN,5.91%,5.00%
ZIL,2.69%,5.00%
XEM,7.23%,5.00%
ICX,3.52%,5.00%
LSK,2.99%,5.00%
DCR,2.13%,5.00%
MAID,0.64%,5.00%
STEEM,1.99%,5.00%
OMG,3.52%,5.00%
SC,1.73%,5.00%
QTUM,3.83%,5.00%
BNB,4.78%,5.00%
ZRX,2.18%,5.00%
DOGE,1.30%,5.00%
,40 Index,40 Even Index
BCN,9.12%,2.50%
ELF,1.98%,2.50%
AION,2.37%,2.50%
WAN,3.65%,2.50%
BTG,5.57%,2.50%
AE,5.75%,2.50%
POLY,1.61%,2.50%
BTS,4.04%,2.50%
GNO,0.62%,2.50%
DGB,2.55%,2.50%
LRC,2.20%,2.50%
DGD,2.05%,2.50%
PPT,3.63%,2.50%
SNT,2.63%,2.50%
ZEN,0.94%,2.50%
XVG,4.42%,2.50%
XZC,1.04%,2.50%
HSR,2.42%,2.50%
PIVX,1.68%,2.50%
NANO,4.55%,2.50%
QASH,1.35%,2.50%
STRAT,3.36%,2.50%
GNT,4.23%,2.50%
BAT,2.11%,2.50%
WAVES,3.18%,2.50%
REP,3.09%,2.50%
FUN,1.28%,2.50%
MONA,1.49%,2.50%
LOOM,1.63%,2.50%
GXS,1.55%,2.50%
POWR,0.95%,2.50%
CVC,0.92%,2.50%
BNT,1.51%,2.50%
STORJ,0.77%,2.50%
ARK,1.89%,2.50%
SYS,1.43%,2.50%
KNC,1.30%,2.50%
ENG,1.08%,2.50%
KMD,2.06%,2.50%
ARDR,1.99%,2.50%
,Eth Index,Eth Even Index
ZRX,4.44%,4.17%
ZIL,5.46%,4.17%
VEN,12.00%,4.17%
TRX,27.56%,4.17%
SNT,2.27%,4.17%
REP,2.67%,4.17%
QASH,1.17%,4.17%
PPT,3.15%,4.17%
POWR,0.83%,4.17%
POLY,1.39%,4.17%
OMG,7.15%,4.17%
LRC,1.90%,4.17%
LOOM,1.41%,4.17%
KNC,1.13%,4.17%
GNT,3.75%,4.17%
GNO,0.53%,4.17%
FUN,1.11%,4.17%
ENG,0.94%,4.17%
DGD,1.78%,4.17%
CVC,0.80%,4.17%
BNB,9.69%,4.17%
BAT,1.83%,4.17%
AION,2.06%,4.17%
AE,4.98%,4.17%
,Total Index,Total Index Even
BTC,42.49%,1.43%
ETH,18.88%,1.43%
XRP,7.90%,1.43%
XLM,1.74%,1.43%
BCH,5.69%,1.43%
EOS,3.66%,1.43%
LTC,2.25%,1.43%
ADA,1.81%,1.43%
ONT,0.27%,1.43%
DASH,0.82%,1.43%
TRX,1.37%,1.43%
NEO,1.13%,1.43%
ZEC,0.33%,1.43%
IOT,1.48%,1.43%
XMR,0.84%,1.43%
ETC,0.52%,1.43%
VEN,0.60%,1.43%
ZIL,0.27%,1.43%
XEM,0.73%,1.43%
ICX,0.36%,1.43%
LSK,0.30%,1.43%
DCR,0.22%,1.43%
MAID,0.07%,1.43%
STEEM,0.20%,1.43%
OMG,0.36%,1.43%
SC,0.17%,1.43%
QTUM,0.39%,1.43%
BNB,0.48%,1.43%
ZRX,0.22%,1.43%
DOGE,0.13%,1.43%
BCN,0.39%,1.43%
ELF,0.09%,1.43%
AION,0.10%,1.43%
WAN,0.16%,1.43%
BTG,0.24%,1.43%
AE,0.25%,1.43%
POLY,0.07%,1.43%
BTS,0.17%,1.43%
GNO,0.03%,1.43%
DGB,0.11%,1.43%
LRC,0.09%,1.43%
DGD,0.09%,1.43%
PPT,0.16%,1.43%
SNT,0.11%,1.43%
ZEN,0.04%,1.43%
XVG,0.19%,1.43%
XZC,0.04%,1.43%
HSR,0.10%,1.43%
PIVX,0.07%,1.43%
NANO,0.20%,1.43%
QASH,0.06%,1.43%
STRAT,0.14%,1.43%
GNT,0.19%,1.43%
BAT,0.09%,1.43%
WAVES,0.14%,1.43%
REP,0.13%,1.43%
FUN,0.06%,1.43%
MONA,0.07%,1.43%
LOOM,0.07%,1.43%
GXS,0.07%,1.43%
POWR,0.04%,1.43%
CVC,0.04%,1.43%
BNT,0.06%,1.43%
STORJ,0.03%,1.43%
ARK,0.08%,1.43%
SYS,0.06%,1.43%
KNC,0.06%,1.43%
ENG,0.05%,1.43%
KMD,0.09%,1.43%
ARDR,0.09%,1.43%
,Currency,
ZEN,0.22%,
ZEC,1.81%,
XZC,0.25%,
XVG,1.05%,
XMR,4.64%,
XLM,9.63%,
PIVX,0.40%,
NANO,1.08%,
MONA,0.37%,
LTC,12.41%,
IOT,8.19%,
HSR,0.58%,
DOGE,0.73%,
DGB,0.61%,
DASH,4.54%,
BTG,1.33%,
BTC,25.00%,
BCN,2.17%,
BCH,25.00%,
,Platform,
ZRX,0.99%,
ZIL,1.21%,
XRP,25.00%,
WAVES,0.61%,
WAN,0.70%,
VEN,2.66%,
STRAT,0.65%,
QTUM,1.73%,
POWR,0.18%,
ONT,1.21%,
NEO,5.05%,
LSK,1.35%,
KMD,0.40%,
ETH,25.00%,
ETC,2.32%,
EOS,16.29%,
ELF,0.38%,
DCR,0.96%,
BTS,0.78%,
ARK,0.36%,
ARDR,0.38%,
AION,0.46%,
ADA,8.06%,
XEM,3.26%,
,Application,
TRX,25.00%,
SYS,1.36%,
STORJ,0.74%,
STEEM,4.45%,
SNT,2.50%,
SC,3.86%,
REP,2.94%,
QASH,1.29%,
PPT,3.46%,
POLY,1.53%,
OMG,7.86%,
MAID,1.44%,
LRC,2.09%,
LOOM,1.55%,
KNC,1.24%,
ICX,7.85%,
GXS,1.48%,
GNT,4.12%,
GNO,0.59%,
FUN,1.22%,
ENG,1.03%,
DGD,1.96%,
CVC,0.88%,
BNT,1.43%,
BNB,10.65%,
BAT,2.01%,
AE,5.48%,
