,Float Change,Float Change Percent
10,Float Change,Float Change Percent
BTC,46638,0.002715575202008713
ETH,492902,0.0048824673340091
XRP,56715991,0.001442579296240032
XLM,4326821,0.00023054945032674468
BCH,43425,0.002515921860130943
EOS,10095626,0.011265560143842501
LTC,337716,0.005863867451133986
ADA,0,0.0
ETC,589100,0.005700629970415205
DASH,50236,0.006112899793149884
20,Float Change,Float Change Percent
BNB,0.0,0.0
DCR,141826.0,0.01733625135254191
DOGE,332607155.0,0.0028806785264274826
ICX,0.0,0.0
IOT,0.0,0.0
LSK,835170.0,0.007702913768685482
MAID,0.0,0.0
MANA,0.0,0.0
NEO,0.0,0.0
OMG,0.0,0.0
ONT,0.0,0.0
SC,464620681.0,0.012938581019028339
STEEM,7947063.0,0.029850184363148236
TRX,0.0,0.0
VEN,,
VET,,
XEM,0.0,0.0
XMR,70977.0,0.004364173649557657
ZEC,172563.0,0.038820459844378874
ZIL,-8750000.0,-0.0011548788539288424
ZRX,1051323.0,0.001958558742590766
Platform,Float Change,Float Change Percent
ADA,-4441673305.503128,-0.09237993285682589
AION,-4308596.241744578,-0.012308042203280412
BTS,-440394478.2029638,-0.0897857130169788
DCR,-1162789.6572023109,-0.07664520324022073
ELF,-42828530.3095966,-0.09237993285682589
EOS,-136530735.46916294,-0.08215508440266595
ETC,-16711971.760872126,-0.08720592670031957
ETH,4625583.318009764,0.09630089649091289
KMD,-17714064.866615742,-0.08796330910661676
LSK,-17168617.82097742,-0.08538861374489348
NAS,-7794792.516346589,-0.092379932856826
NEO,-11135417.880495101,-0.09237993285682577
ONT,-92081340.16563249,-0.09237993285682577
POWR,-62270564.63037372,-0.08984203209486785
QTUM,-14911422.587107241,-0.0906888113988088
STRAT,-16899381.53570324,-0.09209518308202769
VEN,,
VET,,
WAN,-18185421.05555901,-0.09237993285682611
WAVES,-17131412.123838633,-0.09237993285682589
XEM,-1541827090.974165,-0.092379932856826
XRP,-3484166553.7320633,-0.07264600105268804
ZIL,-1312697847.406021,-0.09342812407977108
ZRX,-90189158.37484264,-0.09060230563937166
40,Float Change,Float Change Percent
AE,0.0,0.0
AION,16653568.0,0.08822181610151048
BAT,0.0,0.0
BCN,0.0,0.0
BNT,1022719.0,0.0199512346028472
BTG,43188.0,0.002518876996589814
BTS,7560000.0,0.0028582662875809017
CVC,0.0,0.0
DGB,105093618.0,0.00993286766170276
DGD,0.0,0.0
ELF,0.0,0.0
ENG,0.0,0.0
ETHOS,944790.0,0.012214173138848539
FUN,0.0,0.0
GNO,0.0,0.0
GNT,0.0,0.0
GXS,0.0,0.0
HSR,97277.0,0.002247490792523843
KMD,528430.0,0.004866159211432297
KNC,,
LRC,0.0,0.0
MONA,550750.0,0.009007358803619914
NANO,0.0,0.0
NAS,0.0,0.0
PIVX,0.0,0.0
POLY,0.0,0.0
POWR,1045101.0,0.002796214907352601
PPT,0.0,0.0
QASH,0.0,0.0
QTUM,165204.0,0.0018632482017946206
RDD,0.0,0.0
REP,0.0,0.0
SNT,0.0,0.0
STORJ,-100.0,-7.36444601190378e-07
STRAT,31044.0,0.00031373234804554784
WAN,0.0,0.0
WAVES,0.0,0.0
XVG,0.0,0.0
XZC,179025.0,0.03390633990317404
ZCL,,
ZEN,171775.0,0.039340522077527584
Currency,Float Change,Float Change Percent
BCH,43425.0,0.002515921860130943
BCN,0.0,0.0
BTC,46638.0,0.002715575202008713
BTG,43188.0,0.002518876996589814
DASH,50236.0,0.006112899793149884
DGB,105093618.0,0.00993286766170276
DOGE,332798708.0,0.0028823375485065306
HSR,97277.0,0.002247490792523843
IOT,0.0,0.0
LTC,337716.0,0.005863867451133986
MONA,550750.0,0.009007358803619914
NANO,0.0,0.0
PIVX,0.0,0.0
XLM,4326821.0,0.00023054945032674468
XMR,70977.0,0.004364173649557657
XVG,0.0,0.0
XZC,179025.0,0.03390633990317404
ZCL,,
ZEC,172563.0,0.038820459844378874
ZEN,171775.0,0.039340522077527584
Application,Float Change,Float Change Percent
AE,2709445.6457817852,0.011627500461769635
BAT,11627500.46176982,0.011627500461769857
BNB,1110571.9052873105,0.011627500461769857
BNT,1630647.245910503,0.031810718054174236
CVC,5116100.203178704,0.011627500461769857
DGD,23255.000923539978,0.01162750046177008
ENG,870157.6128595918,0.011627500461769857
ETHOS,1855185.2758575976,0.02398369390443089
FUN,58263639.631456375,0.011627500461769857
GNO,12843.620735066477,0.011627500461769857
GNT,11153586.797949076,0.011627500461769857
GXS,697650.0277061835,0.011627500461769635
ICX,4653674.509814262,0.01162750046177008
KNC,,
LRC,6651791.199149013,0.011627500461769857
MAID,5262053.379505038,0.011627500461769857
MANA,12210520.880821228,0.011627500461769857
OMG,1630703.430006057,0.011627500461769635
POLY,3214074.921784997,0.011627500461769857
PPT,430264.3410298526,0.01162750046177008
QASH,4069625.161619544,0.01162750046177008
RDD,334973325.7336807,0.011627500461769857
REP,127902.50507947057,0.01162750046177008
SC,887563217.7204742,0.024716524837571363
SNT,40353051.84753466,0.011627500461769857
STEEM,11135075.786444932,0.041824767857384426
STORJ,1578768.5096750557,0.011626755454158921
TRX,-2191530507.582634,-0.03333221978169609
ETH,Float Change,Float Change Percent
AE,0.0,0.0
AION,16653568.0,0.08822181610151048
BAT,0.0,0.0
BNB,0.0,0.0
BNT,1022719.0,0.0199512346028472
CVC,0.0,0.0
DGD,0.0,0.0
ENG,0.0,0.0
ETHOS,944790.0,0.012214173138848539
FUN,0.0,0.0
GNO,0.0,0.0
GNT,0.0,0.0
KNC,,
LRC,0.0,0.0
MANA,0.0,0.0
OMG,0.0,0.0
POLY,0.0,0.0
POWR,1045101.0,0.002796214907352601
PPT,0.0,0.0
QASH,0.0,0.0
REP,0.0,0.0
SNT,0.0,0.0
TRX,0.0,0.0
VEN,,
VET,,
ZIL,-8750000.0,-0.0011548788539288424
ZRX,1051323.0,0.001958558742590766
Total,Float Change,Float Change Percent
ADA,0.0,0.0
AE,0.0,0.0
AION,16653568.0,0.08822181610151048
BAT,0.0,0.0
BCH,43425.0,0.002515921860130943
BCN,-481254.0,-2.6170685764048685e-06
BNB,0.0,0.0
BNT,1022719.0,0.0199512346028472
BTC,46638.0,0.002715575202008713
BTG,43188.0,0.002518876996589814
BTS,7560000.0,0.0028582662875809017
CVC,0.0,0.0
DASH,50236.0,0.006112899793149884
DCR,141826.0,0.01733625135254191
DGB,105093618.0,0.00993286766170276
DGD,0.0,0.0
DOGE,332607155.0,0.0028806785264274826
ELF,0.0,0.0
ENG,0.0,0.0
EOS,10095626.0,0.011265560143842501
ETC,589100.0,0.005700629970415205
ETH,492902.0,0.0048824673340091
ETHOS,944790.0,0.012214173138848539
FUN,0.0,0.0
GNO,0.0,0.0
GNT,0.0,0.0
GXS,0.0,0.0
HSR,97277.0,0.002247490792523843
ICX,0.0,0.0
IOT,0.0,0.0
KMD,528430.0,0.004866159211432297
KNC,,
LRC,0.0,0.0
LSK,835170.0,0.007702913768685482
LTC,337716.0,0.005863867451133986
MAID,0.0,0.0
MANA,0.0,0.0
MONA,550750.0,0.009007358803619914
NANO,0.0,0.0
NAS,0.0,0.0
NEO,0.0,0.0
OMG,0.0,0.0
ONT,0.0,0.0
PIVX,0.0,0.0
POLY,0.0,0.0
POWR,1045101.0,0.002796214907352601
PPT,0.0,0.0
QASH,0.0,0.0
QTUM,165204.0,0.0018632482017946206
RDD,0.0,0.0
REP,0.0,0.0
SC,464620681.0,0.012938581019028339
SNT,0.0,0.0
STEEM,7947063.0,0.029850184363148236
STORJ,-100.0,-7.36444601190378e-07
STRAT,31044.0,0.00031373234804554784
TRX,0.0,0.0
VEN,,
VET,,
WAN,0.0,0.0
WAVES,0.0,0.0
XEM,0.0,0.0
XLM,4326821.0,0.00023054945032674468
XMR,70977.0,0.004364173649557657
XRP,56715991.0,0.001442579296240032
XVG,0.0,0.0
XZC,179025.0,0.03390633990317404
ZCL,,
ZEC,172563.0,0.038820459844378874
ZEN,171775.0,0.039340522077527584
ZIL,-8750000.0,-0.0011548788539288424
ZRX,1051323.0,0.001958558742590766
