,Float Change,Float Change Percent
10,Float Change,Float Change Percent
BTC,54600,0.003189315303070872
ETH,600811,0.005986996557290958
XRP,53586147,0.001364831495143326
XLM,7126944,0.00037989490019740835
BCH,52200,0.0030334948388455185
EOS,0,0.0
LTC,423786,0.007412873858507751
ADA,0,0.0
ETC,715874,0.006975726105526103
DASH,59880,0.007339898464737926
20,Float Change,Float Change Percent
BNB,-18528767.0,-0.1624741968457214
DCR,1035149.0,0.14486233272033444
DOGE,415502101.0,0.0036116205308416305
ICX,0.0,0.0
IOT,0.0,0.0
LSK,1011476.0,0.009416863793968666
MAID,0.0,0.0
MANA,,
NEO,0.0,0.0
OMG,38202846.0,0.3743815227200511
ONT,386207825.0,2.5527283549198763
QTUM,,
SC,575133300.0,0.016276785172176567
STEEM,781120.0,0.0029426201650204487
TRX,0.0,0.0
VEN,7046122.0,0.01286964398563728
XEM,0.0,0.0
XMR,89636.0,0.005542006998425331
ZEC,209987.0,0.04958172861578847
ZIL,658824.0,8.696320834888915e-05
ZRX,4312007.0,0.008098091618884196
Platform,Float Change,Float Change Percent
ADA,-795340476.2682114,-0.016272671291605145
AION,34341214.96892625,0.10877032567290712
ARK,,
BTS,-66357560.873690605,-0.013348108792364144
DCR,1700430.5271807276,0.12623236430439233
ELF,-7669016.010626018,-0.01627267129140375
EOS,-27490339.208307028,-0.01627267129143728
ETC,-1820533.8346955478,-0.009410458881265238
ETH,25343.21156066656,0.0005279036638896617
KMD,4848048.180896342,0.024667970271666118
LSK,-1419217.401154399,-0.007009045024776284
NAS,-1395760.913887933,-0.016272671290876173
NEO,-1993944.1629827619,-0.016272671293170005
ONT,711562699.5856042,2.494915974215265
POWR,-10807509.219858289,-0.015353337288797286
QTUM,-2719878.3707074225,-0.016272671289013108
STRAT,-2964145.404845029,-0.015896675440741914
VEN,-3728433.0540041924,-0.003612450793575084
WAN,-3256340.6737317443,-0.016272671292348995
WAVES,-3067606.40405038,-0.01627267129036003
XEM,-276084576.328989,-0.0162726712900777
XRP,1699432873.6881943,0.036735397820812477
ZIL,-231176835.19815636,-0.01618712320684612
ZRX,-8337736.416913867,-0.008306357257444552
40,Float Change,Float Change Percent
AE,0.0,0.0
AION,21288697.0,0.12711143964008964
ARK,,
BAT,0.0,0.0
BCN,-481254.0,-2.6170685764048685e-06
BNT,1011085.0,0.020121153389244695
BTG,53800.0,0.003147683211544905
BTS,7840000.0,0.002972940177162986
CVC,97300034.0,0.28392192487115686
DGB,129271705.0,0.01236917389799852
DGD,0.0,0.0
ELF,0.0,0.0
ENG,0.0,0.0
ETHOS,498852.0,0.006490981774330606
FUN,0.0,0.0
GNO,0.0,0.0
GNT,120000000.0,0.14298617085417553
GXS,0.0,0.0
HSR,118442.0,0.002743996514321445
KMD,4338830.0,0.04161787557311958
KNC,0.0,0.0
LRC,0.0,0.0
MONA,669500.0,0.01107069952104145
NANO,0.0,0.0
NAS,0.0,0.0
PIVX,186960.0,0.003303518384903281
POLY,0.0,0.0
POWR,348964.0,0.000934541488593732
PPT,0.0,0.0
QASH,0.0,0.0
QTUM,,
RDD,0.0,0.0
REP,0.0,0.0
SNT,0.0,0.0
STORJ,0.0,0.0
STRAT,37806.0,0.0003822155197517052
WAN,0.0,0.0
WAVES,0.0,0.0
XVG,117770512.0,0.00782303995787137
XZC,217177.0,0.04289654221599126
ZEN,209188.0,0.05031974838682518
Currency,Float Change,Float Change Percent
ZEN,-11198479.5482,-0.7194727163812558
ZEC,-11411703.2012,-0.7196698322412043
XZC,-13675632.884599999,-0.7214553620146062
XVG,-41192645054.8,-0.7308230563094309
XMR,-44293087.3497,-0.7314322917171773
XLM,-51472860467.399994,-0.7328110273704331
PIVX,-155112705.56599998,-0.732030164061097
NANO,-365645464.11300004,-0.7329124925526596
MONA,-165279281.22599998,-0.7299556470122384
LTC,-156452949.97,-0.7309326065509845
IOT,-7627284732.700001,-0.7329124925535118
HSR,-118327647.23700002,-0.7321796053628358
DOGE,-315280920202.0,-0.7319478738268244
DGB,-28549551769.6,-0.729608840726675
DASH,,
BTG,-46848032.0476,-0.7320717856894031
BTC,11659463.43316,2.1142138360714258
BCN,-504612260830.0,-0.7329124925524775
BCH,-30339687.5158,-0.637391573240081
Application,Float Change,Float Change Percent
AE,-1679042.6509999335,-0.007154009898557634
BAT,-7205558.539999723,-0.007154009902848979
BNB,-19350498.190999985,-0.1684658647348567
BNT,649006.7428000122,0.012823196560152628
CVC,94830689.3350001,0.2747367347123073
DGD,-14411.117069999687,-0.007154009897920366
ENG,-539236.4106999785,-0.007154009898239444
ETHOS,-54917.43139998615,-0.0007094646716434561
FUN,-36105959.93999863,-0.007154009898739044
GNO,-7959.187899999786,-0.007154009895978808
GNT,113952792.64300025,0.13480923647339704
GXS,-432333.51209998876,-0.007154009897920366
ICX,-2883880.692999959,-0.007154009899242975
KNC,-966500.9999999702,-0.007154009900191771
LRC,-4122113.0039999485,-0.007154009899315139
MAID,-3260892.8949998617,-0.007154009898309166
MANA,,
OMG,37467572.41800003,0.36454918369631195
POLY,-1991761.260999918,-0.007154009897066271
PPT,-266634.68259999156,-0.007154009898473923
QASH,-2521945.486999929,-0.0071540098972162625
RDD,-207582869.09999084,-0.007154009898150071
REP,-79261.1438999977,-0.007154009899264513
SC,320527945.5000076,0.009006330991497613
SNT,-25006774.07999897,-0.00715400989814674
STEEM,-1131599.1299999356,-0.004232441265546116
STORJ,-978425.0609999597,-0.0071540099009104186
TRX,1381439430.5000153,0.021462029695995533
ETH,Float Change,Float Change Percent
AE,0.0,0.0
AION,21288697.0,0.12711143964008964
BAT,0.0,0.0
BNB,-18528767.0,-0.1624741968457214
BNT,,
CVC,97300034.0,0.28392192487115686
DGD,0.0,0.0
ENG,0.0,0.0
ETHOS,498852.0,0.006490981774330606
FUN,0.0,0.0
GNO,0.0,0.0
GNT,120000000.0,0.14298617085417553
KNC,0.0,0.0
LRC,0.0,0.0
MANA,,
OMG,38202846.0,0.3743815227200511
POLY,0.0,0.0
POWR,348964.0,0.000934541488593732
PPT,0.0,0.0
QASH,0.0,0.0
REP,0.0,0.0
SNT,0.0,0.0
TRX,0.0,0.0
VEN,7046122.0,0.01286964398563728
ZIL,658824.0,8.696320834888915e-05
ZRX,4312007.0,0.008098091618884196
Total,Float Change,Float Change Percent
ADA,0.0,0.0
AE,0.0,0.0
AION,21288697.0,0.12711143964008964
ARK,,
BAT,0.0,0.0
BCH,52200.0,0.0030334948388455185
BCN,0.0,0.0
BNB,-18528767.0,-0.1624741968457214
BNT,1011085.0,0.020121153389244695
BTC,54600.0,0.003189315303070872
BTG,53800.0,0.003147683211544905
BTS,7840000.0,0.002972940177162986
CVC,97300034.0,0.28392192487115686
DASH,59880.0,0.007339898464737926
DCR,1035149.0,0.14486233272033444
DGB,129271705.0,0.01236917389799852
DGD,0.0,0.0
DOGE,415502101.0,0.0036116205308416305
ELF,0.0,0.0
ENG,0.0,0.0
EOS,0.0,0.0
ETC,715874.0,0.006975726105526103
ETH,600811.0,0.005986996557290958
ETHOS,498852.0,0.006490981774330606
FUN,0.0,0.0
GNO,0.0,0.0
GNT,120000000.0,0.14298617085417553
GXS,0.0,0.0
HSR,118442.0,0.002743996514321445
ICX,0.0,0.0
IOT,0.0,0.0
KMD,4338830.0,0.04161787557311958
KNC,0.0,0.0
LRC,0.0,0.0
LSK,1011476.0,0.009416863793968666
LTC,423786.0,0.007412873858507751
MAID,0.0,0.0
MANA,,
MONA,669500.0,0.01107069952104145
NANO,0.0,0.0
NAS,0.0,0.0
NEO,0.0,0.0
OMG,38202846.0,0.3743815227200511
ONT,386207825.0,2.5527283549198763
PIVX,186960.0,0.003303518384903281
POLY,0.0,0.0
POWR,348964.0,0.000934541488593732
PPT,0.0,0.0
QASH,0.0,0.0
QTUM,0.0,0.0
RDD,0.0,0.0
REP,0.0,0.0
SC,575133300.0,0.016276785172176567
SNT,0.0,0.0
STEEM,781120.0,0.0029426201650204487
STORJ,0.0,0.0
STRAT,37806.0,0.0003822155197517052
TRX,0.0,0.0
VEN,7046122.0,0.01286964398563728
WAN,0.0,0.0
WAVES,0.0,0.0
XEM,0.0,0.0
XLM,7126944.0,0.00037989490019740835
XMR,89636.0,0.005542006998425331
XRP,53586147.0,0.001364831495143326
XVG,117770512.0,0.00782303995787137
XZC,217177.0,0.04289654221599126
ZEC,209987.0,0.04958172861578847
ZEN,209188.0,0.05031974838682518
ZIL,658824.0,8.696320834888915e-05
ZRX,4312007.0,0.008098091618884196
