,10 Index,10 Even Index
BTC,52.25%,10.00%
ETH,19.41%,10.00%
XRP,10.52%,10.00%
XLM,2.43%,10.00%
BCH,5.68%,10.00%
LTC,2.94%,10.00%
ADA,2.53%,10.00%
DASH,1.24%,10.00%
EOS,2.66%,10.00%
ZEC,0.35%,10.00%
,20 Index,20 Even Index
NEO,13.63%,5.00%
XMR,10.54%,5.00%
IOT,13.39%,5.00%
TRX,8.76%,5.00%
ETC,5.12%,5.00%
VEN,5.52%,5.00%
XEM,9.74%,5.00%
LSK,3.41%,5.00%
ICX,3.70%,5.00%
OMG,4.47%,5.00%
STEEM,2.20%,5.00%
QTUM,4.45%,5.00%
SC,1.91%,5.00%
MAID,0.48%,5.00%
XVG,2.93%,5.00%
DOGE,1.82%,5.00%
DGD,1.40%,5.00%
BTG,2.75%,5.00%
NANO,2.48%,5.00%
SNT,1.30%,5.00%
,40 Index,40 Even Index
DCR,3.13%,2.50%
BNB,9.41%,2.50%
BTS,4.22%,2.50%
GNO,0.78%,2.50%
ZRX,3.37%,2.50%
BCN,5.76%,2.50%
PIVX,1.86%,2.50%
DGB,2.43%,2.50%
HSR,2.14%,2.50%
STRAT,3.99%,2.50%
WAVES,3.42%,2.50%
STORJ,1.01%,2.50%
BAT,2.51%,2.50%
MONA,1.56%,2.50%
KMD,2.74%,2.50%
GNT,2.59%,2.50%
ARK,2.09%,2.50%
CVC,0.87%,2.50%
SALT,1.27%,2.50%
REP,2.49%,2.50%
SYS,1.49%,2.50%
ARDR,2.54%,2.50%
KNC,1.43%,2.50%
ONT,7.10%,2.50%
MTL,0.65%,2.50%
PAY,1.04%,2.50%
FUN,1.40%,2.50%
FCT,1.82%,2.50%
VTC,0.78%,2.50%
GAME,0.79%,2.50%
ANT,0.67%,2.50%
ETHOS,0.95%,2.50%
WTC,2.06%,2.50%
WAN,4.40%,2.50%
ZIL,3.39%,2.50%
GXS,1.25%,2.50%
AE,3.03%,2.50%
AION,2.70%,2.50%
LRC,2.68%,2.50%
IOST,2.19%,2.50%
,Eth Index,Eth Even Index
ZRX,3.14%,3.70%
ZIL,3.16%,3.70%
WTC,1.93%,3.70%
VEN,12.48%,3.70%
TRX,19.80%,3.70%
