,Float Change,Float Change Percent
10,Float Change,Float Change Percent
ADA,0.0,0.0
BCH,69638.0,0.004024503713121685
BTC,72375.0,0.004202742016967687
DASH,77332.0,0.00935286680993741
EOS,0.0,0.0
ETC,,
ETH,794027.0,0.007827061881604314
LTC,560254.0,0.009671153272952981
XLM,18193205.0,0.0009691795919011259
XRP,498507812.0,0.012661352082893096
ZEC,,
20,Float Change,Float Change Percent
BNB,48930810.0,0.5122973246136531
DCR,224910.0,0.027023623772906902
DOGE,542000000.0,0.004680726117070044
ETC,,
ICX,0.0,0.0
IOT,0.0,0.0
LSK,1341410.0,0.012277478313717838
MAID,0.0,0.0
MANA,0.0,0.0
NEO,0.0,0.0
OMG,0.0,0.0
ONT,0.0,0.0
SC,716710850.0,0.019703754093757686
STEEM,3367129.0,0.012280783241775284
TRX,0.0,0.0
VET,0.0,0.0
XEM,0.0,0.0
XMR,110070.0,0.006738483006895057
ZEC,,
ZIL,212545248.0,0.02808546530063749
ZRX,2134076.0,0.003967898538460579
Platform,Float Change,Float Change Percent
ZRX,192302266.3504256,0.21242981422207952
ZIL,3076844914.2967205,0.24155510501227528
XRP,-17790454510.998646,-0.39999475790327543
XEM,3145350278.5396347,0.20763802905161577
WAVES,34948336.43210134,0.20763802905161577
WAN,37098530.38470283,0.207638029051616
VET,19380507285.433548,0.20763802905161555
STRAT,34694487.23892468,0.2082505981672187
QTUM,31233282.96721354,0.20890062178560287
POWR,154420546.50169754,0.24478515275471158
ONT,187847308.3225448,0.207638029051616
NEO,22716418.68086584,0.20763802905161555
NAS,15901493.07660608,0.20763802905161555
LSK,40910353.85963097,0.22246477876411808
KMD,39649369.63097495,0.21587746269975328
ETH,14517380.189374782,0.27569081884937896
ETC,38252968.13501015,0.2186807906874335
EOS,316717592.73813295,0.20763802905161532
ELF,87370841.08025318,0.20763802905161555
DCR,3365808.257659143,0.24027278480256165
BTS,944959656.2369394,0.21165814720210108
AION,111167891.1605196,0.3215222468442296
ADA,9061079838.608475,0.207638029051616
40,Float Change,Float Change Percent
AE,0.0,0.0
AION,19372046.0,0.09430327221646828
BAT,0.0,0.0
BCN,177000000.0,0.0009625319484474204
BNT,5418437.0,0.10363538648415505
BTG,69737.0,0.0040570893210070125
BTS,8830000.0,0.0033289098668436434
CVC,0.0,0.0
DGB,167747350.0,0.01569861965709496
DGD,0.0,0.0
ELF,0.0,0.0
ENG,0.0,0.0
ETHOS,1692921.0,0.021621860560181005
FUN,0.0,0.0
GNO,0.0,0.0
GNT,0.0,0.0
GXS,0.0,0.0
HSR,150013.0,0.0034581328327989436
KMD,744509.0,0.006822767625667137
LRC,0.0,0.0
MONA,889050.0,0.014410359314825039
NANO,0.0,0.0
NAS,0.0,0.0
PIVX,0.0,0.0
POLY,7827000.0,0.028315595724734965
POWR,11528925.0,0.030760147336754695
PPT,0.0,0.0
QASH,0.0,0.0
QTUM,92872.0,0.0010455059410297007
RDD,0.0,0.0
REP,0.0,0.0
SNT,0.0,0.0
STORJ,0.0,0.0
STRAT,50208.0,0.0005072456322730012
WAN,0.0,0.0
WAVES,0.0,0.0
XVG,0.0,0.0
XZC,277078.0,0.05075608017642752
ZCL,280000.0,0.06007616799871274
ZEN,278337.0,0.061332863830936724
Currency,Float Change,Float Change Percent
ZEN,278337.0,0.061332863830936724
ZEC,278962.0,0.06041121168265118
ZCL,280000.0,0.06007616799871274
XZC,277078.0,0.05075608017642752
XVG,0.0,0.0
XMR,110070.0,0.006738483006895057
XLM,18193205.0,0.0009691795919011259
PIVX,0.0,0.0
NANO,0.0,0.0
MONA,889050.0,0.014410359314825039
LTC,560254.0,0.009671153272952981
IOT,0.0,0.0
HSR,150013.0,0.0034581328327989436
DOGE,541808447.0,0.004679064119999632
DGB,167747350.0,0.01569861965709496
DASH,77332.0,0.00935286680993741
BTG,69737.0,0.0040570893210070125
BTC,72375.0,0.004202742016967687
BCN,176518746.0,0.0009599123608587945
BCH,69638.0,0.004024503713121685
Application,Float Change,Float Change Percent
TRX,2191530507.5826263,0.034481566949680076
STORJ,-1578868.5096750855,-0.01149385564989347
STEEM,179116.21355497837,0.0006457740420333646
SNT,-40353051.84753609,-0.01149385564989358
SC,293768313.2795105,0.007983426338549648
REP,-127902.50507947244,-0.01149385564989358
RDD,-334973325.73368835,-0.01149385564989347
QASH,-4069625.1616196036,-0.011493855649893692
PPT,-430264.3410298601,-0.01149385564989358
POLY,4612925.078214943,0.016496284704940578
OMG,-1630703.4300061166,-0.011493855649893359
MANA,-12210520.880821705,-0.011493855649893692
MAID,-5262053.379505217,-0.01149385564989358
LRC,-6651791.199149132,-0.011493855649893359
ICX,-4653674.509814322,-0.01149385564989358
GXS,-697650.0277062133,-0.01149385564989358
GNT,-11153586.797949195,-0.011493855649893359
GNO,-12843.620735066943,-0.011493855649893692
FUN,-58263639.63145733,-0.01149385564989347
ETHOS,782525.7241423875,0.009879486366126455
ENG,-870157.6128595918,-0.011493855649893248
DGD,-23255.000923539978,-0.011493855649893359
CVC,-5116100.203178823,-0.011493855649893359
BNT,4810508.754089467,0.09095036066179185
BNB,47820238.094712675,0.4949151974648236
BAT,-11627500.461769938,-0.011493855649893248
AE,-2709445.6457818747,-0.011493855649893359
ETH,Float Change,Float Change Percent
ZRX,2134076,0.003967898538460579
ZIL,212545248,0.02808546530063749
VET,0,0.0
TRX,0,0.0
SNT,0,0.0
REP,0,0.0
QASH,0,0.0
PPT,0,0.0
POWR,11528925,0.030760147336754695
POLY,7827000,0.028315595724734965
OMG,0,0.0
MANA,0,0.0
LRC,0,0.0
GNT,0,0.0
GNO,0,0.0
FUN,0,0.0
ETHOS,1692921,0.021621860560181005
ENG,0,0.0
DGD,0,0.0
CVC,0,0.0
BNT,5418437,0.10363538648415505
BNB,48930810,0.5122973246136531
BAT,0,0.0
AION,19372046,0.09430327221646828
AE,0,0.0
Total,Float Change,Float Change Percent
ADA,0.0,0.0
AE,0.0,0.0
AION,19372046.0,0.09430327221646828
BAT,0.0,0.0
BCH,69638.0,0.004024503713121685
BCN,177000000.0,0.0009625319484474204
BNB,48930810.0,0.5122973246136531
BNT,5418437.0,0.10363538648415505
BTC,72375.0,0.004202742016967687
BTG,69737.0,0.0040570893210070125
BTS,8830000.0,0.0033289098668436434
CVC,0.0,0.0
DASH,77332.0,0.00935286680993741
DCR,224910.0,0.027023623772906902
DGB,167747350.0,0.01569861965709496
DGD,0.0,0.0
DOGE,542000000.0,0.004680726117070044
ELF,0.0,0.0
ENG,0.0,0.0
EOS,0.0,0.0
ETC,950333.0,0.00914409895197621
ETH,794027.0,0.007827061881604314
ETHOS,1692921.0,0.021621860560181005
FUN,0.0,0.0
GNO,0.0,0.0
GNT,0.0,0.0
GXS,0.0,0.0
HSR,150013.0,0.0034581328327989436
ICX,0.0,0.0
IOT,0.0,0.0
KMD,744509.0,0.006822767625667137
LRC,0.0,0.0
LSK,1341410.0,0.012277478313717838
LTC,560254.0,0.009671153272952981
MAID,0.0,0.0
MANA,0.0,0.0
MONA,889050.0,0.014410359314825039
NANO,0.0,0.0
NAS,0.0,0.0
NEO,0.0,0.0
OMG,0.0,0.0
ONT,0.0,0.0
PIVX,0.0,0.0
POLY,7827000.0,0.028315595724734965
POWR,11528925.0,0.030760147336754695
PPT,0.0,0.0
QASH,0.0,0.0
QTUM,92872.0,0.0010455059410297007
RDD,0.0,0.0
REP,0.0,0.0
SC,716710850.0,0.019703754093757686
SNT,0.0,0.0
STEEM,3367129.0,0.012280783241775284
STORJ,0.0,0.0
STRAT,50208.0,0.0005072456322730012
TRX,0.0,0.0
VET,0.0,0.0
WAN,0.0,0.0
WAVES,0.0,0.0
XEM,0.0,0.0
XLM,18193205.0,0.0009691795919011259
XMR,110070.0,0.006738483006895057
XRP,498507812.0,0.012661352082893096
XVG,0.0,0.0
XZC,277078.0,0.05075608017642752
ZCL,280000.0,0.06007616799871274
ZEC,278962.0,0.06041121168265118
ZEN,278337.0,0.061332863830936724
ZIL,212545248.0,0.02808546530063749
ZRX,2134076.0,0.003967898538460579
