,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Currency Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,17789674.999999996,55674.999999988824,0.3139449644749659,5.567499999998883,-5.960000485847991,-0.39250048584910857
XLM,19419882902.792397,92634758.79238892,0.4792961631278514,9263.475879238891,-6506.1622281325435,2757.3136511063476
LTC,62456775.854093686,433849.85409365594,0.6994991724409427,43.3849854093656,-20.924632655453095,22.460352753912503
BCH,17866149.999999996,52836.999999988824,0.29661523378603505,5.283699999998882,-5.985621585567643,-0.701921585568761
BSV,17854985.750887696,44262.75088768825,0.24851742900997564,4.426275088768826,-5.9818812738343805,-1.555606185065555
DASH,8891879.131727466,55688.131727462634,0.6302277952962232,5.568813172746264,-2.9790091131624004,2.5898040595838636
ZEC,6867193.749999998,211774.74999999534,3.181989743996505,21.177474999999536,-2.3006872293289384,18.876787770670596
XMR,17070711.161335595,55915.1613355875,0.3286266925303538,5.59151613355875,-5.719129034978485,-0.12761290141973447
IOT,2779530282.9999995,-1.430511474609375e-06,-5.551115123125783e-14,-1.4305114746093751e-10,-931.2144171891393,-931.2144171892824
DOGE,120149812688.09897,409962189.0989227,0.3423774018344483,40996.218909892275,-40253.28973101617,742.9291788761038
BTG,17513923.588999998,-0.41100000962615013,-2.346704308653358e-06,-4.1100000962615014e-05,-5.867616642774227,-5.867657742775189
MONA,65729674.87116789,-0.1288321390748024,-1.9600300271704896e-07,-1.288321390748024e-05,-22.021138338209727,-22.021151221423636
DGB,11973689607.362598,114924491.3625927,0.9691101074894792,11492.44913625927,-4011.495200293099,7480.953935966172
XZC,7821668.329777988,212450.32977798395,2.792012658567322,21.245032977798395,-2.6204608597750467,18.624572118023348
BCD,186492897.95299995,-0.04700013995170593,-2.520210706791204e-08,-4.700013995170593e-06,-62.479936390466925,-62.47994109048092
ZEN,6781787.499999998,211249.49999999534,3.2151020205650527,21.124949999999536,-2.272073930238626,18.85287606976091
NANO,133248297.19699997,8.196999907493591,6.151673659360313e-06,0.0008196999907493592,-44.64162026751683,-44.64080056752608
XVG,15795471279.120596,-403938056.8794136,-2.493535711711048,-40393.80568794136,-5291.890745488985,-45685.69643343035
PIVX,56781165.99209398,-0.007906042039394379,-1.3923706632112953e-08,-7.906042039394379e-07,-19.023156797406113,-19.023157588010317
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,17789675.0,55675.0,0.3139449644750103,5.5675,-6.535518837503004,-0.9680188375030045
XRP,42566596173.0,384601061.0,0.9117659323102822,38460.106100000005,-15637.991764156724,22822.114335843282
ETH,106705029.9366,402286.93659999967,0.3784351421674881,40.22869365999997,-39.2009822105784,1.0277114494215667
XLM,19419882902.7924,92634758.79240036,0.4792961631278958,9263.475879240037,-7134.419854960941,2129.056024279096
LTC,62456775.8540937,433849.85409370065,0.6994991724410093,43.38498540937007,-22.945187875783688,20.43979753358638
BCH,17866150.0,52837.0,0.29661523378610166,5.2837000000000005,-6.563613999617997,-1.279913999617997
EOS,921265925.3537,4023139.353700042,0.43861226439778633,402.3139353700042,-338.45198462022176,63.86195074978241
BSV,17854985.7508877,44262.750887699425,0.24851742901004226,4.426275088769943,-6.559512510390116,-2.133237421620173
ADA,25927070538.0,0.0,0.0,0.0,-9525.011440758088,-9525.011440758088
TRX,66682072191.4,0.40000152587890625,5.998535002049721e-10,4.000015258789063e-05,-24497.464902008047,-24497.464862007895
LINK,350000000.0,0.0,0.0,0.0,-128.5819776429896,-128.5819776429896
BNB,141175490.242,0.242000013589859,1.7141785768615136e-07,2.4200001358985904e-05,-51.86463922867128,-51.864615028669924
DASH,8891879.13172747,55688.131727470085,0.6302277952962898,5.568813172747009,-3.266672582056993,2.302140590690016
ZEC,6867193.75,211774.75,3.181989743996594,21.177475,-2.5228495806645093,18.654625419335492
XMR,17070711.1613356,55915.16133559868,0.32862669253042043,5.591516133559868,-6.271388002562251,-0.6798718690023824
XTZ,659731260.601439,-136196603.398561,-17.11167676855713,-13619.6603398561,-242.37014343153027,-13862.03048328763
NEO,70538831.0,5538831.0,8.52127846153845,553.8831,-25.914349687441778,527.9687503125582
ETC,111597907.0,722777.0,0.6518837903504604,72.27770000000001,-40.998513093938385,31.279186906061625
ONT,494757215.0,0.0,0.0,0.0,-181.76246045096516,-181.76246045096516
IOT,2779530283.0,0.0,0.0,0.0,-1021.1357163049104,-1021.1357163049104
RVN,3872460000.0,211290000.0,5.771105957931488,21129.0,-1422.653043266776,19706.346956733225
MAID,452552412.0,0.0,0.0,0.0,-166.25738320590008,-166.25738320590008
DOGE,120149812688.099,409962189.098999,0.3423774018345149,40996.21890989991,-44140.287225344386,-3144.068315444478
XEM,8999999999.0,0.0,0.0,0.0,-3306.3937104523566,-3306.3937104523566
