,Turnover,New Weight,Old Weight
OMG,0.0007487234041638029,0.014567627273647804,0.013818903869484
SNT,0.00034558625505478127,0.01076391506165122,0.011109501316706
NMR,9.3295975038276e-05,0.011187861856527277,0.011094565881489
DGD,0.000275102081863942,0.007882260073117058,0.008157362154981
LRC,6.625377809177813e-05,0.006787158799668779,0.006720905021577001
BNT,0.0072566015562841955,0.0072566015562841955,0.0
AION,0.00016055998272531107,0.00548252780337469,0.005643087786100001
MCO,0.000173479650585312,0.005379524673878688,0.005553004324464
IOST,0.0001381547374229939,0.005307139821302006,0.005445294558725
AE,8.926547594238863e-05,0.005039180954561389,0.004949915478619
MANA,5.635271748324032e-05,0.0038644289509247596,0.003920781668408
GNT,0.00010943989471163618,0.003602202994316364,0.0037116428890280003
Currency Index,Turnover,New Weight,Old Weight
BTC,0.0005758481633016954,0.8910060923845837,0.890430244221282
BCH,0.00034390205287794864,0.023402545759625054,0.023746447812503003
LTC,1.0469647678847116e-06,0.018368572238927117,0.018369619203695002
XLM,1.0448283674909659e-05,0.01809138771091009,0.018101835994585
BSV,0.00027825699123601097,0.01784804036958199,0.018126297360818
XMR,1.128970828211378e-05,0.0070147568179131144,0.007003467109631001
ZEC,4.3030311888750394e-06,0.005719130345820125,0.005723433377009
DASH,1.3746630004945158e-05,0.005506468695732946,0.0054927220657280005
DOGE,4.1626753635889274e-05,0.003411655705534111,0.0034532824591700004
IOT,0.0031379603730326577,0.0031379603730326577,0.0
DGB,5.9514163490111734e-06,0.001932888931797989,0.0019388403481470002
BTG,6.452267081949556e-05,0.0008450152312947715,0.0007804925604752759
MONA,5.485764937085197e-07,0.0008160541022340232,0.0008155055257403147
BCD,9.17589408743185e-07,0.0006807833962868035,0.0006817009856955467
ZEN,2.1935103296244225e-07,0.0006270999151953234,0.0006273192662282858
NANO,1.6702714621666045e-06,0.00046666022234162697,0.00046498995087946037
XZC,7.022724274102364e-06,0.00044781791192613615,0.0004407951876520338
XVG,5.965391025231537e-07,0.00037743519229651294,0.0003780317313990361
PIVX,1.6589646912375786e-05,0.00029963469496601004,0.00028304504805363426
MIOTA,0.0031419297913030005,0.0,0.0031419297913030005
Platform Index,Turnover,New Weight,Old Weight
ETH,0.01639307148900704,0.25,0.26639307148900704
XRP,0.002213438167641024,0.25,0.252213438167641
ATOM,0.12782969018413268,0.12782969018413268,0.0
ADA,0.023049732622317506,0.0894628557601065,0.112512588382424
XTZ,0.021486188898622208,0.0845495556985078,0.10603574459713001
EOS,0.016511404030258775,0.06545300538174523,0.081964409412004
VET,0.00596338543000699,0.023231463076589014,0.029194848506596004
ETC,0.005751209292669084,0.022600025515054918,0.028351234807724
NEO,0.004591514739617341,0.01853297130850666,0.023124486048124
ONT,0.0027555786374488436,0.010855547717832157,0.013611126355281
XEM,0.0014183384771813854,0.007526335850622615,0.008944674327804
RVN,0.0016030105322344746,0.006494609896958526,0.008097620429193
ZIL,0.0015471181034605588,0.005847097086281442,0.007394215189742001
ZRX,0.0014857824792207375,0.005940217200126263,0.0074259996793470005
DCR,0.0012462207853636293,0.004882634684870371,0.006128855470234
WAVES,0.0011385013587845638,0.0045545207402464365,0.005693022099031
LSK,0.0011504614696990732,0.004542283143014927,0.005692744612714001
QTUM,0.0009282358136090251,0.0041103442600739755,0.005038580073683001
ARK,0.0006382802688561359,0.0025411251952248645,0.0031794054640810004
KMD,0.0004852153291716164,0.001994606843542384,0.0024798221727140002
HOT,0.01569744629083298,0.0019476219051210246,0.017645068195954003
NULS,0.0004266085608547374,0.0017036021629522626,0.002130210723807
BTS,0.00035354392694333307,0.001430044275546667,0.00178358820249
AION,0.00035323773626150267,0.0014096288041544976,0.0017628665404160002
ELF,0.00021598014314834523,0.000862934132659655,0.0010789142758080002
ARDR,0.00021665490140444538,0.0008632659388565548,0.0010799208402610002
WAN,0.00020953069950137933,0.0008340132372726207,0.001043543936774
Application Index,Turnover,New Weight,Old Weight
LINK,0.06463459810288702,0.25,0.314634598102887
TRX,0.010853686962126324,0.17356160156021333,0.162707914598087
BNB,0.008666389185117612,0.17138161215186762,0.16271522296675
ICX,0.0062529253568825716,0.12651828981474858,0.12026536445786601
BAT,0.002044628540035738,0.03177692183286674,0.029732293292831002
GNO,0.02576421509817492,0.02576421509817492,0.0
SC,0.0010435075447467676,0.02305328105839977,0.022009773513653002
KNC,0.001073956545237783,0.021603568431323786,0.020529611886086003
THETA,0.00112093785744026,0.022183783046138262,0.021062845188698002
REP,0.0012293778146734748,0.018901927201226475,0.017672549386553
OMG,0.0025333464168492657,0.020274890631666268,0.017741544214817002
SNT,0.0007179215061562418,0.014980970925739244,0.014263049419583002
NMR,0.0013271359787375581,0.015571010383661559,0.014243874404924
DGD,0.0004974346946687476,0.010970349385715748,0.010472914691047
LRC,0.0008175082851199222,0.009446212466731923,0.008628704181612
BNT,0.010099572164190888,0.010099572164190888,0.0
GAS,0.0004447540642854627,0.008447455396148463,0.008002701331863
MCO,0.00035781680741564254,0.0074870994681846435,0.007129282660769001
IOST,0.00039535753316758716,0.007386355885045588,0.006990998351878001
AE,0.0006584161192005429,0.0070134168597055435,0.006355000740505001
STEEM,0.0003642027841396925,0.006549341599591693,0.006185138815452001
STORJ,0.0003223249695728878,0.006636236980294888,0.006313912010722
MANA,0.0003446873369436316,0.005378423875216632,0.005033736538273
GNT,0.0002482322534075026,0.005013463783147503,0.00476523152974
GXC,0.00416750213925,0.0,0.00416750213925
MAID,0.004086183098893001,0.0,0.004086183098893001
RCN,0.0042900524772470005,0.0,0.0042900524772470005
