,Turnover,New Weight,Old Weight
10 Index,0.04002458849362358,,
20 Index,0.34267838590809613,,
40 Index,0.14844394184192694,,
Total Index,0.02482685164292284,,
ETH Index,0.026765879136313734,,
Currency Index,0.0038291987645805094,,
Platform Index,0.1278296901841247,,
Application Index,0.07717833581828402,,
10 Index,Turnover,New Weight,Old Weight
BTC,0.009328618349551232,0.6738400964950758,0.683168714844627
ETH,0.001829596890045443,0.13191212906353256,0.133741725953578
XRP,0.0011787541559967474,0.07166827776035126,0.072847031916348
ATOM,0.023545818033723784,0.023545818033723784,0.0
LINK,0.0003433841975610495,0.02170900723936395,0.022052391436925
BCH,0.0005204767685968205,0.017698614889032183,0.018219091657629003
ADA,0.016478770459902276,0.016478770459902276,0.0
XTZ,0.0002649083836508033,0.015573756381961196,0.015838664765612
LTC,0.00020222594006865692,0.013891577841886344,0.014093803781955001
XLM,0.00020639945680935023,0.013681951835170651,0.013888351291980001
BSV,0.013907118893644,0.0,0.013907118893644
EOS,0.012243105457697,0.0,0.012243105457697
20 Index,Turnover,New Weight,Old Weight
BSV,0.16562451731201075,0.16562451731201075,0.0
EOS,0.1479345276843838,0.1479345276843838,0.0
TRX,0.007049490691519458,0.07246825925894254,0.079517749950462
BNB,0.007963286988764195,0.07155803466890881,0.079521321657673
XMR,0.007156408134096459,0.06509486128281354,0.07225126941691
ICX,0.005949480162058637,0.05282597155634337,0.058775451718402004
ZEC,0.00597396906999139,0.05307183216513062,0.05904580123512201
VET,0.006130769060896275,0.05250691694916273,0.058637686010059004
DASH,0.005567272789468371,0.05109839517052964,0.05666566795999801
ETC,0.005863528235245469,0.051079764492481534,0.056943292727727
NEO,0.0045578428681817065,0.0418875549124413,0.046445397780623
DOGE,0.003966636609199485,0.031659152364248516,0.035625788973448
IOT,0.029119340911706117,0.029119340911706117,0.0
ONT,0.0028025509700301335,0.024535318355918868,0.027337869325949
DGB,0.002065411119520834,0.01793663560355717,0.020002046723078003
XEM,0.0009545736733965991,0.017010753482779403,0.017965327156176002
RVN,0.0015851406473015549,0.014678883605073446,0.016264024252375
ZIL,0.0016358404090505464,0.013215398448686454,0.014851238857737
ZRX,0.0014892126436394284,0.013425865179422573,0.014915077823062001
BAT,0.0012625922526300851,0.013268016595458915,0.014530608848089
ADA,0.22598088934275,0.0,0.22598088934275
DCR,0.012309771108538,0.0,0.012309771108538
MIOTA,0.032413719131813006,0.0,0.032413719131813006
40 Index,Turnover,New Weight,Old Weight
DCR,0.050867666568413086,0.050867666568413086,0.0
WAVES,0.0010369850429943206,0.04744935006333133,0.04641236502033701
GNO,0.049585959788129484,0.049585959788129484,0.0
LSK,0.000911755013892443,0.04732185782691645,0.046410102813024004
SC,0.0007077284282707846,0.04436848020366179,0.043660751775391006
KNC,0.0008537971899720484,0.04157835476197405,0.040724557572002
QTUM,0.0017448589300175787,0.042821885067648585,0.041077026137631006
THETA,0.0009127076158456787,0.04269503921942968,0.041782331603584
REP,0.0013217528161429612,0.036378760173623965,0.035057007357481004
OMG,0.0038273013747938678,0.03902117366042887,0.035193872285635
BTG,0.0034618748834080518,0.036144835313836055,0.032682960430428
MONA,0.0007569257830748119,0.034906046707860815,0.034149120924786
BCD,0.0005738687197387009,0.0291199529095787,0.02854608418984
SNT,0.0005388768423140872,0.02883246468329109,0.028293587840977002
NMR,0.0017125076958183286,0.02996805809153033,0.028255550395712002
ZEN,0.0005548246965541466,0.02682368591785615,0.026268861221302002
ARK,0.0005535348672295291,0.02647363923003053,0.025920104362801
KMD,0.0005632173949278833,0.020779968685099886,0.020216751290172003
HOT,0.12356094982077952,0.02029047595512749,0.143851425775907
NANO,0.0004896537218597383,0.01996100929235474,0.019471355570495
DGD,0.000338495128331201,0.021113598897890204,0.020775103769559003
LRC,0.001063489632893714,0.018180236026622717,0.017116746393729003
XZC,0.0006968398849862244,0.019155044876948225,0.018458204991962
BNT,0.019437695939992238,0.019437695939992238,0.0
NULS,0.00038171556066942877,0.01774825936882143,0.017366543808152002
XVG,0.0003144830431287028,0.016144481616384702,0.015829998573256
GAS,0.0003830767361243416,0.016258022299119344,0.015874945562995003
BTS,0.0003576085365814517,0.014898312096127454,0.014540703559546002
AION,0.0003138519319866931,0.014685622132892694,0.014371770200906001
MCO,0.00026736926487214326,0.014409715636376145,0.014142346371504001
IOST,0.000347791930434568,0.014215823944220569,0.013868032013786
AE,0.0008916587136389119,0.013498063304376914,0.012606404590738002
STEEM,0.0003354515640945511,0.012604901331501552,0.012269449767407
STORJ,0.0002472437472974629,0.012772140691866465,0.012524896944569002
PIVX,0.0009641776277751705,0.012816628982253171,0.011852451354478
MANA,0.0003659312474685282,0.010351346197963528,0.009985414950495
GNT,0.00019615985642536943,0.00964894185998337,0.009452782003558001
ELF,0.0001942655940904512,0.008990114674491453,0.008795849080401002
ARDR,0.00018951635964790416,0.008993571457166906,0.008804055097519001
WAN,0.00018132216809978695,0.008688814544877788,0.008507492376778001
GXC,0.008267067187781,0.0,0.008267067187781
MAID,0.008105754740225,0.0,0.008105754740225
RCN,0.008510170093132001,0.0,0.008510170093132001
Total Index,Turnover,New Weight,Old Weight
BTC,0.012176075339303871,0.6130402456628642,0.6252163210021681
ETH,0.0023867308348405336,0.12000984273219248,0.12239657356703301
XRP,0.001465776504938357,0.06520172787723265,0.066667504382171
ATOM,0.021421304767714443,0.021421304767714443,0.0
LINK,0.0004314857696524725,0.019750227391245528,0.020181713160898
BCH,0.0005718993346682417,0.01610168833214276,0.016673587666811002
ADA,0.00038856519365886716,0.014991909124295134,0.015380474317954002
XTZ,0.00032653610053493334,0.014168553471292068,0.014495089571827002
LTC,0.0002600870302518418,0.012638156050865159,0.012898243081117
XLM,0.00026277451460865117,0.01244744436819335,0.012710218882802
BSV,0.0004473807156632186,0.012280013735356782,0.01272739445102
EOS,0.0002361247705356638,0.010968412535660338,0.011204537306196001
TRX,3.898918282213559e-05,0.0053730645288508645,0.005412053711673
BNB,0.00010671969121282127,0.005305577114250179,0.005412296805463001
XMR,9.111657706935023e-05,0.00482637355644765,0.0049174901335170005
ICX,8.360042492410163e-05,0.0039167127356718985,0.004000313160596
ZEC,8.37716561833974e-05,0.003934941749720603,0.004018713405904001
VET,9.7879847307864e-05,0.003893056848113136,0.003990936695421
DASH,6.809543221051153e-05,0.003788623838623489,0.0038567192708340004
ETC,8.837218533876926e-05,0.003787242491308231,0.0038756146766470005
NEO,5.541985361389411e-05,0.003105698105651106,0.003161117959265
DOGE,7.73985461434432e-05,0.002347326544356557,0.0024247250905000003
IOT,0.002159015538059813,0.002159015538059813,0.0
ONT,4.150222776800531e-05,0.0018191391667239949,0.0018606413944920002
DGB,3.146988536175256e-05,0.0013298884437672475,0.001361358329129
XEM,3.850286422791443e-05,0.0012612401219789144,0.001222737257751
RVN,1.8598291132054107e-05,0.001088346672433946,0.001106944963566
ZIL,3.095097052408283e-05,0.0009798384750149172,0.001010789445539
ZRX,1.969113009685653e-05,0.0009954432561561435,0.001015134386253
BAT,5.227283194808759e-06,0.0009837397788531503,0.000988967062047959
DCR,1.95978888171709e-05,0.0008182168438596785,0.0008378147326768494
WAVES,1.500377515755531e-05,0.0007632325221719558,0.0007782362973295111
GNO,0.0007976003275681998,0.0007976003275681998,0.0
LSK,1.7016581526158405e-05,0.0007611817834152312,0.0007781983649413896
SC,1.8421517397391226e-05,0.000713676098947177,0.0007320976163445682
KNC,1.4067547378282985e-05,0.0006687963592838689,0.0006828639066621518
QTUM,2.474696827613112e-08,0.0006887987991556577,0.0006887740521873815
THETA,1.3842061738916843e-05,0.000686758457685565,0.0007006005194244818
REP,2.671372076616034e-06,0.0005851598144915528,0.0005878311865681688
OMG,3.7537457797496665e-05,0.0006276635770818411,0.0005901261192843444
BTG,3.337359832632171e-05,0.0005813970851707858,0.0005480234868444641
MONA,1.1136952403562614e-05,0.0005614709165106372,0.0005726078689141999
BCD,1.0256490469970944e-05,0.0004684004117030458,0.00047865690217301673
SNT,1.0646972686555493e-05,0.0004637761046524461,0.0004744230773390016
NMR,8.257086833283903e-06,0.00048204235740354726,0.00047378527057026336
ZEN,9.008247128429773e-06,0.000431464486440984,0.0004404727335694138
ARK,8.790911737331306e-06,0.0004258339137130016,0.0004346248254503329
KMD,4.741711963707771e-06,0.0003342500558809457,0.0003389917678446535
HOT,0.0020857049041183096,0.0003263764649806905,0.002412081369099
NANO,5.416146448249798e-06,0.0003210769261742791,0.0003264930726225289
DGD,8.737580915429294e-06,0.00033961656624285474,0.00034835414715828403
LRC,5.421520680648148e-06,0.00029243282316323725,0.0002870113024825891
XZC,1.3918765802152077e-06,0.00030811282334187925,0.00030950469992209445
BNT,0.00031265932363016,0.00031265932363016,0.0
NULS,5.7154818729406335e-06,0.0002854843900737844,0.000291199871946725
XVG,5.7479918341408706e-06,0.0002596872961755162,0.0002654352880096571
GAS,4.675331759817309e-06,0.0002615136213314356,0.0002661889530912529
BTS,4.174158546786124e-06,0.0002396424039961652,0.00024381656254295132
AION,4.762668356120454e-06,0.00023622124233928988,0.00024098391069541034
MCO,5.3537329798910985e-06,0.00023178322978613814,0.00023713696276602924
IOST,3.872854319654685e-06,0.00022866444217293442,0.0002325372964925891
AE,5.736617684233786e-06,0.0002171191151509109,0.00021138249746667712
STEEM,2.9800625543206663e-06,0.00020275242173243665,0.00020573248428675732
STORJ,4.573287087529624e-06,0.0002054425011254604,0.00021001578821299002
PIVX,7.417793438850741e-06,0.00020615810439576115,0.0001987403109569104
MANA,9.305700607889174e-07,0.0001665035254645617,0.00016743409552535062
GNT,3.2977701684764173e-06,0.00015520520770582357,0.0001585029778743
ELF,2.879777554431551e-06,0.00014460783737751975,0.0001474876149319513
ARDR,2.961771888392912e-06,0.0001446634404354429,0.0001476252123238358
WAN,2.8911254594338946e-06,0.00013976136303068802,0.00014265248849012192
GXC,0.0001386210712419836,0.0,0.0001386210712419836
MAID,0.0001359162058070033,0.0,0.0001359162058070033
MIOTA,0.0022061085612420004,0.0,0.0022061085612420004
RCN,0.0001426973880779744,0.0,0.0001426973880779744
ETH Index,Turnover,New Weight,Old Weight
LINK,0.014203663735877725,0.4583887957034333,0.47259245943931105
TRX,0.0020283090965663303,0.12470502388790268,0.126733332984469
BNB,0.0036003367067279635,0.12313868877230505,0.126739025479033
VET,0.0031001338011473756,0.09035509337996764,0.09345522718111501
ZIL,0.0009281629995868367,0.022741357334704164,0.023669520334291
ZRX,0.0006677319682151447,0.023103533257686857,0.023771265225902
BAT,0.00032660468376758886,0.022831903834886414,0.023158508518654003
GNO,0.01851173894679874,0.01851173894679874,0.0
KNC,0.0004682421196646573,0.015522290028866344,0.015990532148531002
REP,0.00018401870490744945,0.013581145034194551,0.013765163739102
