MAID,452552412,317394884.3
GNT,820672000,496477265.3
ZEC,1315656,1100531.803
STRAT,98387040,79339856.78
FCT,8753219,11926693.22
DCR,4903399,6213539.993
STEEM,233614516,107068289
GAME,62688400,46045820.02
DOGE,109397095987,97960100412
WAVES,100000000,75123769.67
BCN,182896029777,167108406585
LSK,107059440,183362997
ICN,87000000,130718643.1
SC,26002759497,35289974061
PPC,24092394,60023303.09
ARDR,998999495,1139756434
BTS,2601040000,2232489518
NXT,998999983,1660340685
DGB,8107031908,27715540604
PIVX,53397840,96484552.17
