id,bletch_id,index_value_btc,index_value_usd,time_stamp
277140,277119,0.145393837059061,1228.24787913894,1526095179621
277141,277120,0.14545091383522,1228.29951362825,1526095239565
277142,277121,0.145404421210053,1227.91416432308,1526095299693
277143,277122,0.145383830750885,1227.62106686048,1526095359670
277144,277123,0.145408647881534,1227.52962681056,1526095419582
277145,277124,0.145401874543317,1227.85485369351,1526095479600
277146,277125,0.145421537647352,1227.9729108479,1526095539642
277147,277126,0.145413185703799,1227.77442151217,1526095599622
277148,277127,0.145361922140867,1227.36775045407,1526095659633
277149,277128,0.145323439066667,1226.59231480147,1526095719573
277150,277129,0.145304078711115,1226.3228330982,1526095779550
277151,277130,0.145299852463656,1225.85853027275,1526095839660
277152,277131,0.145275525861304,1222.69548310382,1526095899607
277153,277132,0.145201501075369,1221.06331120325,1526095959618
277154,277133,0.145088321176755,1220.13619665125,1526096019633
277155,277134,0.145007429021995,1216.27011196204,1526096079637
277156,277135,0.14507044941398,1216.48825356093,1526096139657
277157,277136,0.145037744043118,1217.45842651745,1526096199624
277158,277137,0.144904045494458,1215.64350886665,1526096259568
277159,277138,0.144942397496684,1215.76958308231,1526096319560
277160,277139,0.144930807868991,1216.07527751058,1526096379569
277161,277140,0.14495992425582,1219.55798995891,1526096439631
277162,277141,0.144989069097059,1220.40344229446,1526096499825
277163,277142,0.144989261017176,1220.63704054401,1526096559545
277164,277143,0.145016149634804,1220.99682556465,1526096619617
277165,277144,0.145040813447594,1221.34662820629,1526096679561
277166,277145,0.145069448881117,1221.18881790329,1526096739648
277167,277146,0.14499830621338,1219.27625711769,1526096799575
277168,277147,0.144985683592486,1218.691662005,1526096859717
277169,277148,0.144990887069768,1218.85429288104,1526096919689
277170,277149,0.145039247196745,1219.9265585643,1526096979677
277171,277150,0.144987279569577,1219.03274840186,1526097039577
277172,277151,0.14495703582961,1218.54798158337,1526097099649
277173,277152,0.144938436925277,1218.290177266,1526097160149
277174,277153,0.145000573556543,1216.38806147981,1526097219831
277175,277154,0.144936909677739,1215.48295626132,1526097279561
277176,277155,0.144963736544981,1217.85484708804,1526097339546
277177,277156,0.144926520389977,1218.27551864141,1526097399686
277178,277157,0.144843037061473,1217.47090586836,1526097460035
277179,277158,0.144742479541029,1218.39298033334,1526097519571
277180,277159,0.144801347184184,1219.17087076543,1526097579591
277181,277160,0.144801219023434,1219.30880087215,1526097639637
277182,277161,0.144761711352781,1221.79463428592,1526097699630
277183,277162,0.144773571580872,1223.14847421532,1526097759671
277184,277163,0.144782481737947,1221.80778078799,1526097819537
277185,277164,0.144797079737181,1222.55504754936,1526097879510
277186,277165,0.144806948446204,1222.53121418759,1526097939549
277187,277166,0.144787018026651,1221.01643255218,1526097999625
277188,277167,0.144803456566436,1220.06324381899,1526098059581
277189,277168,0.144842023802011,1220.13327588552,1526098119648
277190,277169,0.144837651264617,1220.33687261259,1526098179580
277191,277170,0.144899405188699,1221.02236870956,1526098239616
277192,277171,0.144856502473175,1221.74871315925,1526098299609
277193,277172,0.144830062965726,1221.84144660279,1526098359657
277194,277173,0.144793887694128,1221.32485918896,1526098419506
277195,277174,0.144805735753573,1221.63910911144,1526098479577
277196,277175,0.144787949448885,1221.65701075193,1526098539550
277197,277176,0.144833793115534,1222.32045198475,1526098599653
277198,277177,0.14483182361328,1222.86143295048,1526098659585
277199,277178,0.144855827454767,1224.19832619435,1526098719597
277200,277179,0.144969225428591,1225.24220132384,1526098779572
277201,277180,0.144985083096796,1225.72419041194,1526098839602
277202,277181,0.144905669718055,1224.81082612177,1526098899609
