,USD,BTC
2018-01-17,106.598949904,0.0095495668525
2018-01-18,113.091829471,0.0101196033358
2018-01-19,114.983450627,0.00997967763843
2018-01-20,126.660607244,0.00990779112261
2018-01-21,111.750237235,0.00967540385395
2018-01-22,106.373428462,0.00983616734373
2018-01-23,105.393595263,0.00970633291645
2018-01-24,111.895735567,0.0097904925853
2018-01-25,110.109564993,0.00985243788568
2018-01-26,107.269299367,0.00966024561577
2018-01-27,111.326107146,0.00971456582634
2018-01-28,118.932153789,0.010106626573
2018-01-29,113.150933806,0.0100722304982
2018-01-30,99.4376815397,0.00983824315786
2018-01-31,102.983470618,0.0100699012813
2018-02-01,88.8771848678,0.00975095064553
2018-02-02,82.7508592432,0.00932843403916
2018-02-03,88.354258316,0.00955050045194
2018-02-04,74.753443779,0.00909625078686
2018-02-05,60.7913151848,0.00876324263016
2018-02-06,70.1322380661,0.00910660452084
2018-02-07,66.7010691281,0.00878487144634
2018-02-08,72.8104297977,0.0088140857238
2018-02-09,80.8364304959,0.00929493050869
