,USD,BTC
2018-01-17,104.5532623,0.0093663058489
2018-01-18,105.146343816,0.00940863099132
2018-01-19,108.586098655,0.00942443677482
2018-01-20,120.105853288,0.00939505764955
2018-01-21,106.687066404,0.00923703142821
2018-01-22,99.558390384,0.00920599253448
2018-01-23,99.9756848951,0.00920736481868
2018-01-24,104.543278771,0.00914717786577
2018-01-25,104.011953389,0.00930683279144
2018-01-26,103.22932454,0.00929642158284
2018-01-27,105.606623223,0.00921547082976
2018-01-28,109.70968137,0.00932291853573
2018-01-29,103.993728596,0.00925709377347
2018-01-30,91.7152103083,0.00907419125542
2018-01-31,93.6035987159,0.00915272123759
2018-02-01,81.0750209663,0.00889495464109
2018-02-02,76.9462392149,0.00867408415625
2018-02-03,83.2576096302,0.00899958704375
2018-02-04,73.770342048,0.00897662365744
2018-02-05,60.3414748501,0.00869839685431
2018-02-06,67.7364921849,0.00879551919298
2018-02-07,66.0749276125,0.00870240541104
2018-02-08,76.5898393587,0.00927160314195
2018-02-09,81.3447742142,0.00935338211902
