,USD,BTC
2018-01-17,107.186463396,0.00960219869709
2018-01-18,107.128584786,0.00958600448001
2018-01-19,111.420516924,0.00967044244314
2018-01-20,121.921329007,0.00953706987101
2018-01-21,104.652735477,0.00906089781299
2018-01-22,98.1827286049,0.00907878746397
2018-01-23,97.8711954122,0.00901354966806
2018-01-24,104.480223942,0.00914166078474
2018-01-25,102.747905003,0.00919372764741
2018-01-26,101.171898702,0.00911113801101
2018-01-27,104.643178955,0.00913139852189
2018-01-28,107.776460887,0.00915863716289
2018-01-29,103.866832694,0.00924579802245
2018-01-30,88.5185830146,0.00875792084251
2018-01-31,89.6500589094,0.00876613730015
2018-02-01,77.2394342486,0.00847414229385
2018-02-02,73.9599947917,0.00833744736019
2018-02-03,79.023158485,0.00854187138469
2018-02-04,65.5352995836,0.00797455595714
2018-02-05,51.3399789345,0.00740080537265
2018-02-06,62.1795429228,0.00807395460773
2018-02-07,59.8033864763,0.00787641141466
2018-02-08,66.9030020775,0.00809896050784
2018-02-09,71.5379317854,0.00822574797775
