,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BNB,0.2620637781135555,22.050520000000002,141175529.0,141175490.0,-39.0,-2.7625184251256485e-05,-0.0039000000000000003,-0.08599702800000002,1141.7274901372411,1141.7235901372412
DASH,0.082327179858274,111.40399,8713552.18,8778365.0,64812.8200000003,0.7438162836594264,6.48128200000003,722.0406751151834,70.99320596626656,77.4744879662666
XMR,0.09044695286537191,63.37705,16881004.0,16952473.0,71469.0,0.42336936831481875,7.1469000000000005,452.949438645,137.09960879122394,144.24650879122393
ZEC,0.03285359887448659,60.66279,6182605.67,6433269.0,250663.33000000007,4.054331512946052,25.066333000000007,1520.5936948490705,52.027728529560754,77.09406152956076
ETC,0.05469732220876395,5.9004199999999996,109498727.21,110116977.0,618249.7900000066,0.5646182432918145,61.82497900000066,364.7933425911839,890.5482089823829,952.3731879823836
BSV,0.08192323330748993,54.80891,,17755261.0,,,,,143.591990212052,
ONT,0.046648506208404675,1.11989,925000000.0,494804358.0,-430195642.0,-46.507636972972975,-43019.5642,-48177.179751938005,4001.627603830587,-39017.93659616941
RVN,0.01471992925790218,0.050839999999999996,3195506428.57,3439310000.0,243803571.42999983,7.629575370283415,24380.357142999983,1239.4973571501191,27814.7061795494,52195.06332254938
NEO,0.05345877438962725,9.7696,80000000.0,65000000.0,-15000000.0,-18.75,-1500.0,-14654.400000000001,525.6740164947944,-974.3259835052056
IOT,0.06985585250359105,0.29854,2779530283.28,2779530283.0,-0.2800002098083496,-1.0073653022857343e-08,-2.8000020980834962e-05,-8.35912626361847e-06,22478.87458205419,22478.87455405417
DOGE,0.02521010502014569,0.00251,118740746295.71,119308689354.0,567943058.2899933,0.4783051109310099,56794.30582899933,142.55370763078832,964884.2759299523,1021678.5817589517
BAT,0.04070008200485479,0.38554,,1253998401.0,,,,,10141.451940487996,
MAID,0.005029265620818674,0.13201,452552412.0,452552412.0,0.0,0.0,0.0,0.0,3659.9237552376453,3659.9237552376453
VET,0.029690985089386224,0.00636,85466263400.0,55454734800.0,-30011528600.0,-35.115058744922266,-3001152.8600000003,-19087.3321896,448478.6642456869,-2552674.1957543134
XEM,0.04261808141383907,0.05625,8933249239.04,8999999999.0,66750759.959999084,0.7472170335098838,6675.075995999909,375.4730247749949,72785.63304503809,79460.709041038
DCR,0.01942078208000356,23.760839999999998,9524299.239999998,9709035.0,184735.76000000164,1.939625744056328,18.473576000000165,438.9476835638439,78.51980653443903,96.99338253443919
LINK,0.013944004861173568,0.47325,650000000.0,350000000.0,-300000000.0,-46.15384615384615,-30000.0,-14197.5,2830.552396510431,-27169.44760348957
MANA,0.004508653497107982,0.051,1050141509.0,1050141509.0,0.0,0.0,0.0,0.0,8492.801614214373,8492.801614214373
LSK,0.01711379425750989,1.7440099999999998,130785946.57,116565083.0,-14220863.569999993,-10.873388114669202,-1422.0863569999995,-2480.132827471569,942.6959286716781,-479.3904283283214
ZIL,0.012769118567693718,0.01746,10249349158.76,8687360058.0,-1561989100.7600002,-15.239885738744551,-156198.91007600003,-2727.2329699269603,70257.222375774,-85941.68770022603
