,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BNB,0.22683365981691173,19.88597389,100000000.0,100000000.0,0.0,0.0,0.0,0.0,-0.208788449867966,-0.208788449867966
LINK,0.3108192989050995,2.72487975,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,-2.0878844986796596,-2.0878844986796596
TRX,0.2341314424816648,0.0197088,104145119673.46,104145119673.46,0.0,0.0,0.0,0.0,-217.44298097935524,-217.44298097935524
VET,0.04019738409554216,0.00406384,86716263400.0,86716263400.0,0.0,0.0,0.0,0.0,-181.05354213628235,-181.05354213628235
BAT,0.039540438818978084,0.23109449,1500000000.0,1500000000.0,0.0,0.0,0.0,0.0,-3.1318267480194892,-3.1318267480194892
ZRX,0.031279508472873446,0.2742201,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,-2.0878844986796596,-2.0878844986796596
OMG,0.015132981858552741,0.94596541,140245398.25,140245398.25,0.0,0.0,0.0,0.0,-0.29281619301733053,-0.29281619301733053
ZIL,0.014411088478869639,0.00601613,20999982720.4,20999982720.4,0.0,0.0,0.0,0.0,-43.84553839446387,-43.84553839446387
AE,0.012292397149246848,0.21398141,503616445.26,503616445.26,0.0,0.0,0.0,0.0,-1.0514929693385073,-1.0514929693385073
REP,0.011363492357250156,9.05646064,11000000.0,11000000.0,0.0,0.0,0.0,0.0,-0.022966729485476258,-0.022966729485476258
MCO,0.01057965950233815,4.19464545,22111377.4,22111377.4,0.0,0.0,0.0,0.0,-0.04616600211791576,-0.04616600211791576
SNT,0.010267463654014493,0.01322765,6804870174.89,6804870174.89,0.0,0.0,0.0,0.0,-14.20778295368038,-14.20778295368038
IOST,0.009550433667234315,0.00696909,12013965608.0,12013965608.0,0.0,0.0,0.0,0.0,-25.083772560613756,-25.083772560613756
QASH,0.007190792729398238,0.06303999,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,-2.0878844986796596,-2.0878844986796596
AION,0.005518229200992779,0.07545995,641095291.0,641095291.0,0.0,0.0,0.0,0.0,-1.3385329202554257,-1.3385329202554257
GNT,0.005136755692203534,0.04503273,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,-2.08788449867966,-2.08788449867966
CVC,0.004751610202254082,0.04165625,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,-2.08788449867966,-2.08788449867966
FUN,0.003962540345533642,0.00315806,11000000000.0,11000000000.0,0.0,0.0,0.0,0.0,-22.966729485476257,-22.966729485476257
WTC,0.0034543927801780313,0.70852337,42483863.0,42742203.0,258340.0,0.6080897116159223,25.834,18.30399274058,-0.08924078308311927,25.74475921691688
KNC,0.0035864297908633747,0.1764263,178212585.95999998,178212585.95999998,0.0,0.0,0.0,0.0,-0.37208729569550036,-0.37208729569550036
