,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.897521286675452,9170.17866344,20986335.65,20986335.650000002,3.725290298461914e-09,2.220446049250313e-14,3.725290298461914e-13,3.4161577610075472e-09,-3.2003408366181116e-13,5.249494618438026e-14
BCH,0.022563573446935565,230.58002615,20982433.290000007,20982433.290000003,-3.725290298461914e-09,-2.220446049250313e-14,-3.725290298461914e-13,-8.589775344356896e-11,-3.1997457407292694e-13,-6.925036039191183e-13
LTC,0.016845973304966348,43.06302492,83880542.21000001,83880542.21000001,0.0,0.0,0.0,0.0,-1.2791481519658828e-12,-1.2791481519658828e-12
BSV,0.01665271494480656,170.17857841,20982141.460000005,20982141.460000005,0.0,0.0,0.0,0.0,-3.1997012377020646e-13,-3.1997012377020646e-13
XLM,0.015760211524624174,0.06758677,50000000000.000015,50000000000.00001,-7.62939453125e-06,-1.1102230246251565e-14,-7.62939453125e-10,-5.156461334228516e-11,-7.624820478409988e-10,-1.5254215009659988e-09
XMR,0.0067205596238697745,64.14277199,22466083.470000006,22466083.470000003,-3.725290298461914e-09,-1.1102230246251565e-14,-3.725290298461914e-13,-2.389504462108016e-11,-3.4259970662344817e-13,-7.151287364696396e-13
DASH,0.005827431505759618,70.99279906,17600805.030000005,17600805.030000005,0.0,0.0,0.0,0.0,-2.6840595725849104e-13,-2.6840595725849104e-13
ZEC,0.005442679217380086,55.77414123,20924230.74,20924230.740000002,3.725290298461914e-09,2.220446049250313e-14,3.725290298461914e-13,2.0777486722916365e-11,-3.1908700608265556e-13,5.344202376353586e-14
DOGE,0.0030998162672493633,0.00236818,280666706295.7101,280666706295.7101,0.0,0.0,0.0,0.0,-4.280066499542822e-09,-4.280066499542822e-09
IOT,0.0027917297367390684,0.21536326,,2779530283.2800007,,,,,-4.2386838848628125e-11,
DGB,0.0018206852371280755,0.01859025,21000000000.000004,21000000000.000004,0.0,0.0,0.0,0.0,-3.202424600932195e-10,-3.202424600932195e-10
MONA,0.0008462133041577004,1.72670512,105082725.00000004,105082725.00000003,-1.4901161193847656e-08,-1.1102230246251565e-14,-1.4901161193847657e-12,-2.5729911327362064e-12,-1.6024738270142505e-12,-3.092589946399016e-12
BTG,0.000822139388937525,8.40127411,20983114.730000004,20983114.730000004,0.0,0.0,0.0,0.0,-3.1998496578826054e-13,-3.1998496578826054e-13
BCD,0.0006779557718279535,0.69223208,210000000.0000001,210000000.00000006,-2.9802322387695312e-08,-1.1102230246251565e-14,-2.9802322387695314e-12,-2.0630123615264895e-12,-3.2024246009321956e-12,-6.182656839701727e-12
ZEN,0.0006882695698190625,7.0729191,20865535.360000007,20865535.360000003,-3.725290298461914e-09,-2.220446049250313e-14,-3.725290298461914e-13,-2.6348676905035974e-12,-3.1819192261183146e-13,-6.907209524580229e-13
NANO,0.0006480272547898967,1.04280063,133248289.00000004,133248289.00000006,1.4901161193847656e-08,2.220446049250313e-14,1.4901161193847657e-12,1.5538940280675887e-12,-2.031988565360585e-12,-5.418724459758192e-13
XVG,0.0004772524348342346,0.00620203,16500000000.000004,16500000000.000004,0.0,0.0,0.0,0.0,-2.516190757875296e-10,-2.516190757875296e-10
XZC,0.00044942186071590434,4.51420031,21347303.340000004,21347303.340000004,0.0,0.0,0.0,0.0,-3.2553871133132386e-13,-3.2553871133132386e-13
PIVX,0.00034405893000731774,0.42046285,175458680.40000004,175458680.40000004,0.0,0.0,0.0,0.0,-2.6756818788574268e-12,-2.6756818788574268e-12
