,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.8424857506783574,8564.51553,17674974.999999993,17734000.000000007,59025.0000000149,0.33394672411144466,5.90250000000149,50552.05291583777,-6.581704227661729,-0.6792042276602386
XLM,0.014326069373978227,0.13363,19102801341.999992,19327248144.000008,224446802.00001526,1.1749418212633644,22444.680200001527,2999.282615126204,-7173.014030587126,15271.6661694144
LTC,0.039527533073321644,114.89322,61571657.99999996,62022926.00000003,451268.00000006706,0.732915134427703,45.12680000000671,5184.763360296771,-23.01886513286064,22.10793486714607
BCH,0.04426474368718011,447.98162,17757449.999999993,17813313.000000007,55863.0000000149,0.31458908796035967,5.58630000000149,2502.5597238066675,-6.611140040642925,-1.0248400406414353
BSV,0.019215195762665036,194.49579,17755260.999999993,17810723.000000007,55462.0000000149,0.3123693873045008,5.54620000000149,1078.7125504982898,-6.610178801557009,-1.0639788015555185
DASH,0.008150465862240228,166.28929,8778364.999999996,8836191.000000004,57826.00000000745,0.6587331467762692,5.782600000000746,961.584448354124,-3.279417822325845,2.503182177674901
XMR,0.008789373831556804,93.12754,16952472.999999993,17014796.000000007,62323.0000000149,0.36763367798913205,6.232300000001491,580.3987675421388,-6.314782607759214,-0.08248260775772298
ZEC,0.003358823156612623,90.98267,6433268.999999997,6655419.000000003,222150.0000000056,3.453143339723641,22.21500000000056,2021.180014050051,-2.470057481062377,19.744942518938185
IOT,0.007888092273634182,0.51162,2779530282.9999986,2779530283.0000014,2.86102294921875e-06,1.1102230246251565e-13,2.8610229492187503e-10,1.463756561279297e-10,-1031.5803662194035,-1031.5803662191174
DOGE,0.002251601185429384,0.00339,119308689353.99995,119739850499.00005,431161145.00009155,0.36138285261084757,43116.11450000916,146.16362815503103,-44439.62333646394,-1323.5088364547846
BTG,0.002846259507531261,29.298,17513923.99999999,17513924.000000007,1.862645149230957e-08,1.1102230246251565e-13,1.862645149230957e-12,5.4571777582168575e-11,-6.500026369332707,-6.500026369330844
DGB,0.0010156400589908883,0.01544,11736872182.999994,11858765116.000006,121892933.00001144,1.0385469919027113,12189.293300001145,188.2026885520177,-4401.200208572495,7788.09309142865
BCD,0.0017661609749269403,1.7073200000000002,186492897.9999999,186492898.0000001,1.7881393432617188e-07,8.881784197001252e-14,1.788139343261719e-11,3.0529260635375985e-11,-69.21400108241163,-69.21400108239375
MONA,0.0009868798773299365,2.70676,,65729675.00000003,,,,,-24.39456861567224,
ZEN,0.0004066504665936862,11.15751,6348574.999999997,6570538.000000003,221963.0000000056,3.496264909842073,22.19630000000056,247.65543921300625,-2.4385551896138513,19.757744810386708
NANO,0.001280487694666847,1.73245,133248288.99999994,133248289.00000006,1.1920928955078125e-07,8.881784197001252e-14,1.1920928955078126e-11,2.06524133682251e-11,-49.45307471749137,-49.453074717479446
XVG,0.0009075563758978756,0.0101,15917654268.99999,16199409336.000008,281755067.00001717,1.7700790721955961,28175.50670000172,284.57261767001734,-6012.164255800952,22163.342444200767
XZC,0.00030657070701126305,7.2633600000000005,7387617.999999997,7609218.000000004,221600.00000000652,2.999613677913593,22.160000000000654,160.95605760000475,-2.824045465196782,19.33595453480387
PIVX,0.00022614545207572408,0.71801,56781165.99999997,56781166.00000002,5.21540641784668e-08,8.881784197001252e-14,5.21540641784668e-12,3.744713962078094e-12,-21.073465676878445,-21.07346567687323
