,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.6977792135929902,10035.60661276,17789675.0,17847700.0,58025.0,0.3261723443514386,5.8025,58231.6073705399,-9.40716559315377,-3.6046655931537703
XRP,0.053025310546774666,0.31747592,42566596173.0,42872646068.0,306049895.0,0.7189907639223669,30604.9895,9716.34719810284,-22597.313994427794,8007.675505572206
ETH,0.09018155515268118,216.1036592,106705029.9366,107118247.3,413217.36339999735,0.38725200081524136,41.32173633999974,8929.778427571558,-56.45988504958605,-15.13814870958631
XLM,0.006412258014225654,0.08390174,19419882902.7924,19617690558.0,197807655.20759964,1.018583151081498,19780.765520759964,1659.6406457237672,-10340.092204281515,9440.67331647845
LTC,0.02394686197654267,97.73354998,62456775.8540937,62894518.33,437742.47590629756,0.70087267541461,43.774247590629756,4278.2126147357085,-33.15044228847163,10.623805302158125
BCH,0.022575206220306083,323.3621315,17866150.0,17920512.5,54362.5,0.3042765229218425,5.43625,1757.877387366875,-9.4455436051526,-4.0092936051526005
EOS,0.01578538143946833,4.37850122,921265925.3537,925416980.3,4151054.9462999105,0.4505816216643588,415.1054946299911,1817.5399146661196,-487.76877560685244,-72.66328097686136
BSV,0.010190707167765094,146.50507621,17854985.7508877,17854985.75,-0.0008876994252204895,-4.971711931034406e-09,-8.876994252204895e-08,-1.3005247194350101e-05,-9.411005766213624,-9.411005854983566
ADA,0.006020120513762196,0.05960183,25927070538.0,25927070538.0,0.0,0.0,0.0,0.0,-13665.640160712273,-13665.640160712273
TRX,0.005807981781521679,0.02235754,66682072191.4,66682072191.0,-0.40000152587890625,-5.998646024352183e-10,-4.000015258789063e-05,-8.943050114898682e-07,-35146.78615145767,-35146.786191457824
BNB,0.016727823441458234,27.60669249,141175490.242,155536713.0,14361222.757999986,10.172603426687088,1436.1222757999988,39646.58604604953,-81.98028961747637,1354.1419861825225
XTZ,0.0032792823096067154,1.27466762,659731260.601439,660373612.0,642351.3985610008,0.09736561489832596,64.23513985610009,81.87845284074224,-348.06971886758953,-283.83457901148944
LINK,0.0030296033742870207,2.22190553,350000000.0,350000000.0,0.0,0.0,0.0,0.0,-184.47799759094,-184.47799759094
DASH,0.0037219048321465997,106.75453582,8891879.13172747,8949253.001,57373.86927253008,0.6452389694301175,5.7373869272530085,612.492078238631,-4.716972210169116,1.0204147170838924
XMR,0.0053748088044610004,80.55078713,17070711.1613356,17127780.54,57069.37866440043,0.33431166472817075,5.706937866440043,459.6983372437483,-9.027710449132197,-3.320772582692154
ZEC,0.0018642844371763172,67.54589348,6867193.75,7084693.75,217500.0,3.1672326123025174,21.75,1469.1231831900002,-3.734200332985851,18.01579966701415
ETC,0.0026321185520616105,6.01420308,111597907.0,112340206.0,742299.0,0.6651549477536323,74.2299,446.433693208092,-59.21227500523916,15.017624994760844
NEO,0.003198848488517267,11.64054384,70538831.0,70538831.0,0.0,0.0,0.0,0.0,-37.17960655795921,-37.17960655795921
ICX,0.0005155184863171808,0.26990787,,490271393.9,,,,,-258.41224292225996,
ONT,0.0020638724999006218,0.99347209,494757215.0,533255142.0,38497927.0,7.781175459967771,3849.7927,3824.661599735743,-281.0681165749496,3568.7245834250502
RVN,0.0006824982593910186,0.04283883,3872460000.0,4089515000.0,217055000.0,5.6050934031597555,21705.5,929.838224565,-2155.5015380517516,19549.99846194825
DOGE,0.0013374973439140088,0.00284758,120149812688.099,120566000000.0,416187311.901001,0.34639031271850307,41618.7311901001,118.51266656230526,-63547.92645014078,-21929.19526004068
IOT,0.0031403601673466656,0.29001196,,2779530283.0,,,,,-1465.0348024320538,
MAID,0.0002664363404016121,0.15112365,452552412.0,452552412.0,0.0,0.0,0.0,0.0,-238.53132220202878,-238.53132220202878
XEM,0.002294004051520605,0.06542738,8999999999.0,8999999999.0,0.0,0.0,0.0,0.0,-4743.719937525663,-4743.719937525663
VET,0.0011955300913537219,0.00553388,55454734800.0,55454734800.0,0.0,0.0,0.0,0.0,-29229.081236687474,-29229.081236687474
BTG,0.0012598585048044198,18.46486683,17513923.589,17513923.59,0.000999998301267624,5.709743788884225e-09,9.99998301267624e-08,1.8464835463132896e-06,-9.231238725268364,-9.231238625268533
BAT,0.0012185788303319077,0.24541303,1271156300.3263,1274570522.0,3414221.673700094,0.26859180675293803,341.42216737000945,83.78944860344114,-671.8006219628546,-330.3784545928452
MANA,0.00016514137559459465,0.04036602,1050141509.426,1050141509.0,-0.4259999990463257,-4.0565961700878006e-08,-4.259999990463257e-05,-1.7195924481503966e-06,-553.508579335566,-553.5086219355659
LSK,0.0006549912593694712,1.41359308,118133366.121928,118937540.2,804174.0780719966,0.6807340757919222,80.41740780719967,113.67749118779543,-62.68959786996552,17.72780993723415
QTUM,0.0011252586315779478,3.01237661,95832612.0484598,95885060.05,52448.00154019892,0.05472876134657856,5.2448001540198925,15.799313308093922,-50.53909679117439,-45.294296637154495
SC,0.000443166777884592,0.00273092,41287989470.0,41654898090.0,366908620.0,0.8886570276486649,36690.862,100.19980885304,-21955.463398565345,14735.398601434656
ZIL,0.0003688741072792627,0.01089929,8687360058.0875,8687360058.0,-0.08749961853027344,-1.0072054301701883e-09,-8.749961853027344e-06,-9.536837172508242e-08,-4578.933679575292,-4578.9336883252545
ZRX,0.0005237420975503762,0.22409499,597769457.278041,599919797.9,2150340.621958971,0.359727415942368,215.03406219589712,48.18805601744894,-316.2057229478669,-101.17166075196977
OMG,0.0008656707344108761,1.58442605,140245398.245133,140245398.2,-0.04513302445411682,-3.2181468601066854e-08,-4.5133024454116825e-06,-7.150993966038973e-06,-73.92054351794292,-73.92054803124536
KMD,0.0004667503865937617,1.03936881,114750541.36378,115271744.2,521202.8362199962,0.4542051218457299,52.120283621999626,54.17219716506024,-60.7574301395173,-8.637146517517671
IOST,0.00046357623856598044,0.00990473,12013965608.8475,12013965609.0,0.15250015258789062,1.2693623929749265e-09,1.5250015258789063e-05,1.510472836341858e-07,-6332.320910499252,-6332.320895249237
MONA,0.0004855007666671733,1.8959911,65729674.8711679,65729674.87,-0.0011679008603096008,-1.776823133070593e-09,-1.1679008603096008e-07,-2.2143296368293465e-07,-34.644796578060365,-34.64479669485045
XZC,0.0002786533487722406,8.89257259,7821668.32977799,8043493.33,221825.00022201054,2.836031788480442,22.182500022201054,197.2594916750995,-4.239564409012806,17.942935613188247
WTC,0.0002967681529441836,1.80741912,41682339.4106683,42146962.41,464622.9993316978,1.114675917668806,46.46229993316978,83.97684925838578,-22.214820656964054,24.247479276205727
NANO,0.0006510628144495191,1.2542066,133248297.197,133248297.2,0.003000006079673767,2.2514434760978475e-09,3.000006079673767e-07,3.7626274251669645e-07,-70.23251157102416,-70.23251127102355
BCD,0.0008650731629407766,1.19068916,186492897.953,186492898.0,0.046999990940093994,2.520201825007007e-08,4.6999990940094e-06,5.596237973246813e-06,-98.29667539420404,-98.29667069420495
GNO,7.597351927391641e-05,17.65505178,1104590.0,1104590.0,0.0,0.0,0.0,0.0,-0.5822072895970755,-0.5822072895970755
STEEM,0.00031175416402478624,0.23752846,320982247.494,336902682.0,15920434.505999982,4.959911219481872,1592.0434505999983,378.1556290741037,-177.57466330964922,1414.4687872903492
BTS,0.0004882178101397435,0.04579266,2730770000.0,2736690000.0,5920000.0,0.2167886713271283,592.0,27.10925472,-1442.4545463632844,-850.4545463632844
AE,0.00033990459774756746,0.3154686,271962184.5,276572349.5,4610165.0,1.6951492754317066,461.0165,145.4362298319,-145.77575207080463,315.2407479291954
GXS,0.00041181134011175857,1.76179312,60000000.0,60000000.0,0.0,0.0,0.0,0.0,-31.624799587018288,-31.624799587018288
QKC,0.00012227727604597949,0.01484933,2113716585.35544,2113716585.0,-0.3554399013519287,-1.6815870917952225e-08,-3.554399013519287e-05,-5.278044390342236e-07,-1114.0977230730284,-1114.0977586170186
WAVES,0.00053338090353262,1.369132,100000000.0,100000000.0,0.0,0.0,0.0,0.0,-52.70799931169714,-52.70799931169714
ARK,0.00014700731706681066,0.33263446,113204858.0,113443488.0,238630.0,0.21079484062425102,23.863,7.937656118980001,-59.79379287420523,-35.93079287420523
GAS,8.635766665974775e-05,2.18861303,10128375.105773,10128375.11,0.00422699935734272,4.173423828746081e-08,4.22699935734272e-07,9.251265871281903e-07,-5.338463883264905,-5.338463460564969
NULS,0.00015045327746738538,0.52433317,74205989.7942928,73654990.63,-550999.1642927974,-0.7425265343407261,-55.099916429279745,-28.89071384809933,-38.82207195429098,-93.92198838357072
REP,0.0004925154539021131,11.4930431,11000000.0,11000000.0,0.0,0.0,0.0,0.0,-5.797879924286686,-5.797879924286686
ELF,0.0002514927357185727,0.12916785,496029999.986466,499780000.0,3750000.0135340095,0.7560026638784523,375.000001353401,48.4379439248159,-263.42403895999996,111.57596239340103
THETA,0.00046051081509465157,0.13579306,870502690.0,870502690.0,0.0,0.0,0.0,0.0,-458.8245518535051,-458.8245518535051
QASH,0.00016507202657489414,0.12106352,350000000.0,350000000.0,0.0,0.0,0.0,0.0,-184.47799759094002,-184.47799759094002
WAX,0.00022025403693478525,0.0599656,942821661.7021481,942821661.7,-0.0021480321884155273,-2.2782886688332837e-10,-2.1480321884155274e-07,-1.2880803899765015e-08,-496.94243495936763,-496.94243517417084
SNT,0.00029442807233158984,0.02177695,3470483788.0,3470483788.0,0.0,0.0,0.0,0.0,-1829.222571091601,-1829.222571091601
