,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BNB,0.3062416060466143,27.60669249,141175490.242,155536713.0,14361222.757999986,10.172603426687088,1436.1222757999988,39646.58604604953,-530.0987458980352,906.0235299019636
XTZ,0.06003486853437679,1.27466762,659731260.601439,660373612.0,642351.3985610008,0.09736561489832596,64.23513985610009,81.87845284074224,-2250.679063439869,-2186.443923583769
LINK,0.05546391652643005,2.22190553,350000000.0,350000000.0,0.0,0.0,0.0,0.0,-1192.8666710624925,-1192.8666710624925
DASH,0.06813810041325184,106.75453582,8891879.13172747,8949253.001,57373.86927253008,0.6452389694301175,5.7373869272530085,612.492078238631,-30.5007589594254,-24.76337203217239
XMR,0.09839834131631246,80.55078713,17070711.1613356,17127780.54,57069.37866440043,0.33431166472817075,5.706937866440043,459.6983372437483,-58.37473872982497,-52.667800863384926
ZEC,0.034130050581094265,67.54589348,6867193.75,7084693.75,217500.0,3.1672326123025174,21.75,1469.1231831900002,-24.14598585445642,-2.39598585445642
ETC,0.04818703494267445,6.01420308,111597907.0,112340206.0,742299.0,0.6651549477536323,74.2299,446.433693208092,-382.8768215934133,-308.6469215934133
NEO,0.058562340883836765,11.64054384,70538831.0,70538831.0,0.0,0.0,0.0,0.0,-240.40977290174214,-240.40977290174214
ICX,0.009437761568263574,0.26990787,,490271393.9,,,,,-1670.9383015961744,
ONT,0.03778397298709828,0.99347209,494757215.0,533255142.0,38497927.0,7.781175459967771,3849.7927,3824.661599735743,-1817.435103041419,2032.3575969585809
RVN,0.012494713601646197,0.04283883,3872460000.0,4089515000.0,217055000.0,5.6050934031597555,21705.5,929.838224565,-13937.846126600369,7767.653873399631
DOGE,0.024485991026672423,0.00284758,120149812688.099,120566000000.0,416187311.901001,0.34639031271850307,41618.7311901001,118.51266656230526,-410911.8944666299,-369293.1632765298
IOT,0.05749157650896519,0.29001196,,2779530283.0,,,,,-9473.168673713137,
MAID,0.00487773517453262,0.15112365,452552412.0,452552412.0,0.0,0.0,0.0,0.0,-1542.3848262392617,-1542.3848262392617
XEM,0.04199706479887791,0.06542738,8999999999.0,8999999999.0,0.0,0.0,0.0,0.0,-30673.714395341616,-30673.714395341616
VET,0.021886951194488642,0.00553388,55454734800.0,55454734800.0,0.0,0.0,0.0,0.0,-189000.29970151244,-189000.29970151244
BTG,0.02306463200386087,18.46486683,17513923.589,17513923.59,0.000999998301267624,5.709743788884225e-09,9.99998301267624e-08,1.8464835463132896e-06,-59.69078780013188,-59.69078770013205
BAT,0.02230891181995382,0.24541303,1271156300.3263,1274570522.0,3414221.673700094,0.26859180675293803,341.42216737000945,83.78944860344114,-4343.979130321495,-4002.5569629514857
MANA,0.0030232959036078366,0.04036602,1050141509.426,1050141509.0,-0.4259999990463257,-4.0565961700878006e-08,-4.259999990463257e-05,-1.7195924481503966e-06,-3579.0823028153495,-3579.082345415349
LSK,0.01199113416744166,1.41359308,118133366.121928,118937540.2,804174.0780719966,0.6807340757919222,80.41740780719967,113.67749118779543,-405.3617932649583,-324.94438545775864
