,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BNB,0.22509643056384843,15.8621883,73494494.98994254,99999999.99999996,26505505.01005742,36.064612749138014,2650.5505010057423,42043.531145612425,-2129.7035347987226,520.8469662070197
LINK,0.24562950108952097,1.73091212,561776555.1444743,999999999.9999995,438223444.85552526,78.00671652145141,43822.34448555253,75852.62719685804,-21297.035347987232,22525.3091375653
TRX,0.21356969470269055,0.01445091,104574932688.72554,104145119673.45996,-429813015.2655792,-0.4110096026023191,-42981.30152655792,-621.1189200431512,-2217982.2950060377,-2260963.596532596
ICX,0.0973204625602391,0.16704332,787117199.2941787,4105532970.5299983,3318415771.23582,421.5910634669778,331841.577123582,55431.91875675919,-87435.68079570442,244405.8963278776
BAT,0.03667925924786503,0.17231528,2053254020.5295987,1499999999.9999995,-553254020.5295992,-26.945230107811867,-55325.40205295992,-9533.412145868364,-31945.55302198085,-87270.95507494078
SC,0.02057358638330558,0.00159313,67119534188.974014,91002491209.16995,23882957020.19594,35.582721645465895,2388295.702019594,3804.8655317584758,-1938083.2720365906,450212.42998300353
OMG,0.016534819356510133,0.83081691,225104504.86004493,140245398.24999994,-84859106.61004499,-37.697649215329896,-8485.910661004498,-7050.238073911815,-2986.8112039227963,-11472.721864927295
REP,0.013626147245469363,8.72920887,17655834.590254907,10999999.999999996,-6655834.59025491,-37.697649217492,-665.583459025491,-5810.017034250598,-234.26738882785955,-899.8508478533506
SNT,0.012056981506980974,0.01248571,5570389791.735389,6804870174.8899975,1234480383.1546087,22.161472164590144,123448.03831546087,1541.336406475733,-144923.56065309639,-21475.522337635513
THETA,0.011511202850765958,0.08111762,1397222864.091995,999999999.9999995,-397222864.0919955,-28.429456338029247,-39722.28640919955,-3222.177334472614,-21297.03534798723,-61019.32175718678
AE,0.01145877491873267,0.16033664,450077621.43499637,503616445.25999975,53538823.825003386,11.895464532163125,5353.882382500339,858.4235121652991,-10725.537236529894,-5371.654854029554
GAS,0.01024017608676876,1.19344821,16256810.503234874,60464204.029999964,44207393.52676509,271.9315299761195,4420.73935267651,5275.923467328339,-1287.7082905148218,3133.031062161688
QASH,0.010147701169537605,0.07150924,561776555.1444744,999999999.9999994,438223444.855525,78.00671652145137,43822.3444855525,3133.7025491800505,-21297.03534798723,22525.309137565273
MAID,0.010149419884809455,0.15803993,726380957.2448082,452552411.99999976,-273828545.24480844,-37.697649217492014,-27382.854524480845,-4327.584412249136,-9638.02471518088,-37020.87923966172
MCO,0.00894467975103528,2.85064733,25350297.21446204,22111377.39999999,-3238919.814462051,-12.776654202753434,-323.8919814462051,-923.3018121180341,-470.90678608048586,-794.7987675266909
IOST,0.008130298008875927,0.00476886,19283326323.89296,12013965607.999994,-7269360715.892965,-37.697649221887,-726936.0715892966,-3466.6563543593325,-255861.8502230789,-982797.9218123754
STORJ,0.00747046201825115,0.12386626,217949141.5565279,424999999.9999998,207050858.4434719,94.99962099633717,20705.08584434719,2564.661546518229,-9051.240022894572,11653.84582145262
GNT,0.006598078178083901,0.04649561,1548015424.597395,999999999.9999995,-548015424.5973954,-35.40116047228161,-54801.54245973955,-2548.0311456064906,-21297.035347987232,-76098.57780772678
STEEM,0.006590825338706365,0.13418888,549586884.5901295,346112884.9999998,-203473999.59012967,-37.023081389920065,-20347.399959012968,-2730.394811411996,-7371.178346238839,-27718.57830525181
GXC,0.006463915089147265,0.45550184,104329931.66968808,99999999.99999996,-4329931.6696881205,-4.15022956537231,-432.9931669688121,-197.22918426172112,-2129.703534798723,-2562.696701767535
FUN,0.006208919422861922,0.00397757,,10999999999.999994,,,,,-234267.38882785954,
CVC,0.0052711929024106315,0.03714526,,999999999.9999995,,,,,-21297.03534798723,
RCN,0.004892414684592653,0.03447607,,999999999.9999994,,,,,-21297.03534798723,
KNC,0.004835057038990125,0.19118672,,178212585.95999992,,,,,-3795.399742646332,
