,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
LINK,1000000000.0,2.17899995,2178999950.0,0.1466119658728277,0.05,0.3410362837871662,743118045.320421,0.04999999999999999,341036283.78716624
TRX,104145119673.46,0.01519524,1582510088.2669466,0.10647770554304012,0.05,0.4695818692279122,743118045.3204211,0.049999999999999996,48904659967.22796
BNB,100000000.0,15.36581991,1536581991.0,0.10338747663821363,0.05,0.48361756787010335,743118045.320421,0.04999999999999999,48361756.787010334
XMR,22466083.47,53.47730929,1201425694.2601464,0.08083679987491826,0.05,0.6185301753331012,743118045.3204211,0.049999999999999996,13895950.547747185
DASH,17600805.03,53.76026673,946223973.0755256,0.0636657916621799,0.05,0.7853511076294691,743118045.3204211,0.049999999999999996,13822811.725480832
NEO,100000000.0,9.16847434,916847434.0,0.061689218810765764,0.05,0.8105143972300424,743118045.3204211,0.049999999999999996,81051439.72300424
ETC,194571423.67,3.89741383,758325357.5342473,0.05102320972486068,0.05,0.9799461905595852,743118045.3204211,0.049999999999999996,190669525.4171716
DOGE,280666706295.71,0.00225793,633725776.1462725,0.04263964387199209,0.05,1.17261767359278,743118045.320421,0.04999999999999999,329114740191.4235
ONT,1000000000.0,0.6202108,620210800.0,0.04173030139058019,0.05,1.1981701146133235,743118045.320421,0.04999999999999999,1198170114.6133235
ZEC,20924230.74,28.14762913,588967486.7000654,0.039628124388105236,0.05,1.2617301669469874,743118045.3204211,0.049999999999999996,26400733.144817483
IOT,2779530283.28,0.2065934,574232611.6257784,0.03863670215262894,0.05,1.2941063086202835,743118045.3204211,0.049999999999999996,3597007674.593772
ICX,4105532970.53,0.13272377,544901813.7080405,0.03666320695207228,0.05,1.3637650428496928,743118045.3204211,0.049999999999999996,5598982347.475673
VET,86716263400.0,0.00590663,512200882.88634205,0.03446295552313556,0.05,1.4508331987497174,743118045.320421,0.04999999999999999,125810833812.24504
RVN,20754957265.63,0.02235623,464002598.27059543,0.031219979193919632,0.05,1.601538543297234,743118045.3204211,0.049999999999999996,33239864025.393414
DCR,20619744.270000003,18.74250262,386465611.00420505,0.026002975801614873,0.05,1.9228568445960263,743118045.3204211,0.049999999999999996,39648816.4033892
XEM,8999999999.0,0.03628845,326596049.96371156,0.021974708595784966,0.05,2.275343028193359,743118045.3204211,0.049999999999999996,20478087251.46489
BAT,1500000000.0,0.19976754,299651310.0,0.020161757064504803,0.05,2.479942588338496,743118045.3204211,0.049999999999999996,3719913882.507744
ZRX,1000000000.0,0.25343423,253434229.99999997,0.01705208422779742,0.05,2.9321928822338683,743118045.320421,0.04999999999999999,2932192882.233868
QTUM,107823401.54,1.74712425,188380879.54802135,0.012675030618237404,0.05,3.944763646413426,743118045.3204211,0.049999999999999996,425337834.62762946
LSK,231538505.47,1.50591094,348676368.41852283,0.023460362092820593,0.05,2.1312544027315394,743118045.3204211,0.049999999999999996,493467459.18481815
