,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BTC,20986335.65,9091.27562931,190792561843.3646,0.6920642681090562,0.1,0.14449525081425227,27568619077.050705,0.1,3032425.8334188336
XRP,100000000000.0,0.29249297,29249297000.0,0.10609634424652183,0.1,0.9425395446957479,27568619077.050705,0.1,94253954469.57478
ETH,135135633.79999998,181.79688397,24567237138.15101,0.0891130494040662,0.1,1.1221701049255872,27568619077.0507,0.09999999999999999,151645168.36053172
XLM,142283354823.16,0.06713007,9551491569.11357,0.034646245945139265,0.1,2.8863155955870488,27568619077.050705,0.1,410674666018.5325
BCH,20982433.29,280.48748318,5885309904.504348,0.021347858911814455,0.1,4.68431051624842,27568619077.0507,0.09999999999999999,98288232.91682793
LTC,83880542.21,57.7392164,4843196778.412523,0.017567788814073053,0.1,5.692236004106155,27568619077.050705,0.1,477467842.411708
EOS,1366411730.19,3.2313103,4415300297.803768,0.016015674508264556,0.1,6.243883137634764,27568619077.0507,0.09999999999999999,8531715161.199684
BSV,20982141.46,126.98303677,2664376040.5285215,0.00966452484646379,0.1,10.34712017286495,27568619077.050705,0.1,217104739.17067203
BNB,100000000.0,19.88597389,1988597389.0,0.007213264412853357,0.1,13.863348724858808,27568619077.050705,0.1,1386334872.4858809
ADA,42014022058.74,0.04114871,1728822809.628695,0.006270980801747306,0.1,15.94646884776567,27568619077.050705,0.1,669975293929.0371
