,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BTC,17611793.0,4114.53042,72464258049.24306,0.63866194047722,0.1,0.1565773591037508,11346262154.763195,0.09999999999999998,2757608.0370219247
XRP,22903314113.0,0.30918,7081246657.45734,0.06241039172962007,0.1,1.6022972653853709,11346262154.763195,0.09999999999999998,36697917571.52207
ETH,104875903.32,141.84023,14875622248.366562,0.13110592762147427,0.1,0.7627420194815103,11346262154.763197,0.09999999999999999,79993258.29324442
XLM,34207988788.18,0.10785,3689331590.805213,0.0325158324431665,0.1,3.0754248772436372,11346262154.763195,0.09999999999999998,105204099719.6402
EOS,910923238.7,4.1982800000000005,3824310814.5694366,0.03370546848297507,0.1,2.9668776166250557,11346262154.763195,0.09999999999999998,2702597767.3626328
LTC,61082030.73,60.40274,3689522020.8562,0.0325175107936963,0.1,3.075266143046397,11346262154.763195,0.09999999999999998,187843501.0524886
BCH,17694373.38,169.23856999999998,2994570447.877266,0.02639257234700977,0.1,3.788944809365269,11346262154.763195,0.09999999999999998,67043004.17312198
ADA,30291279684.93,0.07045,2134020653.8033185,0.018808138087197734,0.1,5.316847395334029,11346262154.763195,0.09999999999999998,161054111494.15466
TRX,66718250405.57,0.02343,1563208607.002505,0.013777300274577787,0.1,7.258316071148022,11346262154.763195,0.09999999999999998,484262149157.6268
BSV,17691375.52,64.80731,1146530457.6510513,0.010104917743062498,0.1,9.8961716010657,11346262154.763193,0.09999999999999996,175076888.00481293
