,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
LINK,0.24999999999999992,2.17899995,846379105.819863,853412092.0717373,7032986.251874328,0.8309498903640522,703.2986251874328,1532.4876691184847,40.325398663108324,743.6240238505411
TRX,0.2256714036002371,0.01519524,110851787568.34712,110470156664.9527,-381630903.39442444,-0.3442713119615859,-38163.090339442446,-579.8973168495095,5219.9320226128075,-32943.158316829635
BNB,0.21912189832266213,15.36581991,106439733.24522112,106073291.77912939,-366441.46609173715,-0.3442713119615859,-36.64414660917372,-563.0673575522005,5.012171515073921,-31.631975094099797
ICX,0.07770488038940411,0.13272377,4369918342.126735,4354873966.918645,-15044375.208089828,-0.3442713119615859,-1504.437520808983,-199.67461949122165,205.77635409087281,-1298.66116671811
BAT,0.04273131161672746,0.19976754,1596595998.6783164,1591099376.686941,-5496621.991375446,-0.3442713119615526,-549.6621991375447,-109.80466535269743,75.18257272610882,-474.4796264114359
SC,0.021226011333351863,0.00163563,96862808889.54634,96529338026.57947,-333470862.96687317,-0.3442713119615748,-33347.08629668732,-54.543494759450674,4561.200942393668,-28785.88535429365
REP,0.016695558132929826,10.64334682,11708370.656974325,11668062.09570423,-40308.56127009541,-0.3442713119616192,-4.030856127009541,-42.901799741284506,0.551338866658131,-3.4795172603514097
OMG,0.015013729215159387,0.75070605,149276827.785998,148762910.4925245,-513917.29347348213,-0.3442713119615748,-51.39172934734822,-38.58008214101686,7.029339902288479,-44.36238944505974
MCO,0.012520550571588605,3.9707961,23535291.12140411,23454265.865886476,-81025.2555176355,-0.3442713119615859,-8.10252555176355,-32.17347686109305,1.1082601596332926,-6.9942653921302576
AE,0.011580944239896371,0.16125531,536048000.91380906,534202541.42831933,-1845459.485489726,-0.3442713119615637,-184.5459485489726,-29.75901414250863,25.242120014549567,-159.30382853442305
SNT,0.013191891055418676,0.01359431,7243085661.836528,7218149795.802022,-24935866.034505844,-0.3442713119615859,-2493.5866034505843,-33.89858929915432,341.07176454359745,-2152.514838906987
THETA,0.010257680307016284,0.0719315,1064397332.4522114,1060732917.7912939,-3664414.6609175205,-0.344271311961597,-366.4414660917521,-26.358684318178863,50.12171515073921,-316.3197509410129
GAS,0.014629661227414142,1.69670323,64357937.47837824,64136371.56267001,-221565.91570822895,-0.3442713119615859,-22.156591570822897,-37.593160484005985,3.0305696112078375,-19.12602195961506
IOST,0.008803910263886995,0.00513877,12787632945.327806,12743608793.618095,-44024151.709711075,-0.3442713119615748,-4402.415170971108,-22.6229990081312,602.1605620349534,-3800.2546089361545
MAID,0.007747546046604163,0.12005085,481695580.12761396,480037240.43424773,-1658339.6933662295,-0.3442713119615748,-165.83396933662297,-19.908508977735522,22.68270308504397,-143.151266251579
STORJ,0.007809955488234553,0.1288634,452368866.29218966,450811490.0612998,-1557376.2308898568,-0.3442713119615859,-155.73762308898569,-20.068879619165195,21.30172893906416,-134.43589414992152
QASH,0.007235672129995175,0.05073981,1064397332.4522114,1060732917.7912939,-3664414.6609175205,-0.344271311961597,-366.4414660917521,-18.593170365616945,50.12171515073921,-316.3197509410129
RCN,0.006417915478639667,0.04500533,1064397332.4522108,1060732917.7912939,-3664414.6609169245,-0.3442713119615415,-366.44146609169246,-16.49181910714043,50.121715150739206,-316.31975094095327
GXC,0.00631530017263709,0.44285745,106439733.24522112,106073291.77912939,-366441.46609173715,-0.3442713119615859,-36.64414660917372,-16.22813332476482,5.012171515073921,-31.631975094099797
STEEM,0.006197462330823307,0.1232254,371882094.7791484,374101683.7637606,2219588.9846122265,0.5968528777730908,221.95889846122265,27.350974046443543,17.677039824560662,239.6359382857833
GNT,0.005558605607002898,0.03897946,1064397332.4522114,1060732917.7912939,-3664414.6609175205,-0.344271311961597,-366.4414660917521,-14.283690469864807,50.12171515073921,-316.3197509410129
FUN,0.004552312929929779,0.00290208,11708370656.974323,11668062095.70423,-40308561.27009392,-0.3442713119616081,-4030.856127009392,-11.697866949071416,551.3388666581311,-3479.517260351261
KNC,0.004743213266562772,0.18663979,189689001.10523432,189035956.2924825,-653044.8127518296,-0.344271311961597,-65.30448127518297,-12.18841467125908,8.932320469763743,-56.37216080541922
CVC,0.00427258627387737,0.02996131,1064397332.4522114,1060732917.7912939,-3664414.6609175205,-0.344271311961597,-366.4414660917521,-10.979066362429473,50.121715150739206,-316.3197509410129
