,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Currency Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,17847700.000000004,58025.00000000745,0.3261723443514608,5.802500000000745,-6.152852193663378,-0.3503521936626326
XLM,19617690557.705006,197807654.9126053,1.0185831495624686,19780.76549126053,-6763.042318202602,13017.723173057926
LTC,62894518.33338572,437742.47929202765,0.7008726808355403,43.774247929202765,-21.682383449798785,22.09186447940398
BCH,17920512.500000004,54362.50000000745,0.3042765229218869,5.436250000000745,-6.177953722171314,-0.7417037221705689
BSV,17854985.750887703,7.450580596923828e-09,4.440892098500626e-14,7.450580596923828e-13,-6.155363898159299,-6.155363898158554
DASH,8949253.000919921,57373.869192454964,0.6452389685295712,5.7373869192454965,-3.0851835787445268,2.6522033405009697
XMR,17127780.539112702,57069.37777710706,0.3343116595304174,5.706937777710706,-5.9046657027328155,-0.19772792502210912
ZEC,7084693.750000002,217500.00000000466,3.167232612302584,21.750000000000465,-2.4423916516481516,19.307608348352314
DOGE,120565841757.21404,416029069.1150818,0.3462586081553587,41602.90691150818,-41564.11212294838,38.79478855979687
MIOTA,,,,,,
BTG,17513923.589000005,7.450580596923828e-09,4.440892098500626e-14,7.450580596923828e-13,-6.037785438696944,-6.037785438696199
MONA,65729674.87116791,2.2351741790771484e-08,4.440892098500626e-14,2.2351741790771486e-12,-22.659781048529837,-22.659781048527602
XZC,8043493.329777991,221825.00000000373,2.8360317856420902,22.182500000000374,-2.7729301578825987,19.409569842117776
NANO,133248297.19700004,7.450580596923828e-08,6.661338147750939e-14,7.450580596923828e-12,-45.93628746059555,-45.9362874605881
BCD,186492897.953,5.960464477539063e-08,2.220446049250313e-14,5.960464477539063e-12,-64.29193880851629,-64.29193880851034
XVG,15852220749.120604,56749470.00000763,0.359276839526923,5674.947000000763,-5464.92664100488,210.02035899588282
PIVX,56781165.99209401,2.9802322387695312e-08,4.440892098500626e-14,2.9802322387695314e-12,-19.574853999855435,-19.574853999852454
ETH Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
TRX,66682072191.4,0.0,0.0,0.0,-309487.673186976,-309487.673186976
BNB,155536713.0,14361222.757999986,10.172603426687088,1436.1222757999988,-721.8836160842745,714.2386597157242
LINK,350000000.0,0.0,0.0,0.0,-1624.4349051499892,-1624.4349051499892
VET,55454734800.0,0.0,0.0,0.0,-257378.87675701655,-257378.87675701655
BAT,1274570522.3263,3414222.0,0.2685918324224712,341.42220000000003,-5915.590987263128,-5574.168787263128
MANA,1050141509.4260001,1.1920928955078125e-07,2.220446049250313e-14,1.1920928955078126e-11,-4873.961495024259,-4873.961495024248
ZIL,8687360058.0875,0.0,0.0,0.0,-40320.14546275191,-40320.14546275191
ZRX,599919797.87214,2150340.594099045,0.35972741128171837,215.0340594099045,-2784.3733141543726,-2569.3392547444682
OMG,140245398.245133,0.0,0.0,0.0,-650.9129148458717,-650.9129148458717
IOST,12013965608.8475,0.0,0.0,0.0,-55759.72881223834,-55759.72881223834
WTC,42146962.4106683,464623.0,1.1146759192721456,46.4623,-195.61427681695457,-149.15197681695457
GNO,1104590.0,0.0,0.0,0.0,-5.126670148227505,-5.126670148227505
AE,276572349.5,4610165.0,1.6951492754317066,461.0165,-1283.6393666489773,-822.6228666489774
REP,11000000.0,0.0,0.0,0.0,-51.05366844757109,-51.05366844757109
QASH,350000000.0,0.0,0.0,0.0,-1624.434905149989,-1624.434905149989
WAX,942821661.7021481,0.0,0.0,0.0,-4375.864047429954,-4375.864047429954
SNT,3470483788.0,0.0,0.0,0.0,-16107.35715138387,-16107.35715138387
MCO,15793831.0949625,0.0,0.0,0.0,-73.30300147628672,-73.30300147628672
POWR,409540076.95977205,828000.0,0.2025876030283147,82.8,-1900.7748459179043,-1817.9748459179043
GNT,964450000.0,0.0,0.0,0.0,-4476.246412205449,-4476.246412205449
AION,327304427.0,,,,-1519.099245225476,
ENG,74836171.09,,,,-347.3328242467786,
LRC,892600584.6067631,,,,-4142.775845692891,
20 Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BNB,155536713.0,14361222.757999986,10.172603426687088,1436.1222757999988,-561.0537890806947,875.068486719304
XTZ,660373611.97278,642351.3713409901,0.09736561077238193,64.235137134099,-2382.1071569529227,-2317.8720198188234
LINK,350000000.0,0.0,0.0,0.0,-1262.5239558601393,-1262.5239558601393
DASH,8949253.00091992,57373.869192449376,0.6452389685295046,5.737386919244938,-32.281846573470396,-26.54445965422546
XMR,17127780.5391127,57069.37777709961,0.3343116595303952,5.706937777709961,-61.78352354669964,-56.07658576898968
ZEC,7084693.75,217500.0,3.1672326123025174,21.75,-25.5559873694503,-3.8059873694502997
ETC,112340206.0,742299.0,0.6651549477536323,74.2299,-405.2348608036085,-331.0049608036085
NEO,70538831.0,0.0,0.0,0.0,-254.44846844534237,-254.44846844534237
ICX,490271393.867712,,,,-1768.512513231224,
ONT,533255142.0,38497927.0,7.781175459967771,3849.7927,-1923.5639753160008,1926.2287246839992
RVN,4089515000.0,217055000.0,5.6050934031597555,21705.5,-14751.744729569651,6953.755270430349
DOGE,120565841757.214,416029069.1150055,0.3462586081552921,41602.90691150055,-434906.46707692975,-393303.5601654292
MIOTA,2779530283.0,0.0,0.0,0.0,,
MAID,452552412.0,0.0,0.0,0.0,-1632.4521755208216,-1632.4521755208216
XEM,8999999999.0,0.0,0.0,0.0,-32464.90171851066,-32464.90171851066
VET,55454734800.0,0.0,0.0,0.0,-200036.94614534552,-200036.94614534552
BTG,17513923.589,0.0,0.0,0.0,-63.176423120618544,-63.176423120618544
BAT,1274570522.3263,3414222.0,0.2685918324224712,341.42220000000003,-4597.645193914641,-4256.222993914641
MANA,1050141509.4260001,1.1920928955078125e-07,2.220446049250313e-14,1.1920928955078126e-11,-3788.0823219812905,-3788.0823219812787
LSK,118937540.197799,804174.0758709908,0.6807340739287682,80.41740758709908,-429.0328392879987,-348.6154317008996
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,17847700.0,58025.0,0.3261723443514386,5.8025,-9.465191088766328,-3.662691088766328
XRP,42872646068.0,306049895.0,0.7189907639223669,30604.9895,-22736.699267393913,7868.290232606087
ETH,107118247.3115,413217.3748999983,0.38725201159262035,41.32173748999983,-56.808142219842196,-15.486404729842363
XLM,19617690557.705,197807654.91260147,1.0185831495624464,19780.765491260147,-10403.87219916094,9376.893292099207
LTC,62894518.333385706,437742.4792920053,0.7008726808354959,43.774247929200534,-33.35492161238775,10.419326316812786
BCH,17920512.5,54362.5,0.3042765229218425,5.43625,-9.503805824903242,-4.067555824903242
