Ticker,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
TRX,66682072191.0,0.02408,1605704298.35928,0.32884729632491827,0.043478260869565216,0.13221413511822347,212296805.06318608,0.04347826086956521,8816312502.624006
BNB,144443333.0,9.63523,1391744735.42159,0.285028503620175,0.043478260869565216,0.15254004535456475,212296805.06318608,0.04347826086956521,22033392.5669845
LINK,350000000.0,0.45724,160034000.0,0.03277486911745603,0.043478260869565216,1.3265731348537566,212296805.06318608,0.04347826086956521,464300597.1988148
VET,55454734800.0,0.00458,253982685.384,0.05201550465251517,0.043478260869565216,0.83587117264396,212296805.06318605,0.0434782608695652,46353014205.93582
ZIL,8279187391.0,0.01743,144306236.22513002,0.029553832342573007,0.043478260869565216,1.4711547512886758,212296805.06318605,0.0434782608695652,12179965867.078945
MANA,1050141509.0,0.0362,38015122.625800006,0.007785474765016413,0.043478260869565216,5.584535584770284,212296805.06318608,0.04347826086956521,5864552626.054863
ZRX,584285404.0,0.23659000000000002,138236083.73236,0.028310668680641565,0.043478260869565216,1.5357553493356741,212296805.06318605,0.0434782608695652,897319434.7317555
BAT,1239066787.0,0.14321,177446754.56627,0.0363409910158269,0.043478260869565216,1.1963972267743046,212296805.06318608,0.04347826086956521,1482416067.754948
OMG,140245398.0,1.32386,185665272.59628,0.03802413867678039,0.043478260869565216,1.1434384152431942,212296805.06318608,0.04347826086956521,160361975.63427106
IOST,12013965609.0,0.00735,88302647.22614999,0.018084330239586322,0.043478260869565216,2.4041952504490305,212296805.06318608,0.04347826086956521,28883919056.215794
REP,11000000.0,12.97873,142766030.0,0.029238399013139717,0.043478260869565216,1.487026045784043,212296805.06318605,0.0434782608695652,16357286.503624473
SNT,3470483788.0,0.020059999999999998,69617904.78728,0.014257705972697161,0.043478260869565216,3.0494569710459767,212296805.06318605,0.0434782608695652,10583090980.218647
GNO,1104590.0,13.4779,14887553.561,0.0030489622170344517,0.043478260869565216,14.260019565560242,212296805.06318605,0.0434782608695652,15751475.011922188
AE,233020472.0,0.42908999999999997,99986754.33048,0.020477228505572015,0.043478260869565216,2.123249289215796,212296805.06318608,0.04347826086956521,494760551.5467293
QASH,350000000.0,0.1027,35945000.0,0.007361514868258976,0.043478260869565216,5.906156769041203,212296805.06318605,0.0434782608695652,2067154869.164421
WTC,40999959.0,1.0343200000000001,42407077.59288,0.008684944560283717,0.043478260869565216,5.006164468612899,212296805.06318608,0.04347826086956521,205252537.96038565
POWR,396349006.0,0.08852,35084814.01112,0.00718534928343193,0.043478260869565216,6.050959967919436,212296805.06318605,0.0434782608695652,2398291968.6306605
POLY,373831587.0,0.08509,31809329.737829998,0.006514532029889775,0.043478260869565216,6.674042075482875,212296805.06318605,0.0434782608695652,2494967740.782537
DGD,2000000.0,15.34291,30685820.0,0.006284437896083424,0.043478260869565216,6.918400911664933,212296805.06318602,0.0434782608695652,13836801.823329866
LRC,788984491.0,0.05297,41792508.48827,0.008559081168959218,0.043478260869565216,5.079781347003181,212296805.06318608,0.04347826086956521,4007868700.456599
AION,291866662.0,0.1086,31696719.4932,0.006491469517992097,0.043478260869565216,6.697753220447018,212296805.06318605,0.0434782608695652,1954850875.3516212
GNT,963622000.0,0.06309,60794911.98,0.012450762232724044,0.043478260869565216,3.492015995237009,212296805.06318605,0.0434782608695652,3364983437.362277
PPT,53252246.0,1.16266,61914256.33436,0.012680003298444532,0.043478260869565216,3.4288840346673046,212296805.06318605,0.0434782608695652,182595776.11957583
